Date,Open,High,Low,Close,Adjusted_close,Volume
2008-06-25,49.1500,49.1500,48.7500,48.8600,40.4530,7000.00
2008-06-26,47.6300,47.6300,47.6100,47.6100,39.4181,700.00
2008-06-27,47.4100,47.4100,47.3400,47.3400,39.1946,1400.00
2008-06-30,47.3000,47.3000,47.3000,47.3000,39.1614,200.00
2008-07-01,46.4700,46.7700,46.0100,46.6800,38.6481,19870.00
2008-07-02,47.0200,47.0200,45.9900,45.9900,38.0768,5125.00
2008-07-03,46.2800,47.5000,45.8036,45.9000,38.0023,25496.00
2008-07-07,45.7800,46.1000,45.3700,45.5500,37.7125,35826.00
2008-07-08,45.2600,46.3300,45.0000,46.3300,38.3583,16200.00
2008-07-09,46.4200,46.4200,45.4560,45.4560,37.6347,6420.00
2008-07-10,45.1900,45.2500,45.0500,45.1500,37.3814,997.00
2008-07-11,45.3100,45.4400,44.8900,45.0500,37.2986,115100.00
2008-07-14,44.9900,44.9900,44.9900,44.9900,37.2489,120500.00
2008-07-15,44.4400,44.4400,44.4400,44.4400,36.7935,335.00
2008-07-16,44.3100,44.8400,44.0000,44.8260,37.1131,15600.00
2008-07-17,46.1900,47.3500,46.1900,47.2800,39.1449,40263.00
2008-07-18,47.2700,47.7600,47.1210,47.2200,39.0952,10455.00
2008-07-21,47.8300,47.8300,47.3400,47.3800,39.2277,1255.00
2008-07-22,47.1300,47.8000,47.1300,47.8000,39.5754,5960.00
2008-07-23,48.1000,48.5500,47.9300,48.0000,39.7410,3200.00
2008-07-24,47.8600,47.9400,47.2100,47.2100,39.0869,1372.00
2008-07-25,46.5300,46.8800,46.4800,46.5900,38.5736,3880.00
2008-07-28,46.7900,47.0200,46.2500,46.2500,38.2921,10840.00
2008-07-29,46.6700,46.9900,46.6700,46.8900,38.8220,5200.00
2008-07-30,47.5200,47.8600,47.4300,47.4300,39.2691,5684.00
2008-07-31,47.8000,48.5400,47.8000,48.5300,40.1798,4654.00
2008-08-01,48.5400,48.8840,48.4200,48.4600,40.1218,3878.00
2008-08-04,48.1900,48.1900,47.6000,47.6300,39.4347,19366.00
2008-08-05,48.1000,48.5200,48.1000,48.5110,40.1641,4184.00
2008-08-06,48.6600,49.0000,48.5601,48.7800,40.3868,7047.00
2008-08-07,48.5000,48.5000,47.5000,47.6100,39.4181,9860.00
2008-08-08,47.8700,49.1800,47.8700,49.1730,40.7122,5069.00
2008-08-11,49.3200,49.5000,49.0300,49.1000,40.6517,13241.00
2008-08-12,49.0500,49.3600,48.9200,48.9200,40.5027,2588.00
2008-08-13,48.1900,48.5600,48.1900,48.5500,40.1964,1341.00
2008-08-14,48.8200,49.1500,48.7800,48.7800,40.3868,10608.00
2008-08-15,48.6900,48.6900,46.0000,48.6400,40.2709,7175.00
2008-08-18,48.8200,48.8200,47.8100,47.8840,39.6450,2457.00
2008-08-19,47.3800,47.3800,46.9700,47.1900,39.0704,10980.00
2008-08-20,46.7750,46.7750,46.7750,46.7750,38.7268,155.00
2008-08-21,47.1300,47.5500,47.1300,47.3900,39.2360,2673.00
2008-08-22,47.5500,47.8300,47.5100,47.5110,39.3361,6402.00
2008-08-25,47.9200,47.9200,46.8800,46.8800,38.8137,1258.00
2008-08-26,46.5000,46.5000,46.5000,46.5000,38.4991,475.00
2008-08-27,47.0400,47.4900,47.0400,47.3610,39.2119,1614.00
2008-08-28,47.7500,49.0000,47.7500,48.9800,40.5524,4641.00
2008-08-29,49.0000,49.0000,48.4200,48.6100,40.2460,12709.00
2008-09-02,51.4700,51.4700,48.2300,48.4800,40.1384,6648.00
2008-09-03,49.3300,49.4800,49.0300,49.4800,40.9663,5390.00
2008-09-04,47.8800,48.0500,47.2860,47.4200,39.2608,35121.00
2008-09-05,47.4600,47.7300,46.2800,47.7300,39.5174,11989.00
2008-09-08,47.9400,48.8300,47.8800,48.5900,40.2295,13802.00
2008-09-09,48.5800,48.5800,46.2000,46.7500,38.7061,8710.00
2008-09-10,47.5700,48.0300,47.5300,48.0300,39.7658,2571.00
2008-09-11,47.2700,48.3300,47.2700,48.3300,40.0142,17148.00
2008-09-12,48.1100,48.9600,48.0950,48.9600,40.5358,6368.00
2008-09-15,48.3700,48.3700,47.3300,47.4120,39.2542,4833.00
