Date,Open,High,Low,Close,Adjusted_close,Volume
2013-09-19,18.5000,20.8000,18.5000,19.9900,19.9900,5516900.00
2013-09-20,20.4500,20.9900,19.8000,20.9900,20.9900,331100.00
2013-09-23,21.2500,21.6800,19.8300,20.0300,20.0300,334700.00
2013-09-24,20.1500,22.0000,19.9001,21.7000,21.7000,453400.00
2013-09-25,22.4900,22.9900,22.0100,22.5700,22.5700,342100.00
2013-09-26,23.2900,23.4078,21.7100,22.1400,22.1400,175200.00
2013-09-27,21.8400,23.0000,21.8400,22.9200,22.9200,141100.00
2013-09-30,22.8000,22.9599,22.0000,22.2300,22.2300,320500.00
2013-10-01,22.2300,22.9500,21.7900,22.5000,22.5000,241300.00
2013-10-02,22.5500,23.4900,21.9910,23.4900,23.4900,136300.00
2013-10-03,24.0000,25.9700,23.0400,25.7900,25.7900,284200.00
2013-10-04,25.7900,26.7300,25.3900,25.8900,25.8900,316700.00
2013-10-07,25.7500,26.3900,25.0100,25.9000,25.9000,258600.00
2013-10-08,25.7100,26.2400,22.8000,23.2000,23.2000,158900.00
2013-10-09,23.1100,23.1800,19.2110,19.9800,19.9800,318800.00
2013-10-10,20.9000,22.4900,20.1100,20.6300,20.6300,270900.00
2013-10-11,20.5000,22.3990,20.5000,22.1200,22.1200,100000.00
2013-10-14,22.4800,22.7900,21.1900,21.2800,21.2800,113100.00
2013-10-15,21.2800,22.3600,21.2800,22.1300,22.1300,76700.00
2013-10-16,22.2000,22.8399,21.7100,22.6200,22.6200,83600.00
2013-10-17,22.6000,22.6000,21.5500,22.0500,22.0500,128400.00
2013-10-18,21.4000,22.8500,21.4000,22.8000,22.8000,78000.00
2013-10-21,22.8200,22.8200,21.8500,22.3700,22.3700,70800.00
2013-10-22,22.3700,22.8500,22.0000,22.7500,22.7500,72400.00
2013-10-23,22.7600,23.4500,22.5700,23.0600,23.0600,32500.00
2013-10-24,23.3400,23.4999,22.7900,23.2500,23.2500,159300.00
2013-10-25,22.9400,23.8000,22.6600,22.8500,22.8500,65200.00
2013-10-28,23.2000,23.9900,22.0000,23.7600,23.7600,30200.00
2013-10-29,23.5800,23.6500,22.1400,22.7400,22.7400,29700.00
2013-10-30,22.9700,23.2500,22.7500,22.8500,22.8500,86400.00
2013-10-31,22.9401,23.2050,21.5700,22.5400,22.5400,29600.00
2013-11-01,22.5200,22.5200,21.1000,21.2400,21.2400,13000.00
2013-11-04,21.1000,21.1000,20.0000,20.2800,20.2800,68100.00
2013-11-05,20.3300,22.2200,20.0600,21.4600,21.4600,80400.00
2013-11-06,21.6300,21.6500,16.7800,19.5300,19.5300,328400.00
2013-11-07,20.3100,20.4500,17.2620,17.4000,17.4000,39900.00
2013-11-08,17.4200,18.8190,16.7800,18.5000,18.5000,57300.00
2013-11-11,18.5500,19.2000,18.5000,19.0300,19.0300,15200.00
2013-11-12,19.1300,19.4100,18.5900,19.0100,19.0100,72000.00
2013-11-13,18.9400,19.8100,18.9400,19.4580,19.4580,18000.00
2013-11-14,19.5900,19.7350,18.9601,19.2900,19.2900,9600.00
2013-11-15,19.7400,20.5300,19.0500,19.7100,19.7100,39100.00
2013-11-18,19.7000,19.9200,19.2450,19.4700,19.4700,72800.00
2013-11-19,19.5100,19.9600,19.1500,19.7700,19.7700,17400.00
2013-11-20,19.7900,20.3299,19.7600,19.7600,19.7600,41600.00
2013-11-21,20.0200,20.5200,19.7700,20.5200,20.5200,19000.00
2013-11-22,21.0200,21.8800,19.9600,21.0700,21.0700,16500.00
2013-11-25,20.8700,21.5000,20.8000,21.2400,21.2400,19800.00
2013-11-26,21.4900,21.7400,20.8800,21.4500,21.4500,18300.00
2013-11-27,21.5500,22.0100,21.0400,21.6800,21.6800,82800.00
2013-11-29,21.8100,22.0800,21.2900,21.7700,21.7700,69600.00
2013-12-02,21.7600,22.1100,21.5028,22.0900,22.0900,57300.00
2013-12-03,22.4100,23.5200,21.5900,23.2800,23.2800,69100.00
2013-12-04,23.2700,24.7600,22.9100,24.0800,24.0800,73100.00
2013-12-05,24.0300,24.7800,23.4400,24.1100,24.1100,46100.00
2013-12-06,24.1100,26.0500,23.8300,25.9900,25.9900,86900.00
2013-12-09,26.2300,28.9000,26.2300,27.2400,27.2400,170700.00
2013-12-10,27.4700,30.0000,26.9500,29.9200,29.9200,91100.00
2013-12-11,30.6100,31.4300,27.3800,28.0700,28.0700,190800.00
2013-12-12,27.0000,29.5500,25.2700,29.2200,29.2200,315500.00
2013-12-13,28.9000,29.9400,28.0000,29.1900,29.1900,98600.00
2013-12-16,28.9800,30.6200,28.4000,28.7200,28.7200,193200.00
2013-12-17,28.9200,29.0000,26.8200,27.6200,27.6200,158400.00
2013-12-18,27.8600,29.9900,26.8100,27.2100,27.2100,281100.00
2013-12-19,26.8700,28.9300,26.1500,28.7400,28.7400,146700.00
2013-12-20,29.0000,30.0000,27.1200,30.0000,30.0000,1206300.00
2013-12-23,29.7300,33.8300,29.5300,32.9700,32.9700,197000.00
2013-12-24,32.9700,33.8500,31.7400,32.7500,32.7500,119300.00
2013-12-26,32.8500,35.5500,32.2250,35.1400,35.1400,201500.00
2013-12-27,35.8100,37.2800,34.3910,35.2500,35.2500,149600.00
2013-12-30,35.5800,37.6599,35.1500,35.2600,35.2600,145900.00
2013-12-31,35.1500,40.0200,35.1500,39.6000,39.6000,254200.00
2014-01-02,39.9200,40.0000,36.8600,38.1100,38.1100,136000.00
2014-01-03,38.2000,39.9900,37.7600,39.0100,39.0100,124200.00
2014-01-06,39.3800,40.9500,38.1000,40.9400,40.9400,151100.00
2014-01-07,41.8100,43.7000,41.2200,41.6700,41.6700,332400.00
2014-01-08,41.4600,42.3700,40.2800,41.2600,41.2600,188200.00
