Date,Open,High,Low,Close,Adjusted_close,Volume
2015-03-24,25.8300,26.3500,25.7500,25.7500,24.6006,412648.00
2015-03-25,25.7800,25.7900,25.3000,25.3200,24.1898,188603.00
2015-03-26,25.4000,26.0900,24.9000,25.1400,24.0179,581353.00
2015-03-27,25.1500,25.3200,25.1500,25.3100,24.1803,304936.00
2015-03-30,25.4000,25.5200,25.4000,25.5100,24.3713,260159.00
2015-03-31,25.3400,25.3800,25.2520,25.3050,24.1755,87100.00
2015-04-01,25.5800,25.5800,25.1000,25.1400,24.0179,111385.00
2015-04-02,25.2300,25.3716,25.2200,25.3700,24.2376,126300.00
2015-04-06,25.8500,25.8500,25.4750,25.5100,24.3713,170433.00
2015-04-07,25.5300,25.6700,25.5300,25.5350,24.3952,101468.00
2015-04-08,25.6000,25.7200,25.6000,25.6300,24.4860,122707.00
2015-04-09,25.6800,25.7900,25.6600,25.7600,24.6102,121647.00
2015-04-10,25.8000,25.9300,25.8000,25.9100,24.7535,189787.00
2015-04-13,25.9700,25.9900,25.9500,25.9500,24.7917,126169.00
2015-04-14,26.3300,26.3300,25.8500,25.8662,24.7116,102128.00
2015-04-15,25.9600,26.0900,25.9200,26.0500,24.8872,124643.00
2015-04-16,26.0500,26.1400,26.0099,26.1100,24.9446,141226.00
2015-04-17,25.8600,25.8750,25.7085,25.7145,24.5667,107214.00
2015-04-20,25.8200,25.9200,25.8100,25.8800,24.7248,83014.00
2015-04-21,26.0800,26.0800,26.0200,26.0200,24.8586,87083.00
2015-04-22,26.0800,26.1200,25.9510,26.1100,24.9446,88478.00
2015-04-23,26.0200,26.2700,25.9900,26.2550,25.0831,112418.00
2015-04-24,26.2600,26.2700,26.1500,26.1500,24.9828,112312.00
2015-04-27,26.2800,26.3700,26.0000,26.0000,24.8395,79580.00
2015-04-28,26.5300,26.5300,25.8000,25.9686,24.8095,86268.00
2015-04-29,25.8100,25.9000,25.7550,25.8186,24.6662,65385.00
