Date,Open,High,Low,Close,Adjusted_close,Volume
2018-06-06,261.4300,265.2800,260.7700,265.1500,265.1500,9283856.00
2018-06-07,265.0000,265.4785,259.2500,262.9000,262.9000,9236216.00
2018-06-08,259.9600,264.0000,259.2000,262.2800,262.2800,9011443.00
2018-06-11,261.7700,263.4500,260.1000,260.6200,260.6200,6634253.00
2018-06-12,261.6900,263.0700,259.6600,262.5800,262.5800,7978985.00
2018-06-13,262.6400,265.6700,262.0310,262.4000,262.4000,8455159.00
2018-06-14,264.2200,269.2000,263.6200,266.9100,266.9100,10750400.00
2018-06-15,264.6000,267.4800,263.3500,265.2600,265.2600,10771900.00
2018-06-18,263.4800,265.8000,262.3800,265.0900,265.0900,8906674.00
2018-06-19,260.9200,263.6400,255.0200,260.1700,260.1700,14873300.00
2018-06-20,261.8320,264.4500,260.2808,262.3100,262.3100,9244494.00
2018-06-21,263.6000,264.3400,256.8000,257.1100,257.1100,8987906.00
2018-06-22,257.9500,258.4900,250.3301,250.9500,250.9500,10853954.00
2018-06-25,246.6500,246.8000,235.5400,239.1200,239.1200,16645400.00
2018-06-26,243.7000,245.6500,239.9101,241.9900,241.9900,11972137.00
2018-06-27,243.7500,246.4300,235.5000,235.7200,235.7200,11347300.00
2018-06-28,235.3200,241.3400,235.0100,240.8600,240.8600,8450300.00
2018-06-29,243.4900,244.0000,236.8500,236.9000,236.9000,9793800.00
2018-07-02,234.0900,242.3900,233.2649,242.2400,242.2400,8939348.00
2018-07-03,243.6400,243.8800,236.5000,236.8400,236.8400,5568325.00
2018-07-05,239.0700,242.9300,237.5000,242.7300,242.7300,7655448.00
2018-07-06,241.7400,247.6650,240.8800,247.3300,247.3300,7408822.00
2018-07-09,250.3300,250.7200,246.0700,249.2500,249.2500,7597000.00
2018-07-10,249.7500,254.1400,248.1200,253.2500,253.2500,9000390.00
2018-07-11,249.5000,250.9000,247.1000,247.5300,247.5300,9187700.00
2018-07-12,249.3600,253.1700,248.9600,251.2300,251.2300,8637700.00
2018-07-13,251.9800,251.9800,247.6200,249.3200,249.3200,6174700.00
2018-07-16,248.2000,250.3400,247.7000,248.2000,248.2000,4925926.00
2018-07-17,246.2100,254.3000,245.1800,253.6900,253.6900,9053395.00
2018-07-18,253.3900,253.9500,249.6400,251.7000,251.7000,6941041.00
2018-07-19,250.9400,253.3900,250.3300,252.0300,252.0300,5893783.00
2018-07-20,251.9300,253.5000,250.4500,250.8900,250.8900,5562161.00
2018-07-23,249.8200,249.8900,243.2800,249.4100,249.4100,7539600.00
2018-07-24,251.3500,254.8500,248.0000,248.7100,248.7100,8865545.00
2018-07-25,249.0900,252.3800,246.7500,251.8700,251.8700,8004551.00
2399
