"MacroTrends Data Download"
"ABAX - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1992-01-23,14.5163,16.3894,13.5798,14.7504,2249000
1992-01-24,14.9846,15.4528,14.5163,14.7504,361800
1992-01-27,14.9846,14.9846,13.1115,13.8139,251600
1992-01-28,14.2822,14.2822,13.8139,14.0480,78600
1992-01-29,14.2822,14.5163,13.8139,13.8139,193100
1992-01-30,14.0480,14.2822,13.3456,13.3456,110400
1992-01-31,13.3456,13.8139,11.7067,12.4091,331700
1992-02-03,11.9408,12.4091,11.4726,11.9408,149700
1992-02-04,11.9408,12.4091,11.9408,12.1750,79400
1992-02-05,12.4091,12.6432,12.1750,12.6432,70500
1992-02-06,12.1750,13.5798,12.1750,13.3456,117500
1992-02-07,13.3456,13.5798,12.8774,12.8774,8600
1992-02-10,13.5798,13.5798,12.6432,12.6432,20300
1992-02-11,13.3456,13.3456,11.9408,12.2967,130300
1992-02-12,12.6432,12.6432,11.2384,11.2384,17500
1992-02-13,11.7067,11.7067,10.7702,10.7702,63800
1992-02-14,11.4726,11.4726,9.8336,10.3019,167200
1992-02-18,10.0678,10.0678,9.0142,9.5995,50700
1992-02-19,8.8971,9.3654,8.8971,9.1312,104700
1992-02-20,8.8971,9.3654,8.8971,9.3654,18300
1992-02-21,9.3654,9.3654,8.8971,9.3654,19100
1992-02-24,8.8971,9.3654,8.8971,8.8971,86700
1992-02-25,9.1312,9.3654,8.8971,8.8971,110200
1992-02-26,9.5995,9.8336,9.1312,9.3654,77700
1992-02-27,9.5995,9.5995,8.8971,9.3654,34700
1992-02-28,9.5995,9.5995,8.8971,9.5995,45000
1992-03-02,9.4871,9.5995,8.8971,9.3654,25500
1992-03-03,8.8971,9.3654,8.8971,9.3654,11500
1992-03-04,8.7800,9.3654,8.6630,8.6630,151100
1992-03-05,9.1312,9.1312,8.6630,9.1312,6500
1992-03-06,8.6630,8.8971,8.4288,8.4288,48800
1992-03-09,8.4288,8.8971,7.7264,7.7264,18700
1992-03-10,7.7264,8.1947,7.4923,7.7264,46100
1992-03-11,7.9605,8.1947,7.4923,8.1947,436200
1992-03-12,7.7264,8.1947,7.7264,8.0776,47500
1992-03-13,8.1947,8.1947,7.4923,7.9605,5100
1992-03-16,7.9605,7.9605,7.9605,7.9605,1900
1992-03-17,7.4923,7.9605,7.4923,7.7264,21100
1992-03-18,7.2581,7.7264,7.2581,7.7264,19000
1992-03-19,7.7264,7.7264,7.4923,7.6093,21200
1992-03-20,7.7264,7.9605,7.4923,7.8435,153000
1992-03-23,7.7264,7.9605,7.4923,7.4923,32300
1992-03-24,7.7264,7.7264,7.4923,7.7264,9300
1992-03-25,7.4923,7.7264,7.4923,7.7264,18300
1992-03-26,7.7264,7.7264,7.4923,7.7264,32800
1992-03-27,7.7264,7.7264,7.2581,7.2581,20300
1992-03-30,7.4923,7.4923,5.6192,6.5557,187500
1992-03-31,6.7899,6.7899,6.3216,6.5557,5600
1992-04-01,6.3216,6.5557,5.6192,5.8533,164000
1992-04-02,5.6192,6.3216,5.6192,6.2045,250400
1992-04-03,6.3216,6.3216,6.0875,6.0875,35900
1992-04-06,6.0875,6.7899,6.0875,6.3216,138000
1992-04-07,6.3216,6.5557,6.3216,6.3216,55500
1992-04-08,6.5557,6.5557,6.3216,6.5557,26700
1992-04-09,6.4387,7.4923,6.4387,7.1411,131100
1992-04-10,7.4923,7.4923,6.7899,7.1411,16200
1992-04-13,7.4923,7.4923,7.3752,7.4923,6500
1992-04-14,7.4923,7.4923,7.2581,7.3752,15100
1992-04-15,7.2581,7.4923,7.2581,7.2581,92200
1992-04-16,7.4923,7.4923,7.2581,7.2581,16500
1992-04-20,7.4923,7.4923,7.0240,7.4923,8700
1992-04-21,7.0240,7.4923,7.0240,7.2581,44800
1992-04-22,7.0240,7.4923,7.0240,7.0240,88400
