"MacroTrends Data Download"
"ABEO - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1980-09-19,50000.0000,52500.0000,50000.0000,50000.0000,0
1980-09-22,60000.0000,61250.0000,60000.0000,60000.0000,0
1980-09-23,61250.0000,63750.0000,61250.0000,61250.0000,0
1980-09-24,58750.0000,58750.0000,57500.0000,57500.0000,0
1980-09-25,60000.0000,62500.0000,60000.0000,60000.0000,0
1980-09-26,60000.0000,60000.0000,57500.0000,57500.0000,0
1980-09-29,57500.0000,58750.0000,56250.0000,56250.0000,0
1980-09-30,58750.0000,60000.0000,58750.0000,58750.0000,0
1980-10-01,60000.0000,61250.0000,60000.0000,60000.0000,0
1980-10-02,60000.0000,61250.0000,60000.0000,60000.0000,0
1980-10-03,60000.0000,61250.0000,60000.0000,60000.0000,0
1980-10-06,61250.0000,62500.0000,61250.0000,61250.0000,0
1980-10-07,63750.0000,65000.0000,63750.0000,63750.0000,0
1980-10-08,67500.0000,68750.0000,67500.0000,67500.0000,0
1980-10-09,66250.0000,66250.0000,65000.0000,65000.0000,0
1980-10-10,65000.0000,66250.0000,65000.0000,65000.0000,0
1980-10-13,68750.0000,70000.0000,68750.0000,68750.0000,0
1980-10-14,71250.0000,72500.0000,71250.0000,71250.0000,0
1980-10-15,71250.0000,72500.0000,71250.0000,71250.0000,0
1980-10-16,71250.0000,73750.0000,71250.0000,71250.0000,0
1980-10-17,71250.0000,73750.0000,71250.0000,71250.0000,0
1980-10-20,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-10-21,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-10-22,72500.0000,75000.0000,72500.0000,72500.0000,0
1980-10-23,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-10-24,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-10-27,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-10-28,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-10-29,75000.0000,76250.0000,75000.0000,75000.0000,0
1980-10-30,75000.0000,77500.0000,75000.0000,75000.0000,0
1980-10-31,75000.0000,76250.0000,75000.0000,75000.0000,0
1980-11-03,75000.0000,76250.0000,75000.0000,75000.0000,0
1980-11-05,76250.0000,77500.0000,76250.0000,76250.0000,0
1980-11-06,76250.0000,77500.0000,75000.0000,75000.0000,0
1980-11-07,75000.0000,77500.0000,75000.0000,75000.0000,0
1980-11-10,75000.0000,76250.0000,75000.0000,75000.0000,0
1980-11-11,73750.0000,73750.0000,71250.0000,71250.0000,0
1980-11-12,73750.0000,75000.0000,73750.0000,73750.0000,0
1980-11-13,76250.0000,77500.0000,76250.0000,76250.0000,0
1980-11-14,82500.0000,83750.0000,82500.0000,82500.0000,0
1980-11-17,86250.0000,87500.0000,86250.0000,86250.0000,0
1980-11-18,87500.0000,90000.0000,87500.0000,87500.0000,0
1980-11-19,87500.0000,88750.0000,87500.0000,87500.0000,0
1980-11-20,87500.0000,88750.0000,87500.0000,87500.0000,0
1980-11-21,87500.0000,87500.0000,86250.0000,86250.0000,0
1980-11-24,86250.0000,86250.0000,83750.0000,83750.0000,0
1980-11-25,83750.0000,85000.0000,82500.0000,82500.0000,0
1980-11-26,82500.0000,83750.0000,82500.0000,82500.0000,0
1980-11-28,82500.0000,83750.0000,82500.0000,82500.0000,0
1980-12-01,78750.0000,78750.0000,76250.0000,76250.0000,0
1980-12-02,76250.0000,76250.0000,75000.0000,75000.0000,0
1980-12-03,76250.0000,77500.0000,76250.0000,76250.0000,0
1980-12-04,75000.0000,75000.0000,73750.0000,73750.0000,0
1980-12-05,73750.0000,75000.0000,73750.0000,73750.0000,0
1980-12-08,73750.0000,73750.0000,71250.0000,71250.0000,0
1980-12-09,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-12-10,72500.0000,72500.0000,70000.0000,70000.0000,0
1980-12-11,70000.0000,71250.0000,68750.0000,68750.0000,0
1980-12-12,72500.0000,73750.0000,72500.0000,72500.0000,0
1980-12-15,73750.0000,75000.0000,73750.0000,73750.0000,0
1980-12-16,73750.0000,73750.0000,72500.0000,72500.0000,0
