"MacroTrends Data Download"
"ABEOW - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2015-06-22,2.4000,2.4000,2.4000,2.4000,25
2015-06-23,2.9000,2.9899,2.1420,2.6000,14512
2015-06-24,2.6000,2.6000,2.2200,2.4800,5850
2015-06-25,2.3000,2.3338,2.3000,2.3300,1005
2015-06-26,2.2300,2.2300,2.0000,2.0500,3300
2015-06-29,2.0200,2.0530,2.0200,2.0300,530
2015-06-30,1.8500,1.9500,1.7200,1.9000,13249
2015-07-01,1.9000,1.9900,1.6500,1.6500,4669
2015-07-02,1.5000,1.6100,1.1000,1.4800,15290
2015-07-06,1.3000,1.3000,1.0700,1.2400,500
2015-07-07,1.2400,1.9500,1.2400,1.6500,9654
2015-07-08,2.5400,2.5400,1.5000,1.5600,32143
2015-07-09,1.6000,1.9400,1.5500,1.7000,16740
2015-07-10,1.9500,2.2100,1.9500,2.0500,16018
2015-07-13,2.3000,2.7500,2.3000,2.5600,24297
2015-07-14,3.0000,3.0000,2.5000,2.5000,24988
2015-07-15,2.8500,2.8500,2.3501,2.4000,12574
2015-07-16,2.1600,2.2000,1.6000,1.9500,11346
2015-07-17,1.9700,2.0100,1.8600,1.9500,7825
2015-07-20,2.2100,2.3400,1.9000,1.9723,5714
2015-07-21,2.0100,2.0100,1.9840,1.9840,372
2015-07-22,1.8300,2.0000,1.8300,1.9000,4976
2015-07-23,1.9000,1.9000,1.9000,1.9000,70
2015-07-24,2.0900,2.0900,1.9300,1.9300,450
2015-07-27,1.6500,1.6500,1.6500,1.6500,285
2015-07-28,2.0000,2.8000,1.6500,2.0700,42825
2015-07-29,2.3000,2.5900,2.0800,2.1900,10821
2015-07-30,2.1500,2.1500,2.1500,2.1500,114
2015-07-31,2.6000,2.6000,2.2510,2.4500,6585
2015-08-03,2.4300,2.6700,2.4300,2.5000,2928
2015-08-04,2.4500,2.8000,2.4500,2.5501,1556
2015-08-05,2.3000,2.8000,2.3000,2.4000,9249
2015-08-06,2.3200,2.3200,2.2999,2.2999,2553
2015-08-07,2.0800,2.1000,2.0700,2.0700,2113
2015-08-10,2.1200,2.7500,2.1200,2.7500,1370
2015-08-11,2.5900,2.7400,2.1400,2.2590,3027
2015-08-12,2.2600,2.5153,2.0700,2.3500,10378
2015-08-13,2.1200,2.1700,2.0800,2.1200,2498
2015-08-14,2.1000,2.2596,2.0700,2.1300,2092
2015-08-17,2.0900,2.3500,2.0500,2.3500,1888
2015-08-18,2.1300,2.5300,1.5800,1.5800,8694
2015-08-19,2.2500,2.2500,1.7300,2.1800,10027
2015-08-20,1.8100,1.8100,1.6900,1.6900,4087
2015-08-21,1.6901,2.0700,1.6901,2.0000,4681
2015-08-24,1.5000,1.8600,1.2600,1.2600,3299
2015-08-25,1.6700,2.0500,1.6200,1.8500,22802
2015-08-26,2.0000,2.0000,1.6200,1.6737,3780
2015-08-27,1.7200,1.7300,1.3457,1.5500,4306
2015-08-28,1.8600,1.8800,1.5800,1.8300,4942
2015-08-31,2.0000,2.0000,1.8000,1.8000,3545
2015-09-01,1.6001,1.6001,1.6001,1.6001,600
2015-09-02,2.0000,2.0000,1.6600,1.6700,1505
2015-09-03,1.9900,2.0000,1.7100,1.7747,10501
2015-09-04,1.8000,1.8700,1.8000,1.8300,1705
2015-09-08,1.7101,1.7800,1.7101,1.7800,400
2015-09-09,1.9500,2.0000,1.7300,2.0000,9460
2015-09-10,2.0000,2.3500,2.0000,2.2000,5507
2015-09-11,2.1200,2.2100,2.1000,2.2100,809
2015-09-14,2.0200,2.1693,2.0100,2.1693,1610
2015-09-15,2.1693,2.1693,2.1693,2.1693,0
2015-09-16,1.7600,2.1200,1.7600,1.8600,6384
2015-09-17,1.8600,1.8600,1.8600,1.8600,0
2015-09-18,2.0000,2.3950,1.8100,2.0800,9468
2015-09-21,2.0800,2.0800,2.0800,2.0800,0
2015-09-22,2.0800,2.0800,2.0800,2.0800,0
2015-09-23,1.7100,1.9000,1.7100,1.7259,459
2015-09-24,2.3500,2.3500,1.8200,2.0000,16338
2015-09-25,1.9400,1.9400,1.8400,1.8400,2398
