"MacroTrends Data Download"
"ABIL - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2015-12-24,9.5000,9.5000,8.9400,9.0000,22600
2015-12-28,11.0300,11.0300,9.0200,9.1711,46861
2015-12-29,9.2900,9.2900,9.0800,9.1000,23630
2015-12-30,9.2400,9.3900,9.1000,9.3500,68130
2015-12-31,9.1300,9.9000,9.1300,9.9000,172311
2016-01-04,9.7985,10.4400,9.7800,10.1600,91893
2016-01-05,10.4500,10.5000,9.9400,10.0700,49461
2016-01-06,10.1100,10.1100,9.6500,9.7000,46206
2016-01-07,9.7900,9.7900,9.5000,9.6000,21863
2016-01-08,9.8000,9.8000,9.5601,9.6300,136322
2016-01-11,9.8000,9.8500,9.6300,9.6400,111125
2016-01-12,9.7100,9.7600,9.5400,9.6500,73738
2016-01-13,9.6900,9.6900,9.2200,9.2800,58838
2016-01-14,9.4000,9.5000,9.3653,9.4400,59954
2016-01-15,9.2900,9.3500,9.0000,9.3300,36657
2016-01-19,9.2900,9.3500,9.1700,9.1700,64544
2016-01-20,9.1800,9.1800,8.7800,9.0000,38729
2016-01-21,9.0000,9.2140,9.0000,9.1000,36360
2016-01-22,9.1200,9.1200,9.0400,9.0900,46774
2016-01-25,9.1100,9.1100,8.8900,9.0500,17084
2016-01-26,9.1200,9.2000,9.0350,9.2000,139172
2016-01-27,9.4800,9.5000,9.3600,9.4400,156274
2016-01-28,9.2911,9.3600,8.5000,8.5300,111213
2016-01-29,8.7400,8.7400,8.4300,8.5500,14147
2016-02-01,8.1299,8.1299,7.5000,7.6100,38279
2016-02-02,7.2900,7.4000,7.0700,7.0700,19636
2016-02-03,7.1700,7.3100,6.6900,7.2000,21016
2016-02-04,7.0900,7.2450,6.9975,7.1800,22463
2016-02-05,7.2611,7.4000,7.1300,7.2200,17643
2016-02-08,6.9100,7.2800,6.9000,7.2400,12371
2016-02-09,7.1000,7.1000,6.1800,6.4800,26644
2016-02-10,6.4401,6.7900,6.3622,6.4700,11615
2016-02-11,6.3000,6.3000,5.7500,6.0400,15765
2016-02-12,5.9200,6.0300,5.8000,6.0200,4861
2016-02-16,6.2200,6.7500,6.2000,6.7400,26427
2016-02-17,6.7500,7.1900,6.7500,7.0700,36168
2016-02-18,7.0800,7.4500,6.9100,7.4500,99532
2016-02-19,7.2000,7.3000,7.0300,7.0300,16766
2016-02-22,7.2500,7.2500,7.0019,7.0100,11496
2016-02-23,7.1900,7.2000,6.9000,6.9200,5032
2016-02-24,7.0500,7.1900,6.8100,7.1800,6415
2016-02-25,7.1000,7.2000,7.1000,7.2000,2478
2016-02-26,7.1900,7.2000,7.1800,7.1800,4184
2016-02-29,7.2000,7.2400,7.1200,7.1650,8209
2016-03-01,7.1800,7.4500,7.1100,7.2000,31217
2016-03-02,7.1300,7.2500,7.1200,7.2000,22024
2016-03-03,6.5600,6.9200,6.4300,6.9200,10348
2016-03-04,6.1410,6.8400,6.1400,6.6999,12005
2016-03-07,6.7200,6.8200,6.3650,6.3700,4642
2016-03-08,6.4500,6.8499,6.3400,6.3500,12223
2016-03-09,6.4500,6.7000,6.1300,6.5000,26337
2016-03-10,6.6000,6.6700,6.2000,6.4800,22902
2016-03-11,6.4535,6.4535,6.4000,6.4000,2210
2016-03-14,6.4500,6.7000,6.3500,6.6999,7614
2016-03-15,6.6999,6.6999,6.6999,6.6999,185
2016-03-16,6.5100,6.5100,6.1000,6.1301,10252
2016-03-17,6.3700,6.4000,6.1900,6.3000,8859
2016-03-18,6.3900,6.3900,6.1500,6.3800,6043
2016-03-21,6.3500,6.3500,5.9001,6.2250,11592
2016-03-22,6.2200,6.3200,5.9600,6.1400,27411
2016-03-23,6.2500,6.6500,6.1300,6.4800,15764
2016-03-24,6.5700,6.5800,6.3800,6.5600,8145
2016-03-28,6.4300,6.4300,5.7601,6.0700,10367
2016-03-29,6.2500,6.2800,6.0500,6.2500,2146
2016-03-30,6.2500,6.4022,6.1500,6.2000,4605
2016-03-31,6.2000,6.2000,6.2000,6.2000,492
2016-04-01,6.2400,6.2400,6.0200,6.1885,3273
2016-04-04,5.9100,6.1250,5.9100,6.1250,1368
2016-04-05,5.9500,6.1400,5.6901,5.7700,2532
2016-04-06,6.2000,6.2100,5.7100,5.7700,8226
2016-04-07,5.8100,6.0100,5.8100,6.0100,5031
2016-04-08,5.9000,6.5400,5.6800,6.0900,6034
2016-04-11,6.5900,6.8203,6.5900,6.7385,17204
2016-04-12,6.9900,6.9900,6.6500,6.6500,4521
2016-04-13,6.8000,6.8000,6.6500,6.7400,4851
2016-04-14,6.8000,6.8500,6.7900,6.8100,1472
2016-04-15,6.8300,6.8300,6.8000,6.8000,1538
2016-04-18,6.8100,6.8300,6.6400,6.6400,5678
2016-04-19,6.8700,6.9100,6.8000,6.8000,3023
2016-04-20,6.9499,7.5000,6.8400,7.1601,36998
2016-04-21,7.2700,7.9792,7.1600,7.4600,27922
2016-04-22,7.4757,7.5500,7.2000,7.2000,4133
2016-04-25,7.0046,7.5200,7.0046,7.3700,3675
2016-04-26,7.1400,7.1600,7.0100,7.0500,4642
2016-04-27,7.1100,7.1100,7.1100,7.1100,185
2016-04-28,7.4999,7.5800,7.2000,7.4100,31963
2016-04-29,7.5199,8.0000,7.3001,7.3200,28597
2016-05-02,5.6500,5.9200,4.8900,4.9000,232572
2016-05-03,5.0000,5.0000,4.3700,4.5700,156054
2016-05-04,4.5800,4.6399,3.7500,4.1500,137225
2016-05-05,4.0800,4.1500,3.8000,3.8000,57248
2016-05-06,3.8000,3.8000,2.7700,3.0000,380645
2016-05-09,3.0900,3.2500,3.0000,3.0700,155262
2016-05-10,3.2000,3.4200,3.1700,3.3200,42281
2016-05-11,3.3600,3.4800,3.2100,3.3300,21762
2016-05-12,3.3100,3.3100,3.1100,3.1100,44903
2016-05-13,3.1300,3.2061,3.0000,3.1700,59163
2016-05-16,3.2000,3.2500,3.1200,3.1700,62415
2016-05-17,3.1400,3.1500,2.9000,2.9200,50957
2016-05-18,2.9500,2.9500,2.8320,2.8400,20284
2016-05-19,2.8000,2.8480,2.7600,2.7600,25089
2016-05-20,2.7500,2.8000,2.5240,2.7700,75827
2016-05-23,2.7100,2.7850,2.6500,2.7100,36199
2016-05-24,2.7850,2.7850,2.6000,2.7000,70459
2016-05-25,2.7000,2.8000,2.6500,2.7400,29559
2016-05-26,2.7800,3.0341,2.7800,2.9000,62641
2016-05-27,2.9000,2.9000,2.8000,2.8300,20236
2016-05-31,2.9100,3.4400,2.9000,3.3900,93174
2016-06-01,3.4200,3.4200,3.1800,3.1900,27273
2016-06-02,3.1800,3.2900,3.0000,3.0600,35247
2016-06-03,3.0800,3.1389,3.0200,3.1000,21518
2016-06-06,3.3000,3.7400,3.2800,3.6500,88212
2016-06-07,3.7300,3.8900,3.6600,3.6625,37148
2016-06-08,3.6300,3.6800,3.5000,3.6500,20119
2016-06-09,3.6200,3.6790,3.5100,3.5500,14536
2016-06-10,3.5000,3.5467,3.3800,3.3900,18621
2016-06-13,3.9600,3.9600,3.4900,3.5500,83644
2016-06-14,3.7700,3.9600,3.7600,3.9500,87767
2016-06-15,3.9600,4.1400,3.6200,3.9900,74208
2016-06-16,4.0000,4.1500,3.9200,4.0000,39169
2016-06-17,4.2999,4.2999,4.0500,4.0600,19211
2016-06-20,4.1300,4.3799,4.0600,4.2500,41939
2016-06-21,4.3000,4.4300,4.2100,4.2600,23254
2016-06-22,4.3000,4.4300,4.2101,4.4000,23258
2016-06-23,4.4000,4.4000,4.2700,4.3499,17975
2016-06-24,4.0000,4.2200,4.0000,4.2095,19241
2016-06-27,4.0900,4.1000,3.6600,3.8600,59602
2016-06-28,3.9900,4.1700,3.9600,4.0300,58905
2016-06-29,4.2200,4.2200,4.1450,4.2000,16084
2016-06-30,4.2000,4.2000,3.9200,3.9200,12597
2016-07-01,4.0600,4.2100,3.9800,4.1900,41976
2016-07-05,4.0000,4.1000,3.9500,4.1000,44922
2016-07-06,4.0100,4.0100,3.8000,3.8800,65712
2016-07-07,3.8300,4.2300,3.8300,4.0900,70187
2016-07-08,4.1000,4.4300,4.0000,4.2600,75020
2016-07-11,4.3200,4.4400,4.2700,4.4400,59576
2016-07-12,4.4400,4.4800,4.3300,4.4300,82734
2016-07-13,4.4200,4.4400,4.3100,4.4300,22184
2016-07-14,4.4300,4.6900,4.4200,4.5800,28263
2016-07-15,4.6000,4.6600,4.5200,4.5300,13708
2016-07-18,4.5910,4.6900,4.4800,4.6400,28440
2016-07-19,4.6347,4.6347,4.5400,4.5800,3241
2016-07-20,4.6000,4.6200,4.5800,4.6200,8526
2016-07-21,4.5410,4.5900,4.5400,4.5900,3054
2016-07-22,4.6000,4.6000,4.5600,4.5608,6457
2016-07-25,4.5000,4.5200,4.1100,4.4500,58442
2016-07-26,4.3100,4.4500,4.3000,4.3600,31693
2016-07-27,4.4200,4.5300,4.3600,4.5200,18623
2016-07-28,4.5000,4.6200,4.4865,4.6100,27537
2016-07-29,4.6900,4.7700,4.6500,4.7600,66583
2016-08-01,4.9000,4.9000,4.8100,4.9000,77827
2016-08-02,4.9700,5.0800,4.9600,5.0500,95370
2016-08-03,5.0800,5.4400,5.0300,5.3200,63153
2016-08-04,5.3200,5.4000,5.2300,5.3900,57702
2016-08-05,5.4500,5.5500,5.4500,5.5101,69223
2016-08-08,5.6600,5.6600,5.4900,5.5600,47127
2016-08-09,5.6000,5.6000,5.5000,5.5400,22165
2016-08-10,5.5900,5.5900,5.4000,5.4500,30646
2016-08-11,5.4500,5.4540,5.0000,5.1499,76539
2016-08-12,5.2600,5.2600,4.6400,4.8800,72805
2016-08-15,4.5000,4.6500,4.3500,4.5900,161423
2016-08-16,4.6000,4.6000,4.1811,4.2500,91316
2016-08-17,4.2200,4.2200,3.9000,4.0500,100383
2016-08-18,4.0600,4.3700,4.0300,4.2600,55360
2016-08-19,4.2800,4.3200,4.1670,4.2800,16943
2016-08-22,4.2500,4.3800,4.1200,4.1200,43714
2016-08-23,4.1900,4.3272,4.1900,4.2600,18518
2016-08-24,4.2300,4.3200,4.2000,4.2300,17561
2016-08-25,4.2500,4.2500,4.1000,4.2000,19040
2016-08-26,4.2000,4.5000,4.1250,4.3300,105713
