"MacroTrends Data Download"
"ABMD - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1987-07-30,5.5000,5.5650,5.4400,5.5650,107000
1987-07-31,5.5650,5.5650,5.5000,5.5650,35400
1987-08-03,5.5650,5.5650,5.5000,5.5650,23800
1987-08-04,5.5650,5.5650,5.5000,5.5650,35800
1987-08-05,5.5650,5.5650,5.5000,5.5000,23800
1987-08-06,5.5000,5.5650,5.5000,5.5000,34000
1987-08-07,5.5000,5.5650,5.5000,5.5650,11400
1987-08-10,5.5000,5.5600,5.5000,5.5600,0
1987-08-11,5.5650,5.6900,5.5650,5.6250,58200
1987-08-12,5.6250,6.0000,5.5000,5.9400,30800
1987-08-13,6.0000,6.2500,6.0000,6.1250,34000
1987-08-14,6.1250,6.2500,6.0650,6.1900,20400
1987-08-17,6.1900,6.1900,6.0000,6.0650,22400
1987-08-18,6.0650,6.1250,5.8750,5.8750,28400
1987-08-19,5.8750,6.0000,5.8750,5.8750,15200
1987-08-20,6.0000,6.3150,6.0000,6.2500,72600
1987-08-21,6.3750,7.6250,6.3750,6.9400,48400
1987-08-24,6.9400,7.0650,6.7500,6.7500,36800
1987-08-25,6.7500,7.1250,6.7500,6.9400,34000
1987-08-26,6.8750,6.8750,6.5650,6.5650,22400
1987-08-27,6.5650,6.6250,6.3150,6.3150,21000
1987-08-28,6.3750,6.5650,6.3750,6.4400,4000
1987-08-31,6.4400,6.5000,6.3750,6.3750,4200
1987-09-01,6.3750,6.4400,6.3750,6.3750,5600
1987-09-02,6.3750,6.3750,6.2500,6.3750,2200
1987-09-03,6.2500,6.2500,6.1250,6.2500,6000
1987-09-04,6.2500,6.2500,5.8750,5.8750,16600
1987-09-08,5.8750,5.8750,5.4400,5.4400,15200
1987-09-09,5.4400,5.5000,5.3750,5.4400,5800
1987-09-10,5.4400,5.5000,5.4400,5.4400,3000
1987-09-11,5.5650,5.9400,5.5650,5.8150,13800
1987-09-14,5.8750,5.9400,5.8750,5.9400,2800
1987-09-15,5.8750,5.8750,5.8150,5.8750,3000
1987-09-16,5.8150,5.8150,5.6250,5.6250,6000
1987-09-17,5.5650,5.5650,5.5000,5.5000,2400
1987-09-18,5.5000,5.5000,5.5000,5.5000,1000
