"MacroTrends Data Download"
"FCCY - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1999-03-15,3.3924,3.3924,3.3924,3.3924,1321
1999-03-16,3.4725,3.9355,3.4725,3.9355,10362
1999-03-17,3.5003,3.5882,3.5003,3.5882,3417
1999-03-18,3.9984,3.9984,3.5348,3.5348,5401
1999-03-19,3.6238,3.6238,3.6238,3.6238,1321
1999-03-22,3.6238,3.6238,3.6238,3.6238,0
1999-03-23,3.6238,3.6238,3.6238,3.6238,0
1999-03-24,3.6238,3.6238,3.6238,3.6238,0
1999-03-25,3.6238,3.6238,3.6238,3.6238,0
1999-03-26,3.6238,3.6238,3.6238,3.6238,0
1999-03-29,3.6238,3.6238,3.6238,3.6238,0
1999-03-30,3.9355,3.9355,3.5882,3.5882,3199
1999-03-31,3.9355,3.9355,3.9355,3.9355,222
1999-04-01,3.9355,3.9355,3.9355,3.9355,0
1999-04-05,3.5882,3.5882,3.5882,3.5882,1321
1999-04-06,3.5882,3.5882,3.5882,3.5882,0
1999-04-07,3.5882,3.5882,3.5882,3.5882,0
1999-04-08,3.5882,3.5882,3.5882,3.5882,0
1999-04-09,3.5882,3.5882,3.5882,3.5882,0
1999-04-12,3.5926,3.8244,3.5926,3.6506,22932
1999-04-13,3.5925,3.7663,3.5925,3.7663,881
1999-04-14,3.7663,3.7663,3.7663,3.7663,0
1999-04-15,3.7663,3.7663,3.7663,3.7663,0
1999-04-16,3.7663,3.7663,3.7663,3.7663,0
1999-04-19,3.8197,4.0512,3.8197,3.9355,1762
1999-04-20,3.9355,3.9355,3.9355,3.9355,0
1999-04-21,3.9355,3.9355,3.9355,3.9355,0
1999-04-22,3.9355,3.9355,3.9355,3.9355,0
1999-04-23,3.7040,3.7040,3.7040,3.7040,440
1999-04-26,3.5882,3.9355,3.5882,3.9355,1321
1999-04-27,3.9355,3.9355,3.9355,3.9355,0
1999-04-28,3.9355,3.9355,3.9355,3.9355,0
