"MacroTrends Data Download"
"MSFT - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1986-03-13,0.0587,0.0673,0.0587,0.0644,1031788800
1986-03-14,0.0644,0.0679,0.0644,0.0667,308160000
1986-03-17,0.0667,0.0684,0.0667,0.0679,133171200
1986-03-18,0.0679,0.0684,0.0656,0.0661,67766400
1986-03-19,0.0661,0.0667,0.0644,0.0650,47894400
1986-03-20,0.0650,0.0650,0.0627,0.0633,58435200
1986-03-21,0.0633,0.0644,0.0604,0.0615,59990400
1986-03-24,0.0615,0.0615,0.0592,0.0598,65289600
1986-03-25,0.0598,0.0610,0.0592,0.0610,32083200
1986-03-26,0.0610,0.0633,0.0604,0.0627,22752000
1986-03-27,0.0627,0.0638,0.0627,0.0638,16848000
1986-03-31,0.0638,0.0638,0.0621,0.0633,12873600
1986-04-01,0.0633,0.0633,0.0627,0.0627,11088000
1986-04-02,0.0627,0.0644,0.0627,0.0633,27014400
1986-04-03,0.0638,0.0656,0.0638,0.0638,23040000
1986-04-04,0.0638,0.0644,0.0638,0.0638,26582400
1986-04-07,0.0638,0.0644,0.0615,0.0627,16560000
1986-04-08,0.0627,0.0644,0.0627,0.0633,10252800
1986-04-09,0.0633,0.0650,0.0633,0.0644,12153600
1986-04-10,0.0644,0.0656,0.0633,0.0650,13881600
1986-04-11,0.0656,0.0673,0.0656,0.0661,17222400
1986-04-14,0.0661,0.0673,0.0661,0.0667,12153600
1986-04-15,0.0667,0.0667,0.0644,0.0667,9302400
1986-04-16,0.0667,0.0696,0.0661,0.0690,31910400
1986-04-17,0.0690,0.0696,0.0690,0.0696,22003200
1986-04-18,0.0696,0.0696,0.0667,0.0673,21628800
1986-04-21,0.0673,0.0679,0.0656,0.0673,22924800
1986-04-22,0.0673,0.0673,0.0661,0.0661,15552000
1986-04-23,0.0661,0.0667,0.0656,0.0664,15609600
1986-04-24,0.0664,0.0742,0.0661,0.0730,62352000
1986-04-25,0.0736,0.0808,0.0736,0.0777,85795200
1986-04-28,0.0777,0.0788,0.0771,0.0782,28886400
1986-04-29,0.0782,0.0782,0.0754,0.0759,30326400
1986-04-30,0.0759,0.0765,0.0725,0.0742,30902400
1986-05-01,0.0742,0.0742,0.0719,0.0730,54345600
1986-05-02,0.0730,0.0742,0.0725,0.0730,20246400
1986-05-05,0.0730,0.0730,0.0725,0.0725,3254400
1986-05-06,0.0730,0.0742,0.0730,0.0730,9734400
1986-05-07,0.0730,0.0736,0.0719,0.0730,5155200
1986-05-08,0.0730,0.0736,0.0725,0.0736,3542400
1986-05-09,0.0736,0.0736,0.0730,0.0730,6076800
1986-05-12,0.0730,0.0754,0.0730,0.0736,10483200
1986-05-13,0.0736,0.0748,0.0736,0.0742,3830400
1986-05-14,0.0742,0.0742,0.0736,0.0736,9302400
1986-05-15,0.0736,0.0748,0.0736,0.0736,3801600
1986-05-16,0.0736,0.0759,0.0736,0.0742,11952000
1986-05-19,0.0742,0.0742,0.0725,0.0730,11001600
1986-05-20,0.0730,0.0730,0.0719,0.0725,61977600
1986-05-21,0.0725,0.0730,0.0713,0.0713,8092800
1986-05-22,0.0713,0.0719,0.0713,0.0713,4406400
1986-05-23,0.0713,0.0725,0.0713,0.0713,4089600
1986-05-27,0.0713,0.0736,0.0713,0.0736,13881600
1986-05-28,0.0736,0.0759,0.0736,0.0759,15523200
1986-05-29,0.0759,0.0788,0.0754,0.0777,45676800
1986-05-30,0.0782,0.0817,0.0782,0.0805,27072000
1986-06-02,0.0805,0.0805,0.0782,0.0782,19728000
1986-06-03,0.0782,0.0782,0.0771,0.0782,5011200
1986-06-04,0.0782,0.0788,0.0771,0.0777,4723200
1986-06-05,0.0777,0.0788,0.0771,0.0788,13708800
1986-06-06,0.0788,0.0788,0.0777,0.0788,3427200
1986-06-09,0.0788,0.0788,0.0754,0.0754,12672000
1986-06-10,0.0754,0.0754,0.0742,0.0754,3427200
1986-06-11,0.0754,0.0754,0.0742,0.0754,2304000
1986-06-12,0.0754,0.0754,0.0719,0.0725,13708800
1986-06-13,0.0725,0.0730,0.0719,0.0725,7891200
1986-06-16,0.0725,0.0730,0.0713,0.0719,9590400
1986-06-17,0.0725,0.0742,0.0725,0.0730,13075200
1986-06-18,0.0730,0.0730,0.0713,0.0725,4348800
1986-06-19,0.0725,0.0730,0.0713,0.0719,8467200
1986-06-20,0.0719,0.0725,0.0719,0.0722,3801600
1986-06-23,0.0722,0.0730,0.0707,0.0730,46195200
1986-06-24,0.0730,0.0736,0.0719,0.0725,14572800
1986-06-25,0.0725,0.0730,0.0713,0.0713,15235200
1986-06-26,0.0713,0.0719,0.0690,0.0690,19152000
1986-06-27,0.0690,0.0696,0.0679,0.0684,10396800
1986-06-30,0.0684,0.0725,0.0679,0.0707,62352000
1986-07-01,0.0707,0.0707,0.0702,0.0707,47577600
1986-07-02,0.0707,0.0707,0.0702,0.0707,52617600
1986-07-03,0.0713,0.0725,0.0713,0.0719,14140800
