"MacroTrends Data Download"
"PIH - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2014-04-01,8.0000,8.5000,7.9000,7.9500,642900
2014-04-02,7.9400,8.2900,7.9000,8.1600,228400
2014-04-03,8.2900,8.4000,8.0500,8.3900,105000
2014-04-04,8.5000,8.7000,8.3200,8.6900,113600
2014-04-07,8.8000,9.0000,8.5500,8.9400,60500
2014-04-08,8.9500,8.9900,8.8001,8.9000,31800
2014-04-09,8.8500,8.9000,8.8001,8.8900,50900
2014-04-10,8.9500,8.9500,8.7300,8.8300,22400
2014-04-11,8.9500,8.9500,8.7500,8.8900,30100
2014-04-14,8.9500,10.1899,8.9500,9.5500,25700
2014-04-15,9.9500,9.9500,9.2600,9.4900,50400
2014-04-16,9.4900,9.9799,9.2400,9.2400,5100
2014-04-17,9.2499,9.4700,8.9500,8.9500,16700
2014-04-21,8.9900,9.5000,8.9900,9.3100,20100
2014-04-22,9.2500,9.4100,9.2500,9.2600,11200
2014-04-23,9.0200,9.5000,8.9900,9.0350,13500
2014-04-24,9.1000,9.3900,9.0500,9.0600,6000
2014-04-25,9.1900,9.1900,9.0000,9.0100,12700
2014-04-28,8.9900,9.4900,8.9600,9.4900,26500
2014-04-29,9.1400,9.4300,9.0500,9.0900,7200
2014-04-30,9.1100,9.1800,9.0500,9.0500,8000
2014-05-01,9.0701,9.2500,8.9500,9.1000,44300
2014-05-02,9.1000,9.1000,9.0500,9.1000,4800
2014-05-05,9.0000,9.3100,8.9500,9.0200,34400
2014-05-06,9.0100,9.2880,9.0100,9.0500,33100
2014-05-07,9.0500,9.1100,9.0000,9.0000,14600
2014-05-08,8.9800,9.1000,8.9600,9.0500,15600
2014-05-09,9.0200,9.2600,9.0200,9.2600,28900
2014-05-12,9.2500,9.2600,9.0100,9.1000,58100
2014-05-13,9.1000,9.1999,9.0500,9.1100,7700
2014-05-14,9.1127,9.1300,9.1100,9.1100,4600
2014-05-15,9.1000,9.1899,9.0000,9.1899,27600
2014-05-16,9.2999,9.5000,9.1500,9.3800,33600
2014-05-19,9.4900,9.5000,9.3600,9.5000,17200
2014-05-20,9.6000,9.8990,9.5000,9.5700,18500
2014-05-21,8.9100,9.2000,8.5000,8.9000,40700
2014-05-22,8.8500,9.0900,8.7300,8.9000,37300
2014-05-23,8.9000,8.9900,8.7500,8.9900,42800
2014-05-27,9.0600,9.0600,8.7599,8.7700,79300
2014-05-28,8.7496,9.0000,8.5300,9.0000,31300
2014-05-29,8.7000,8.9400,8.7000,8.8005,9900
2014-05-30,8.7950,8.9200,8.7900,8.8100,17000
2014-06-02,8.8000,8.8500,8.6000,8.6900,16800
2014-06-03,8.9400,8.9400,8.2000,8.2100,63000
2014-06-04,8.1400,8.4000,7.9250,8.0700,81400
2014-06-05,8.0001,8.1000,7.9360,8.0500,45500
2014-06-06,8.0000,8.0200,7.8200,8.0200,75100
2014-06-09,8.0000,8.6200,7.5700,8.2600,566000
2014-06-10,8.2200,8.5000,8.1100,8.4100,1044500
2014-06-11,8.4900,8.7800,8.4600,8.6500,128100
2014-06-12,8.6000,8.7000,8.4800,8.5300,56500
2014-06-13,8.6000,8.6400,8.5000,8.5400,66800
2014-06-16,8.6000,8.6000,8.4100,8.5100,49900
2014-06-17,8.6000,8.7500,8.5928,8.6300,95400
2014-06-18,8.7000,8.7500,8.4800,8.5000,104400
2014-06-19,8.7000,8.7500,8.5600,8.7000,57300
2014-06-20,8.7500,8.7500,8.2600,8.2800,185200
2014-06-23,8.5500,8.6600,8.4110,8.4500,36600
2014-06-24,8.4600,8.8000,8.4500,8.4900,80100
2014-06-25,8.4100,8.6500,8.3601,8.5700,52400
2014-06-26,8.6400,8.9799,8.5001,8.6700,34400
2014-06-27,8.6400,9.3399,8.5200,8.8000,100500
2014-06-30,8.8500,9.1100,8.8400,8.9100,40900
2014-07-01,8.8400,9.0599,8.8100,8.9700,12700
2014-07-02,9.0000,9.0700,8.7100,8.9000,53700
2014-07-03,8.8300,9.0100,8.6600,8.9900,20600
2014-07-07,9.0000,9.1000,8.7800,8.8300,32400
2014-07-08,8.9700,8.9700,8.7500,8.7900,44600
2014-07-09,8.8400,8.9999,8.7500,8.8900,11200
2014-07-10,8.8500,8.9100,8.7600,8.7800,20400
2014-07-11,8.8500,8.8500,8.6100,8.7300,27600
2014-07-14,8.7100,8.9100,8.7100,8.8200,20600
2014-07-15,8.8600,8.9899,8.8100,8.8400,49100
2014-07-16,8.9800,8.9800,8.6300,8.6400,34800
