"MacroTrends Data Download"
"SHLM - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1986-07-09,3.2453,3.2453,3.2080,3.2080,222801
1986-07-10,3.2090,3.2463,3.1717,3.1717,237798
1986-07-11,3.1648,3.1648,3.0717,3.0717,70799
1986-07-14,3.0960,3.0960,2.8536,2.8536,457201
1986-07-15,2.8172,2.8732,2.7799,2.8172,411701
1986-07-16,2.7794,2.8354,2.7794,2.8354,144098
1986-07-17,2.8536,2.8536,2.8536,2.8536,10201
1986-07-18,2.8166,2.8539,2.8069,2.8263,592502
1986-07-21,2.8536,2.8536,2.7976,2.8536,9100
1986-07-22,2.8718,2.8718,2.7972,2.8718,36501
1986-07-23,2.8722,2.8722,2.8163,2.8536,15099
1986-07-24,2.8526,2.8899,2.8340,2.8899,13599
1986-07-25,2.8327,2.9445,2.8327,2.9445,92701
1986-07-28,2.9258,2.9631,2.9258,2.9445,139497
1986-07-29,2.9449,2.9449,2.9263,2.9263,75001
1986-07-30,2.9272,2.9272,2.8899,2.8899,54700
1986-07-31,2.8984,2.9081,2.8895,2.9081,85101
1986-08-01,2.9091,2.9277,2.8718,2.8718,59700
1986-08-04,2.8718,2.8718,2.8718,2.8718,7499
1986-08-05,2.8708,2.9081,2.8708,2.9081,97801
1986-08-06,2.8708,2.9081,2.8522,2.9081,11201
1986-08-07,2.8354,2.8354,2.8354,2.8354,21300
1986-08-08,2.8722,2.8722,2.8349,2.8536,49100
1986-08-11,2.8354,2.8541,2.8354,2.8354,83297
1986-08-12,2.8542,2.8729,2.8169,2.8445,162101
1986-08-13,2.8699,2.9445,2.8513,2.9445,197298
1986-08-14,2.9449,2.9636,2.9077,2.9263,60699
1986-08-15,2.9067,2.9626,2.9067,2.9626,178801
1986-08-18,2.9081,2.9640,2.9081,2.9081,43202
1986-08-19,2.9072,2.9631,2.9072,2.9445,49600
1986-08-20,2.9631,2.9631,2.9445,2.9445,27002
1986-08-21,2.9263,2.9539,2.9263,2.9263,21300
1986-08-22,2.9445,3.0004,2.9258,2.9445,38203
1986-08-25,3.0004,3.0004,2.9445,2.9445,5202
1986-08-26,2.9817,2.9817,2.9445,2.9445,27698
1986-08-27,2.9817,2.9817,2.9445,2.9445,11201
1986-08-28,2.9431,2.9990,2.9431,2.9990,24300
1986-08-29,2.9431,3.0362,2.9431,2.9990,106502
1986-09-02,2.9990,3.0362,2.9990,2.9990,83702
1986-09-03,2.9990,3.0549,2.9990,2.9990,58497
1986-09-04,3.0540,3.0540,3.0167,3.0353,33799
1986-09-05,3.0535,3.0535,2.9977,3.0535,23699
1986-09-08,2.9977,3.0535,2.9977,3.0535,6701
1986-09-09,2.9994,3.0367,2.9808,2.9808,101301
1986-09-10,2.9817,3.0190,2.9445,2.9445,37798
1986-09-11,2.9454,2.9454,2.9081,2.9081,50701
1986-09-12,2.9100,2.9100,2.8354,2.8354,97200
1986-09-15,2.8354,2.8914,2.8354,2.8354,75798
1986-09-16,2.8364,2.8550,2.7991,2.7991,224300
1986-09-17,2.7804,2.7991,2.7804,2.7991,6100
1986-09-18,2.7809,2.7995,2.7809,2.7809,16801
1986-09-19,2.7722,2.7722,2.7350,2.7536,97801
1986-09-22,2.7168,2.7541,2.6982,2.7354,204101
1986-09-23,2.7177,2.7363,2.6805,2.6991,373100
1986-09-24,2.7186,2.7186,2.6255,2.6627,172201
1986-09-25,2.6318,2.6318,2.3145,2.4265,424200
1986-09-26,2.3882,2.5001,2.3882,2.4628,225098
1986-09-29,2.4643,2.4830,2.3896,2.4083,150799
1986-09-30,2.3896,2.4270,2.3896,2.4083,119203
1986-10-01,2.4073,2.4536,2.3886,2.4446,973101
1986-10-02,2.4619,2.5178,2.4619,2.4992,77602
1986-10-03,2.5350,2.5723,2.5164,2.5537,69799
1986-10-06,2.5355,2.5355,2.5169,2.5355,12802
1986-10-07,2.5537,2.5537,2.5350,2.5537,123797
1986-10-08,2.5355,2.5542,2.5355,2.5355,112501
1986-10-09,2.5350,2.5723,2.5350,2.5537,54700
1986-10-10,2.5896,2.6082,2.5523,2.6082,14200
1986-10-13,2.5900,2.5900,2.5900,2.5900,19200
1986-10-14,2.6087,2.6087,2.5900,2.5900,37798
1986-10-15,2.6238,2.7354,2.6052,2.7354,84499
1986-10-16,2.7436,2.7809,2.7436,2.7809,17997
1986-10-17,2.7536,2.7722,2.7536,2.7536,26300
1986-10-20,2.7536,2.7908,2.7536,2.7536,41601
1986-10-21,2.7809,2.7995,2.7249,2.7809,22598
1986-10-22,2.7545,2.7545,2.7173,2.7173,6100
1986-10-23,2.7164,2.7536,2.7164,2.7536,16801
1986-10-24,2.7722,2.7722,2.7350,2.7536,27002
1986-10-27,2.7177,2.7736,2.6991,2.6991,9100
1986-10-28,2.6991,2.7549,2.6991,2.6991,30299
1986-10-29,2.6995,2.6995,2.6809,2.6809,18700
1986-10-30,2.6809,2.6809,2.6809,2.6809,1601
1986-10-31,2.6809,2.7368,2.6809,2.6809,82101
1986-11-03,2.7182,2.7182,2.6809,2.6809,3499
1986-11-04,2.6809,2.6995,2.6437,2.6809,295201
1986-11-05,2.6437,2.6809,2.6437,2.6809,59700
1986-11-06,2.6818,2.6818,2.6446,2.6446,20301
1986-11-07,2.6809,2.6809,2.6437,2.6809,6100
1986-11-10,2.6446,2.6446,2.6446,2.6446,7803
1986-11-11,2.6712,2.6809,2.6712,2.6809,6100
1986-11-12,2.6809,2.6809,2.6437,2.6809,32697
1986-11-13,2.6627,2.6627,2.6627,2.6627,5202
1986-11-14,2.6995,2.6995,2.6623,2.6809,85101
1986-11-17,2.6623,2.6995,2.6623,2.6809,283601
1986-11-18,2.7000,2.7000,2.6627,2.6627,48303
1986-11-19,2.6627,2.7000,2.6627,2.6627,77001
1986-11-20,2.6619,2.6991,2.6619,2.6991,9100
1986-11-21,2.7000,2.7000,2.6627,2.6627,11701
1986-11-24,2.6982,2.7541,2.6610,2.7354,152002
1986-11-25,2.7724,2.8096,2.7538,2.7627,126702
