"MacroTrends Data Download"
"SRCE - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1996-09-03,6.9017,7.0568,6.8241,7.0568,17820
1996-09-04,7.0555,7.1330,7.0555,7.1330,17820
1996-09-05,7.0542,7.2093,7.0542,7.2093,3740
1996-09-06,7.0907,7.0907,7.0907,7.0907,1540
1996-09-09,6.9721,6.9721,6.9721,6.9721,330
1996-09-10,7.0907,7.0907,7.0907,7.0907,110
1996-09-11,6.9767,7.2093,6.9767,7.2093,550
1996-09-12,6.9780,7.1330,6.9780,7.1330,4180
1996-09-13,7.1330,7.1330,7.1330,7.1330,0
1996-09-16,7.0568,7.0568,7.0568,7.0568,12980
1996-09-17,7.0555,7.1330,7.0555,7.1330,6380
1996-09-18,7.1330,7.1330,7.1330,7.1330,0
1996-09-19,7.0754,7.1343,7.0568,7.0568,5500
1996-09-20,7.0568,7.2119,7.0568,7.0568,53900
1996-09-23,7.1310,7.1310,6.9759,7.0907,14740
1996-09-24,7.1343,7.1343,7.0568,7.0568,1430
1996-09-25,7.0568,7.0568,7.0568,7.0568,0
1996-09-26,6.8946,6.8946,6.8946,6.8946,5390
1996-09-27,6.9721,6.9721,6.9721,6.9721,0
1996-09-30,6.8946,6.8946,6.7397,6.7397,5500
1996-10-01,6.9721,6.9721,6.9721,6.9721,2640
1996-10-02,7.0940,7.2119,7.0568,7.0568,1430
1996-10-03,6.9004,7.0555,6.8229,7.0555,3960
1996-10-04,7.0495,7.1270,7.0495,7.1270,1540
1996-10-07,6.9721,6.9721,6.9721,6.9721,0
