"MacroTrends Data Download"
"TURN - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2017-03-27,1.2500,1.3900,1.2500,1.3500,40821
2017-03-28,1.2500,1.3600,1.1800,1.3300,72153
2017-03-29,1.3100,1.3590,1.3100,1.3300,36114
2017-03-30,1.3500,1.3600,1.3100,1.3600,44485
2017-03-31,1.3600,1.5230,1.3300,1.4500,241549
2017-04-03,1.4300,1.4800,1.4300,1.4546,101928
2017-04-04,1.4500,1.4700,1.4500,1.4500,105451
2017-04-05,1.4500,1.4547,1.4200,1.4400,36032
2017-04-06,1.4600,1.4600,1.4200,1.4300,62980
2017-04-07,1.4600,1.4600,1.4200,1.4200,36501
2017-04-10,1.4500,1.4700,1.4200,1.4400,87355
2017-04-11,1.4200,1.4500,1.4200,1.4400,25144
2017-04-12,1.4400,1.4500,1.4200,1.4400,17440
2017-04-13,1.4400,1.4400,1.4000,1.4400,57599
2017-04-17,1.4400,1.4400,1.4300,1.4300,8752
2017-04-18,1.4200,1.4400,1.3900,1.4300,63870
2017-04-19,1.4100,1.4400,1.4100,1.4400,38806
2017-04-20,1.4400,1.4400,1.4200,1.4400,21878
2017-04-21,1.4000,1.4500,1.4000,1.4400,64666
2017-04-24,1.4200,1.4500,1.4200,1.4300,55177
2017-04-25,1.4500,1.4500,1.4200,1.4200,74907
2017-04-26,1.4200,1.4500,1.4200,1.4500,738002
2017-04-27,1.4600,1.4600,1.4200,1.4470,12813
2017-04-28,1.4400,1.4500,1.4200,1.4400,199733
2017-05-01,1.4500,1.4600,1.4200,1.4300,145919
2017-05-02,1.4400,1.5700,1.4200,1.5655,691864
2017-05-03,1.5400,1.6200,1.5400,1.6000,185120
2017-05-04,1.5700,1.6200,1.5500,1.5700,171732
2017-05-05,1.5600,1.6000,1.5201,1.5979,145580
2017-05-08,1.5900,1.6500,1.5849,1.6300,305200
2017-05-09,1.6400,1.6800,1.6100,1.6786,142580
2017-05-10,1.6800,1.7100,1.6500,1.6800,130254
2017-05-11,1.6800,1.7200,1.6600,1.6600,107481
2017-05-12,1.6800,1.6830,1.6400,1.6400,115726
2017-05-15,1.6200,1.6800,1.6200,1.6500,56514
2017-05-16,1.6200,1.6400,1.6000,1.6100,65753
2017-05-17,1.6300,1.6400,1.5900,1.5900,33503
2017-05-18,1.6000,1.6252,1.5800,1.5999,45102
2017-05-19,1.5900,1.6400,1.5600,1.6100,47668
2017-05-22,1.6100,1.6299,1.5800,1.6100,17835
2017-05-23,1.5900,1.6088,1.5700,1.5747,24029
2017-05-24,1.5600,1.5898,1.5600,1.5700,17657
2017-05-25,1.5600,1.5993,1.5500,1.5693,25304
2017-05-26,1.5800,1.5800,1.5500,1.5500,15272
2017-05-30,1.5200,1.5890,1.5200,1.5500,31966
2017-05-31,1.6000,1.6000,1.5300,1.5500,24814
2017-06-01,1.5300,1.5800,1.5200,1.5700,22836
2017-06-02,1.6000,1.6000,1.5500,1.5600,39871
2017-06-05,1.6000,1.6300,1.5637,1.5800,25118
2017-06-06,1.6000,1.6000,1.5500,1.5600,17554
2017-06-07,1.5500,1.5900,1.5300,1.5700,43992
2017-06-08,1.5773,1.6000,1.5300,1.5600,51516
2017-06-09,1.5300,1.5600,1.5300,1.5350,32413
2017-06-12,1.5500,1.5700,1.5300,1.5499,55252
2017-06-13,1.5500,1.5600,1.5354,1.5500,67512
2017-06-14,1.5400,1.5500,1.5330,1.5400,22753
2017-06-15,1.5500,1.5500,1.4600,1.4700,57724
2017-06-16,1.4600,1.5300,1.4500,1.4800,45467
2017-06-19,1.5000,1.5000,1.4700,1.4999,20556
2017-06-20,1.5000,1.5124,1.4900,1.4900,15231
2017-06-21,1.5000,1.5065,1.4900,1.4922,46568
2017-06-22,1.5100,1.5699,1.4900,1.5000,77893
2017-06-23,1.5500,1.5500,1.4800,1.5500,57932
2017-06-26,1.5800,1.5800,1.4900,1.5699,47912
2017-06-27,1.5700,1.5700,1.5300,1.5700,93438
2017-06-28,1.5700,1.5700,1.5300,1.5500,113620
2017-06-29,1.5500,1.5700,1.5300,1.5700,33331
2017-06-30,1.5500,1.6200,1.5427,1.6200,200737
2017-07-03,1.6400,1.6400,1.5800,1.6300,35372
2017-07-05,1.6300,1.6400,1.5900,1.6164,79675
2017-07-06,1.6300,1.6300,1.5851,1.6000,71074
2017-07-07,1.5900,1.6100,1.5600,1.6000,99406
2017-07-10,1.5900,1.6300,1.5000,1.6000,135241
2017-07-11,1.5400,1.6066,1.5400,1.6000,109750
2017-07-12,1.6000,1.6000,1.5600,1.5700,61438
2017-07-13,1.5800,1.6300,1.5700,1.6200,183465
2017-07-14,1.6200,1.6300,1.6000,1.6100,75874
2017-07-17,1.6100,1.6225,1.5900,1.6000,32596
2017-07-18,1.6100,1.6200,1.5900,1.6200,85558
2017-07-19,1.6010,1.6300,1.5890,1.6100,61394
2017-07-20,1.5900,1.6200,1.5700,1.6100,106353
2017-07-21,1.5820,1.6200,1.5700,1.5700,56865
2017-07-24,1.6100,1.6100,1.5600,1.5793,29160
2017-07-25,1.5700,1.5990,1.5600,1.5700,20228
2017-07-26,1.5600,1.6100,1.5600,1.5700,41752
2017-07-27,1.6000,1.6064,1.5842,1.6000,12407
2017-07-28,1.5700,1.6000,1.5700,1.5800,24847
2017-07-31,1.5700,1.6000,1.5700,1.6000,20740
2017-08-01,1.6000,1.6200,1.5701,1.6000,44480
