"MacroTrends Data Download"
"VNET - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2011-04-21,20.2600,22.3300,18.3400,18.8000,18178500
2011-04-25,19.4000,19.5000,17.3200,17.7500,2323400
2011-04-26,17.7000,18.7100,17.4000,17.5600,1800000
2011-04-27,17.8400,17.8400,15.8000,16.2500,1976500
2011-04-28,16.1100,16.7800,15.7000,16.0300,1900000
2011-04-29,15.9500,16.4200,15.3000,15.5100,1343900
2011-05-02,15.7400,17.0000,15.5380,16.6800,1471100
2011-05-03,16.9000,16.9300,15.5400,15.7400,1379400
2011-05-04,15.6200,15.6850,13.9400,14.5900,1744500
2011-05-05,14.1800,15.0400,13.4200,13.5000,891700
2011-05-06,13.7500,14.2000,13.1600,13.7500,1012800
2011-05-09,13.7000,14.4000,13.1200,14.2601,631700
2011-05-10,14.3900,15.6500,14.1550,15.3500,936800
2011-05-11,15.4300,15.4300,14.5000,14.9300,394700
2011-05-12,14.9500,14.9500,14.2800,14.5300,430000
2011-05-13,14.5500,14.6500,13.7500,13.9100,623800
2011-05-16,13.9700,13.9700,12.2399,12.5500,861300
2011-05-17,12.4000,12.4500,11.3200,12.0400,836400
2011-05-18,11.8100,13.7100,11.8100,13.4700,801100
2011-05-19,13.7400,13.7400,12.8300,13.4700,618000
2011-05-20,13.3500,13.7100,12.7000,12.8100,502700
2011-05-23,12.5600,12.5600,11.2500,11.2900,836100
2011-05-24,11.2700,11.7900,11.2500,11.6100,444900
2011-05-25,11.5100,11.9354,11.2900,11.3100,583000
2011-05-26,11.2600,12.2400,11.2600,12.0600,354700
2011-05-27,12.4000,13.5000,12.2600,13.2800,638400
