春节,,,清明节,,,劳动节,,,端午节,,,中秋节,,,国庆节,,,元旦,
2018/2/14,不进行夜盘交易,,2018/4/4,不进行夜盘交易,,2018/4/27,不进行夜盘交易,,2018/6/15,不进行夜盘交易,,2018/9/21,不进行夜盘交易,,2018/9/28,不进行夜盘交易,,2018/12/28,不进行夜盘交易
2018/2/15,休市(春节),,2018/4/5,休市(清明节),,2018/4/28,休市(劳动节),,2018/6/16,休市(端午节),,2018/9/22,休市(中秋节),,2018/9/29,休市(国庆节),,2018/12/29,休市(元旦)
2018/2/16,休市(春节),,2018/4/6,休市(清明节),,2018/4/29,休市(劳动节),,2018/6/17,休市(端午节),,2018/9/23,休市(中秋节),,2018/9/30,休市(国庆节),,2018/12/30,休市(元旦)
2018/2/17,休市(春节),,2018/4/7,休市(清明节),,2018/4/30,休市(劳动节),,2018/6/18,休市(端午节),,2018/9/24,休市(中秋节),,2018/10/1,休市(国庆节),,2018/12/31,休市(元旦)
2018/2/18,休市(春节),,,,,2018/5/1,休市(劳动节),,,,,,,,2018/10/2,休市(国庆节),,2019/1/1,休市(元旦)
2018/2/19,休市(春节),,,,,,,,,,,,,,2018/10/3,休市(国庆节),,,
2018/2/20,休市(春节),,,,,,,,,,,,,,2018/10/4,休市(国庆节),,,
2018/2/21,休市(春节),,,,,,,,,,,,,,2018/10/5,休市(国庆节),,,
,,,,,,,,,,,,,,,2018/10/6,休市(国庆节),,,
,,,,,,,,,,,,,,,2018/10/7,休市(国庆节),,,
