
20170921  沪铝1711 | nATRExit: 3.8 | nPeriodBreak: 17 | nATR: 15

20090218  沪铝1711 ：开多 | Bar序号：1

20090317  沪铝1711 ：开多 | Bar序号：20

20100125  沪铝1711 ：平多开空 | Bar序号：233

20100727  沪铝1711 ：平空开多 | Bar序号：354

20101118  沪铝1711 ：平多开空 | Bar序号：428

20110607  沪铝1711 ：平空开多 | Bar序号：561

20110808  沪铝1711 ：平多 | Bar序号：605

20110809  沪铝1711 ：开空 | Bar序号：606

20120112  沪铝1711 ：平空开多 | Bar序号：710

20120406  沪铝1711 ：平多开空 | Bar序号：763

20120705  沪铝1711 ：平空 | Bar序号：824

20120724  沪铝1711 ：开空 | Bar序号：837

20120907  沪铝1711 ：平空开多 | Bar序号：870

20121016  沪铝1711 ：平多开空 | Bar序号：892

20130604  沪铝1711 ：平空开多 | Bar序号：1044

20130617  沪铝1711 ：平多 | Bar序号：1050

20130619  沪铝1711 ：开空 | Bar序号：1052

20130813  沪铝1711 ：平空开多 | Bar序号：1091

20130906  沪铝1711 ：平多开空 | Bar序号：1109

20131014  沪铝1711 ：平空开多 | Bar序号：1128

20131114  沪铝1711 ：平多开空 | Bar序号：1151

20140414  沪铝1711 ：平空开多 | Bar序号：1251

20140506  沪铝1711 ：平多 | Bar序号：1265

20140507  沪铝1711 ：开空 | Bar序号：1266

20140610  沪铝1711 ：平空开多 | Bar序号：1289

20140917  沪铝1711 ：平多开空 | Bar序号：1359

20150204  沪铝1711 ：平空开多 | Bar序号：1452

20150415  沪铝1711 ：平多开空 | Bar序号：1496

20150507  沪铝1711 ：平空开多 | Bar序号：1511

20150605  沪铝1711 ：平多开空 | Bar序号：1532

20151210  沪铝1711 ：平空开多 | Bar序号：1656

20160510  沪铝1711 ：平多 | Bar序号：1756

20160512  沪铝1711 ：开空 | Bar序号：1757

20160704  沪铝1711 ：平空开多 | Bar序号：1791

20160906  沪铝1711 ：平多开空 | Bar序号：1837

20160926  沪铝1711 ：平空开多 | Bar序号：1849

20170612  沪铝1711 ：平多开空 | Bar序号：2018

20170714  沪铝1711 ：平空开多 | Bar序号：2042

20170921  沪铜1711 | nATRExit: 2.2 | nPeriodBreak: 17 | nATR: 15

20090223  沪铜1711 ：开多 | Bar序号：1

20090318  沪铜1711 ：开多 | Bar序号：18

20090423  沪铜1711 ：平多 | Bar序号：43

20090602  沪铜1711 ：开多 | Bar序号：68

20090619  沪铜1711 ：平多 | Bar序号：81

20090716  沪铜1711 ：开多 | Bar序号：100

20090820  沪铜1711 ：平多 | Bar序号：125

20090831  沪铜1711 ：开多 | Bar序号：132

20090903  沪铜1711 ：平多 | Bar序号：135

20090928  沪铜1711 ：开空 | Bar序号：152

20091012  沪铜1711 ：平空 | Bar序号：156

20091020  沪铜1711 ：开多 | Bar序号：162

20100125  沪铜1711 ：平多 | Bar序号：230

20100127  沪铜1711 ：开空 | Bar序号：232

20100222  沪铜1711 ：平空 | Bar序号：245

20100302  沪铜1711 ：开多 | Bar序号：251

20100420  沪铜1711 ：平多 | Bar序号：285

20100429  沪铜1711 ：开空 | Bar序号：292

20100622  沪铜1711 ：平空 | Bar序号：326

20100723  沪铜1711 ：开多 | Bar序号：349

20100813  沪铜1711 ：平多 | Bar序号：364

20100831  沪铜1711 ：开多 | Bar序号：376

20100910  沪铜1711 ：平多 | Bar序号：384

20100928  沪铜1711 ：开多 | Bar序号：393

20101115  沪铜1711 ：平多 | Bar序号：422

20101118  沪铜1711 ：开空 | Bar序号：425

20101208  沪铜1711 ：平空开多 | Bar序号：439

20110224  沪铜1711 ：平多 | Bar序号：489

20110309  沪铜1711 ：开空 | Bar序号：498

20110324  沪铜1711 ：平空 | Bar序号：509

20110411  沪铜1711 ：开多 | Bar序号：519

20110418  沪铜1711 ：平多 | Bar序号：524

20110420  沪铜1711 ：开空 | Bar序号：526

