
20170928  黄金1712 | nATRExit: 2.3 | FastLength: 10 | SlowLength: 15 | nATR: 15

20080220  黄金1712 ：开空 | Bar序号：16

20080304  黄金1712 ：平空 | Bar序号：25

20080321  黄金1712 ：开空 | Bar序号：38

20080418  黄金1712 ：平空 | Bar序号：57

20080421  黄金1712 ：开多 | Bar序号：58

20080505  黄金1712 ：平多 | Bar序号：66

20080521  黄金1712 ：开多 | Bar序号：78

20080530  黄金1712 ：平多 | Bar序号：85

20080606  黄金1712 ：开空 | Bar序号：90

20080630  黄金1712 ：平空开多 | Bar序号：104

20080724  黄金1712 ：平多 | Bar序号：122

20080730  黄金1712 ：开空 | Bar序号：126

20080825  黄金1712 ：平空 | Bar序号：144

20080902  黄金1712 ：开多 | Bar序号：150

20080911  黄金1712 ：平多 | Bar序号：157

20080924  黄金1712 ：开多 | Bar序号：165

20081007  黄金1712 ：平多 | Bar序号：169

20081017  黄金1712 ：开空 | Bar序号：177

20081031  黄金1712 ：平空 | Bar序号：187

20081111  黄金1712 ：开多 | Bar序号：194

20081203  黄金1712 ：平多 | Bar序号：210

20081212  黄金1712 ：开空 | Bar序号：217

20081230  黄金1712 ：平空 | Bar序号：229

20090115  黄金1712 ：开空 | Bar序号：239

20090122  黄金1712 ：平空 | Bar序号：244

20090204  黄金1712 ：开多 | Bar序号：248

20090226  黄金1712 ：平多 | Bar序号：264

20090306  黄金1712 ：开空 | Bar序号：270

20090323  黄金1712 ：平空 | Bar序号：281

20090325  黄金1712 ：开多 | Bar序号：283

20090408  黄金1712 ：平多开空 | Bar序号：292

20090427  黄金1712 ：平空开多 | Bar序号：305

20090609  黄金1712 ：平多 | Bar序号：333

20090617  黄金1712 ：开空 | Bar序号：339

20090701  黄金1712 ：平空 | Bar序号：349

20090708  黄金1712 ：开多 | Bar序号：354

20090730  黄金1712 ：平多 | Bar序号：370

20090812  黄金1712 ：开空 | Bar序号：379

20090903  黄金1712 ：平空 | Bar序号：395

20091012  黄金1712 ：开空 | Bar序号：416

20091105  黄金1712 ：平空 | Bar序号：434

20091106  黄金1712 ：开多 | Bar序号：435

20091208  黄金1712 ：平多 | Bar序号：457

20091215  黄金1712 ：开空 | Bar序号：462

20100106  黄金1712 ：平空 | Bar序号：477

20100108  黄金1712 ：开多 | Bar序号：479

20100125  黄金1712 ：平多 | Bar序号：490

20100126  黄金1712 ：开空 | Bar序号：491

20100204  黄金1712 ：平空 | Bar序号：498

20100223  黄金1712 ：开多 | Bar序号：506

20100316  黄金1712 ：平多 | Bar序号：521

20100319  黄金1712 ：开空 | Bar序号：524

20100406  黄金1712 ：平空 | Bar序号：535

20100409  黄金1712 ：开多 | Bar序号：538

20100420  黄金1712 ：平多 | Bar序号：545

20100427  黄金1712 ：开空 | Bar序号：550

20100510  黄金1712 ：平空 | Bar序号：558

20100528  黄金1712 ：开空 | Bar序号：572

20100609  黄金1712 ：平空 | Bar序号：580

20100706  黄金1712 ：开空 | Bar序号：596

20100805  黄金1712 ：平空 | Bar序号：618

20100812  黄金1712 ：开多 | Bar序号：623

20101021  黄金1712 ：平多 | Bar序号：665

20101029  黄金1712 ：开空 | Bar序号：671

20101108  黄金1712 ：平空开多 | Bar序号：677

20101116  黄金1712 ：平多 | Bar序号：683

20101124  黄金1712 ：开空 | Bar序号：689

20101207  黄金1712 ：平空 | Bar序号：698

20101221  黄金1712 ：开空 | Bar序号：708

20101231  黄金1712 ：平空 | Bar序号：716

20110114  黄金1712 ：开空 | Bar序号：725

20110210  黄金1712 ：平空 | Bar序号：739

20110217  黄金1712 ：开多 | Bar序号：744

20110318  黄金1712 ：平多 | Bar序号：765

20110331  黄金1712 ：开多 | Bar序号：774

20110509  黄金1712 ：平多 | Bar序号：798

20110511  黄金1712 ：开空 | Bar序号：800

20110525  黄金1712 ：平空开多 | Bar序号：810

20110615  黄金1712 ：平多 | Bar序号：824

20110620  黄金1712 ：开空 | Bar序号：827

20110708  黄金1712 ：平空 | Bar序号：841

20110714  黄金1712 ：开多 | Bar序号：845

20110826  黄金1712 ：平多 | Bar序号：876

20110907  黄金1712 ：开空 | Bar序号：884

20111027  黄金1712 ：平空 | Bar序号：914

20111028  黄金1712 ：开空 | Bar序号：915

20111109  黄金1712 ：平空 | Bar序号：923

20111123  黄金1712 ：开空 | Bar序号：933

20111202  黄金1712 ：平空 | Bar序号：940

20111208  黄金1712 ：开多 | Bar序号：944

20111213  黄金1712 ：平多 | Bar序号：947

20111216  黄金1712 ：开空 | Bar序号：950

20120106  黄金1712 ：平空 | Bar序号：963

20120116  黄金1712 ：开多 | Bar序号：969

20120302  黄金1712 ：平多 | Bar序号：998

20120309  黄金1712 ：开空 | Bar序号：1003

20120328  黄金1712 ：平空 | Bar序号：1016

