#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,1,0.2,249785510.00,29100450.41,41.84,793.73,314700,-31242770.00,7494.87,335.8301,0.93,0.9702,1.60,5,-28358376.00,1.03,16.37,54.56,0.7759,1.90,933035190.00,-683249680.00,131664,183036,5833,6064,19903520.00,-13686470.00,7086.49,-3732.87,4,1,1.37
2,2,0.1,207856980.00,24215703.06,42.91,563.59,368811,-50958180.00,5042.66,282.4508,0.48,0.9340,1.35,5,-38113880.00,0.64,12.09,31.41,0.6126,1.68,989866460.00,-782009480.00,158252,210559,4127,5000,38861250.00,-20318850.00,6255.00,-3713.97,3,1,1.27
3,1,0.3,165023490.00,19225526.28,43.00,960.37,171834,-20731380.00,4720.51,224.1419,0.93,0.9708,2.29,5,-18575890.00,1.03,12.92,37.80,0.7763,1.85,582290650.00,-417267160.00,73888,97946,3725,2769,17753700.00,-9094000.00,7880.72,-4260.18,5,1,1.40
4,1,0.4,125997700.00,14678953.24,41.88,1148.99,109660,-15530850.00,3629.06,175.1384,0.95,0.9697,3.02,5,-14004862.00,1.05,10.42,29.01,0.7934,2.00,410469730.00,-284472030.00,45929,63731,1914,2752,13285370.00,-6820500.00,8937.05,-4463.64,6,2,1.44
5,2,0.2,121842220.00,14194832.52,42.18,657.02,185446,-25016450.00,3027.93,161.3123,0.57,0.9137,1.84,5,-20089508.00,0.71,10.49,26.80,0.6367,1.77,535737520.00,-413895300.00,78215,107231,2737,3030,19003040.00,-10251560.00,6849.55,-3859.85,4,1,1.29
6,4,0.1,112547050.00,13111928.90,42.97,464.93,242071,-45003740.00,2071.52,126.5257,0.29,0.7527,0.36,5,-35040248.00,0.37,24.53,57.43,0.3266,1.60,661166170.00,-548619120.00,104009,138062,4000,8000,38861250.00,-14564400.00,6356.82,-3973.72,3,1,1.21
7,2,0.3,108142210.00,12598757.31,44.62,1014.09,106640,-15185400.00,3339.47,141.8185,0.83,0.9408,4.05,5,-13467730.00,0.94,7.13,18.28,0.7673,1.77,362625500.00,-254483290.00,47584,59056,1824,2020,15099020.00,-6847880.00,7620.74,-4309.19,5,2,1.42
8,3,0.1,104411490.00,12164121.88,41.16,360.26,289822,-43425650.00,1510.15,149.1142,0.28,0.8353,0.39,5,-36704048.00,0.33,24.83,56.92,0.2896,1.66,765947220.00,-661535730.00,119287,170535,4986,10000,38861250.00,-20318850.00,6421.05,-3879.18,3,1,1.16
9,1,0.5,100324100.00,11687933.77,43.25,1343.30,74685,-12418540.00,2796.55,139.6808,0.94,0.9697,3.70,5,-11154702.00,1.05,8.95,23.51,0.7916,1.93,311868140.00,-211544040.00,32301,42384,1282,1719,10462200.00,-6237440.00,9655.06,-4991.13,7,2,1.47
10,2,0.4,92848810.00,10817049.36,47.50,1324.61,70095,-12263740.00,2875.65,127.3145,0.88,0.9415,4.93,5,-9926452.00,1.09,7.02,15.93,0.8171,1.65,280002430.00,-187153620.00,33298,36797,1598,1453,13285370.00,-5348700.00,8408.99,-5086.11,6,2,1.50
11,1,0.6,81674270.00,9515195.83,44.86,1584.80,51536,-10326020.00,2158.64,115.3569,0.92,0.9700,4.30,5,-9236152.00,1.03,7.86,19.72,0.7928,1.85,243474770.00,-161800500.00,23121,28415,1206,2110,8685600.00,-5209680.00,10530.46,-5694.19,8,2,1.50
12,22,0.1,74610910.00,8692301.99,40.46,694.76,107391,-41149020.00,1934.61,63.9942,0.21,0.4667,0.14,5,-23196390.00,0.37,21.60,62.78,0.2553,1.93,312687230.00,-238076320.00,43454,63937,3065,6650,38861250.00,-9497250.00,7195.82,-3723.61,3,1,1.31
13,2,0.5,73228320.00,8531227.83,47.02,1445.03,50676,-10568640.00,2152.91,96.5637,0.81,0.9326,4.97,5,-8301462.00,1.03,6.27,14.30,0.7768,1.70,217678280.00,-144449960.00,23829,26847,1322,1163,10688230.00,-3565390.00,9135.02,-5380.49,7,2,1.51
14,4,0.2,69446520.00,8090641.49,42.81,565.53,122799,-26393670.00,1436.15,71.0530,0.31,0.8084,0.62,5,-19787054.00,0.41,15.51,37.69,0.3445,1.66,354361500.00,-284914980.00,52570,70229,2642,3343,19003040.00,-7793650.00,6740.76,-4056.94,4,1,1.24
15,3,0.2,68218630.00,7947590.15,41.82,466.45,146250,-23153840.00,1213.47,85.6426,0.34,0.8531,0.77,5,-18886792.00,0.42,16.75,35.99,0.3043,1.67,405098780.00,-336880150.00,61164,85086,2498,6640,19003040.00,-10251560.00,6623.16,-3959.29,4,1,1.20
16,1,0.7,67356170.00,7847112.05,45.60,1757.09,38334,-8929880.00,1752.22,95.2829,0.88,0.9650,4.67,5,-7878268.00,1.00,6.96,17.16,0.7697,1.83,194163090.00,-126806920.00,17479,20855,1056,1624,7402500.00,-4465440.00,11108.36,-6080.41,9,3,1.53
17,2,0.6,66592460.00,7758138.49,46.98,1797.90,37039,-10572960.00,2016.29,91.3172,0.73,0.9457,5.36,5,-7313386.00,1.06,4.17,12.16,0.8633,1.79,179583160.00,-112990700.00,17401,19638,914,1480,8890210.00,-2976610.00,10320.28,-5753.68,8,2,1.59
18,31,0.1,65535740.00,7635028.76,39.08,686.39,95479,-31286410.00,1718.84,67.3438,0.24,0.6722,0.34,5,-20350806.00,0.38,19.47,44.60,0.2871,2.05,273332410.00,-207796670.00,37310,58169,2142,5000,38861250.00,-9497250.00,7325.98,-3572.29,4,1,1.32
19,32,0.1,65336830.00,7611855.39,39.39,689.47,94764,-31286410.00,1734.29,67.1005,0.24,0.6631,0.33,5,-20350806.00,0.37,19.47,44.60,0.2870,2.03,270898540.00,-205561710.00,37323,57441,2142,5000,38861250.00,-9497250.00,7258.22,-3578.66,4,1,1.32
20,21,0.1,64590330.00,7524886.83,39.25,590.70,109346,-45139730.00,1455.43,46.8725,0.17,0.3010,0.07,5,-23994532.00,0.31,23.73,68.86,0.1999,1.96,307570710.00,-242980380.00,42914,66432,2000,7650,38861250.00,-9497250.00,7167.14,-3657.58,3,1,1.27
21,3,0.3,64588820.00,7524710.92,44.41,753.29,85742,-15535780.00,1490.04,84.2723,0.48,0.9481,1.74,5,-13340052.00,0.56,9.30,24.86,0.4538,1.63,277865350.00,-213276530.00,38074,47668,2016,3865,15099020.00,-6847880.00,7298.03,-4474.21,5,2,1.30
22,30,0.1,64231510.00,7483083.67,38.58,666.74,96337,-31286410.00,1628.78,67.4570,0.24,0.6252,0.28,5,-20907598.00,0.36,21.53,48.60,0.2524,2.08,274719510.00,-210488000.00,37171,59166,2142,5000,38861250.00,-9497250.00,7390.69,-3557.58,4,1,1.31
23,33,0.1,64228490.00,7482731.84,40.35,677.54,94796,-29500590.00,1653.72,67.6841,0.25,0.6903,0.38,5,-23738612.00,0.32,18.86,41.96,0.2915,1.93,272838060.00,-208609570.00,38251,56545,2142,5000,38861250.00,-9497250.00,7132.83,-3689.27,3,1,1.31
24,28,0.1,64156290.00,7474320.41,38.77,649.73,98743,-31025910.00,1547.12,71.9862,0.24,0.5900,0.25,5,-21723498.00,0.34,23.31,51.68,0.2367,2.04,283858910.00,-219702620.00,38287,60456,2507,5000,38861250.00,-9497250.00,7413.98,-3634.09,3,1,1.29
25,29,0.1,63838640.00,7437313.63,38.15,653.23,97727,-31160170.00,1508.96,71.5251,0.24,0.5862,0.25,5,-21750350.00,0.34,23.38,51.91,0.2349,2.09,283506610.00,-219667970.00,37281,60446,2512,5000,38861250.00,-9497250.00,7604.59,-3634.12,4,1,1.29
26,4,0.3,63467040.00,7394021.58,44.66,870.96,72870,-18467800.00,1672.73,68.6030,0.40,0.9036,1.28,5,-14257686.00,0.52,9.50,26.49,0.4706,1.68,242388360.00,-178921320.00,32542,40328,2832,3282,15099020.00,-5205570.00,7448.48,-4436.65,5,2,1.35
27,27,0.1,61130940.00,7121861.83,37.26,603.64,101271,-35867990.00,1386.53,63.1795,0.20,0.4453,0.13,5,-22889914.00,0.31,27.52,60.75,0.1980,2.14,285004370.00,-223873430.00,37731,63540,2000,5951,38861250.00,-9497250.00,7553.59,-3523.35,4,1,1.27
28,23,0.1,61128320.00,7121556.59,37.47,605.36,100978,-45851800.00,1372.49,32.5008,0.16,0.1564,0.03,5,-21190058.00,0.34,25.93,74.09,0.1635,2.12,286189560.00,-225061240.00,37832,63146,3065,6650,30583750.00,-9497250.00,7564.75,-3564.14,4,1,1.27
29,2,0.7,58075120.00,6765853.43,49.02,2043.82,28415,-10135380.00,1746.96,79.8369,0.67,0.9466,5.05,5,-6709256.00,1.01,3.76,11.72,0.8849,1.70,149671420.00,-91596300.00,13929,14486,975,1268,7591640.00,-2551380.00,10745.31,-6323.09,9,3,1.63
