#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,4,2,83480.00,335.21,453.83,8770.93,10580.00,82.90,51.09,907.39,92,-13495.00,25.90,0.5232,0.65,0.8556,31.25,5,-9503.00,0.92,0.03,0.13,1.1509,2.47,136480.00,65300.00,71180.00,-53000.00,-29835.00,-23165.00,47,45,4,3,12040.00,-3335.00,2903.83,-1177.78,34,13,2.58
2,3,2,81255.00,347.50,420.51,8537.15,10580.00,80.69,51.09,883.21,92,-15845.00,24.24,0.5225,0.54,0.8466,30.04,5,-10618.00,0.80,0.03,0.16,1.1244,2.32,138180.00,67000.00,71180.00,-56925.00,-30235.00,-26690.00,47,45,4,4,12040.00,-5010.00,2940.00,-1265.00,34,13,2.43
3,2,2,80830.00,343.48,420.51,8492.50,10580.00,80.27,51.09,878.59,92,-15845.00,23.99,0.5187,0.54,0.8470,29.88,5,-10618.00,0.80,0.03,0.16,1.1178,2.31,138180.00,67000.00,71180.00,-57350.00,-30660.00,-26690.00,47,45,4,4,12040.00,-5010.00,2940.00,-1274.44,34,13,2.41
4,10,2,80230.00,344.41,414.09,8429.46,10577.50,79.69,54.02,922.18,87,-12355.00,25.90,0.5282,0.68,0.8745,32.50,5,-9933.00,0.85,0.04,0.12,1.1427,2.14,133355.00,66725.00,66630.00,-53125.00,-30295.00,-22830.00,47,40,4,3,12040.00,-3560.00,2837.34,-1328.13,33,13,2.51
5,5,2,78945.00,291.94,454.41,8294.45,10577.50,78.42,49.46,848.87,93,-15695.00,22.43,0.5018,0.53,0.8325,28.60,5,-9943.00,0.83,0.04,0.16,1.1025,2.42,136515.00,65135.00,71380.00,-57570.00,-34255.00,-23315.00,46,47,4,4,12040.00,-3335.00,2967.72,-1224.89,34,13,2.37
6,6,2,77930.00,292.98,443.77,8187.81,10577.50,77.41,50.00,847.07,92,-14935.00,22.09,0.4928,0.55,0.8312,28.54,5,-9791.00,0.84,0.04,0.15,1.0878,2.33,136515.00,65135.00,71380.00,-58585.00,-34145.00,-24440.00,46,46,4,4,12040.00,-3335.00,2967.72,-1273.59,34,13,2.33
7,10,1.9,76235.00,342.24,378.49,8009.72,10577.50,75.72,51.06,811.01,94,-15125.00,21.49,0.5004,0.53,0.8137,28.38,5,-10654.00,0.75,0.04,0.15,1.1294,2.16,137170.00,68225.00,68945.00,-60935.00,-32025.00,-28910.00,48,46,4,4,12315.00,-3685.00,2857.71,-1324.67,31,12,2.25
8,11,2,75385.00,341.39,371.31,7920.42,10577.50,74.88,53.57,897.44,84,-14305.00,23.63,0.4786,0.55,0.8333,31.55,5,-10096.00,0.78,0.04,0.14,1.0933,2.11,128000.00,62660.00,65340.00,-52615.00,-26550.00,-26065.00,45,39,4,4,12040.00,-3560.00,2844.44,-1349.10,33,13,2.43
9,10,1.8,74640.00,306.17,399.48,7842.14,10577.50,74.14,48.51,739.01,101,-12175.00,19.37,0.4528,0.64,0.8336,26.12,5,-10105.00,0.78,0.04,0.12,1.0964,2.30,138610.00,67915.00,70695.00,-63970.00,-35530.00,-28440.00,49,52,4,4,12315.00,-3835.00,2828.78,-1230.19,29,11,2.17
10,9,2,74460.00,280.88,423.07,7823.23,10577.50,73.96,51.69,836.63,89,-14850.00,21.44,0.4771,0.53,0.8413,28.99,5,-10406.00,0.75,0.04,0.15,1.0596,2.13,132740.00,65635.00,67105.00,-58280.00,-35925.00,-22355.00,46,43,4,4,12040.00,-3560.00,2885.65,-1355.35,34,13,2.28
11,4,1.8,74180.00,291.26,409.88,7793.81,10580.00,73.67,43.75,662.32,112,-17205.00,16.38,0.4142,0.45,0.7593,22.23,5,-11845.00,0.66,0.03,0.17,1.0350,2.61,145960.00,69565.00,76395.00,-71780.00,-38750.00,-33030.00,49,63,4,7,12315.00,-4685.00,2978.78,-1139.37,30,11,2.03
12,7,2,74180.00,270.29,431.01,7793.81,10577.50,73.68,50.00,806.30,92,-17660.00,20.03,0.4681,0.44,0.8018,27.18,5,-10336.00,0.75,0.04,0.18,1.0422,2.19,136440.00,65135.00,71305.00,-62260.00,-36545.00,-25715.00,46,46,4,4,12040.00,-3910.00,2966.09,-1353.48,34,13,2.19
13,2,1.8,74030.00,311.34,388.37,7778.05,10580.00,73.52,44.64,660.98,112,-18355.00,16.44,0.4133,0.42,0.7526,22.36,5,-12211.00,0.64,0.03,0.18,1.0325,2.48,147825.00,71430.00,76395.00,-73795.00,-38490.00,-35305.00,50,62,4,7,12315.00,-4685.00,2956.50,-1190.24,30,11,2.00
