#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,3,2.4,142120.00,190.76,266.96,26947.43,31050.00,86.79,56.16,1946.85,73,-44720.00,23.95,0.4503,0.60,0.9251,27.60,5,-30242.00,0.89,0.12,0.44,1.0390,1.53,289240.00,123540.00,165700.00,-147120.00,-64310.00,-82810.00,41,32,5,5,24290.00,-14410.00,7054.63,-4597.50,20,11,1.97
2,2,2.4,139480.00,185.25,263.96,26446.86,31050.00,85.18,56.94,1937.22,72,-31390.00,23.69,0.4504,0.84,0.9130,27.81,5,-26542.00,1.00,0.12,0.31,1.0239,1.48,285590.00,128340.00,157250.00,-146110.00,-70820.00,-75290.00,41,31,5,5,27040.00,-14410.00,6965.61,-4713.23,20,11,1.95
3,3,3.3,135060.00,173.08,261.90,25608.78,31050.00,82.48,53.13,2110.31,64,-39510.00,21.21,0.4374,0.65,0.9187,25.72,5,-27210.00,0.94,0.11,0.39,0.9927,1.71,279010.00,121490.00,157520.00,-143950.00,-67750.00,-76200.00,34,30,5,5,34190.00,-15010.00,8206.18,-4798.33,21,15,1.94
4,3,3.4,134260.00,175.17,257.23,25457.09,31050.00,81.99,53.13,2097.81,64,-42710.00,20.94,0.4308,0.60,0.9142,25.55,5,-27450.00,0.93,0.11,0.42,0.9878,1.70,279210.00,121690.00,157520.00,-144950.00,-67300.00,-77650.00,34,30,5,5,34190.00,-15010.00,8212.06,-4831.67,21,15,1.93
5,2,6.7,133320.00,175.39,253.98,25278.86,31050.00,81.41,64.58,2777.50,48,-53460.00,29.30,0.4373,0.47,0.8530,35.99,5,-28386.00,0.89,0.11,0.53,0.9965,1.24,239240.00,126820.00,112420.00,-105920.00,-72360.00,-33560.00,31,17,5,3,38240.00,-13460.00,7717.42,-6230.59,27,21,2.26
6,2,6.8,125750.00,163.19,241.80,23843.51,31050.00,76.79,66.67,2794.44,45,-52760.00,27.98,0.4083,0.45,0.8082,36.43,5,-28246.00,0.84,0.11,0.52,0.9467,1.10,230100.00,123420.00,106680.00,-104350.00,-72750.00,-31600.00,30,15,7,3,38240.00,-13460.00,7670.00,-6956.67,29,23,2.21
7,2,6.9,125750.00,163.19,241.80,23843.51,31050.00,76.79,66.67,2794.44,45,-52760.00,27.98,0.4083,0.45,0.8082,36.43,5,-28246.00,0.84,0.11,0.52,0.9467,1.10,230100.00,123420.00,106680.00,-104350.00,-72750.00,-31600.00,30,15,7,3,38240.00,-13460.00,7670.00,-6956.67,29,23,2.21
8,3,2.5,124530.00,163.12,237.94,23612.18,31050.00,76.05,51.39,1729.58,72,-44720.00,16.85,0.4218,0.53,0.8871,22.15,5,-31214.00,0.76,0.12,0.44,0.9254,1.66,288880.00,126130.00,162750.00,-164350.00,-75480.00,-88870.00,37,35,5,5,34190.00,-14410.00,7807.57,-4695.71,21,12,1.76
9,3,3.2,123950.00,155.17,244.03,23502.21,31050.00,75.69,53.85,1906.92,65,-43910.00,17.98,0.4011,0.54,0.9006,23.76,5,-28016.00,0.84,0.11,0.43,0.9139,1.53,280950.00,122180.00,158770.00,-157000.00,-74000.00,-83000.00,35,30,5,5,34190.00,-17660.00,8027.14,-5233.33,21,15,1.79
10,2,3.4,123650.00,159.87,238.36,23445.32,31050.00,75.51,52.31,1902.31,65,-42710.00,17.78,0.3815,0.55,0.9158,23.55,5,-27680.00,0.85,0.11,0.42,0.8950,1.66,274610.00,117090.00,157520.00,-150960.00,-67450.00,-83510.00,34,31,5,5,29590.00,-15010.00,8076.76,-4869.68,21,15,1.82
11,3,3.5,117400.00,143.25,234.85,22260.26,31050.00,71.69,50.77,1806.15,65,-42710.00,15.68,0.3925,0.52,0.8671,21.87,5,-26492.00,0.84,0.11,0.42,0.8718,1.70,272570.00,120590.00,151980.00,-155170.00,-76110.00,-79060.00,33,32,5,5,34190.00,-15010.00,8259.70,-4849.06,21,15,1.76
12,2,6.5,115920.00,147.38,225.96,21979.64,31050.00,70.79,64.58,2415.00,48,-53460.00,22.09,0.3487,0.41,0.8051,31.20,5,-31108.00,0.71,0.11,0.53,0.8498,1.06,239940.00,126820.00,113120.00,-124020.00,-81060.00,-42960.00,31,17,5,3,38240.00,-17110.00,7740.00,-7295.29,27,20,1.93
13,2,2.5,115380.00,146.54,225.06,21877.25,31050.00,70.46,52.78,1602.50,72,-31390.00,15.66,0.3715,0.70,0.8546,22.23,5,-27152.00,0.81,0.12,0.31,0.8417,1.55,273920.00,118630.00,155290.00,-158540.00,-73130.00,-85410.00,38,34,5,5,29590.00,-14410.00,7208.42,-4662.94,21,12,1.73
14,2,6.6,114520.00,145.12,223.70,21714.18,31050.00,69.93,64.58,2385.83,48,-53460.00,21.62,0.3485,0.41,0.8047,30.91,5,-31108.00,0.70,0.11,0.53,0.8395,1.05,239240.00,126820.00,112420.00,-124720.00,-81760.00,-42960.00,31,17,5,3,38240.00,-17110.00,7717.42,-7336.47,27,21,1.92
15,6,2.3,114140.00,151.76,215.85,21642.13,31050.00,69.70,50.00,1501.84,76,-37540.00,13.77,0.3733,0.58,0.8857,19.76,5,-28998.00,0.75,0.08,0.37,0.8375,1.65,288820.00,129070.00,159750.00,-174680.00,-81950.00,-92730.00,38,38,5,5,24590.00,-12160.00,7600.53,-4596.84,20,11,1.65
16,7,2.3,113820.00,130.98,235.59,21581.45,31050.00,69.51,50.68,1559.18,73,-42850.00,14.62,0.4006,0.50,0.8894,21.03,5,-28192.00,0.77,0.08,0.42,0.8324,1.66,274330.00,126930.00,147400.00,-160510.00,-86260.00,-74250.00,37,36,5,5,24590.00,-11710.00,7414.32,-4458.61,20,11,1.71
17,5,2.3,113150.00,148.41,216.01,21454.42,31050.00,69.10,49.33,1508.67,75,-38210.00,13.69,0.3870,0.56,0.8693,19.81,5,-30168.00,0.71,0.08,0.38,0.8270,1.72,281780.00,128030.00,153750.00,-168630.00,-81950.00,-86680.00,37,38,5,5,24590.00,-11710.00,7615.68,-4437.63,20,11,1.67
18,4,2.4,112190.00,142.90,218.42,21272.39,31050.00,68.51,50.00,1476.18,76,-36500.00,13.26,0.3662,0.58,0.8924,19.36,5,-29228.00,0.73,0.08,0.36,0.8192,1.63,289770.00,130120.00,159650.00,-177580.00,-85750.00,-91830.00,38,38,5,5,24290.00,-11710.00,7625.53,-4673.16,20,11,1.63
19,5,2.4,111240.00,136.78,221.48,21092.26,31050.00,67.93,50.00,1463.68,76,-36500.00,13.12,0.3651,0.58,0.8891,19.32,5,-29228.00,0.72,0.08,0.36,0.8134,1.63,287870.00,128220.00,159650.00,-176630.00,-85750.00,-90880.00,38,38,5,5,24590.00,-11710.00,7575.53,-4648.16,20,11,1.63
20,3,6.5,111110.00,134.17,223.67,21067.61,31050.00,67.85,63.27,2267.55,49,-53460.00,20.63,0.3197,0.39,0.7234,30.40,5,-31118.00,0.68,0.11,0.53,0.8333,1.12,231240.00,114010.00,117230.00,-120130.00,-72350.00,-47780.00,31,18,7,3,33040.00,-16310.00,7459.35,-6673.89,27,19,1.92
21,3,6.6,111110.00,134.17,223.67,21067.61,31050.00,67.85,63.27,2267.55,49,-53460.00,20.63,0.3197,0.39,0.7234,30.40,5,-31118.00,0.68,0.11,0.53,0.8333,1.12,231240.00,114010.00,117230.00,-120130.00,-72350.00,-47780.00,31,18,7,3,33040.00,-16310.00,7459.35,-6673.89,27,19,1.92
22,3,3.6,110060.00,132.82,221.64,20868.52,31050.00,67.21,51.56,1719.69,64,-42710.00,14.44,0.3508,0.49,0.8630,21.48,5,-26652.00,0.78,0.11,0.42,0.8171,1.61,264170.00,115550.00,148620.00,-154110.00,-74310.00,-79800.00,33,31,5,4,34190.00,-15010.00,8005.15,-4971.29,21,16,1.71
23,3,6.7,109410.00,131.43,220.93,20745.27,31050.00,66.81,63.27,2232.86,49,-53460.00,20.07,0.3191,0.39,0.7218,30.04,5,-31118.00,0.67,0.11,0.53,0.8211,1.11,230390.00,114010.00,116380.00,-120980.00,-73200.00,-47780.00,31,18,7,3,33040.00,-16310.00,7431.94,-6721.11,27,19,1.90
24,3,6.8,108910.00,130.63,220.13,20650.47,31050.00,66.51,63.27,2222.65,49,-52760.00,19.96,0.3178,0.39,0.7187,30.02,5,-30978.00,0.67,0.11,0.52,0.8181,1.10,229540.00,113760.00,115780.00,-120630.00,-73200.00,-47430.00,31,18,7,3,33040.00,-16310.00,7404.52,-6701.67,27,19,1.90
25,3,6.9,108910.00,130.63,220.13,20650.47,31050.00,66.51,63.27,2222.65,49,-52760.00,19.96,0.3178,0.39,0.7187,30.02,5,-30978.00,0.67,0.11,0.52,0.8181,1.10,229540.00,113760.00,115780.00,-120630.00,-73200.00,-47430.00,31,18,7,3,33040.00,-16310.00,7404.52,-6701.67,27,19,1.90
26,3,2.3,106580.00,140.81,202.45,20208.68,31050.00,65.08,48.05,1384.16,77,-36500.00,12.02,0.3286,0.55,0.8331,18.47,5,-31508.00,0.64,0.08,0.36,0.7689,1.76,277280.00,129270.00,148010.00,-170700.00,-85550.00,-85150.00,37,40,5,5,24290.00,-11710.00,7494.05,-4267.50,20,11,1.62
27,3,4.1,106480.00,137.65,205.28,20189.71,31050.00,65.02,54.84,1717.42,62,-40260.00,14.98,0.3595,0.50,0.8607,23.03,5,-26572.00,0.76,0.11,0.40,0.7837,1.42,253510.00,117340.00,136170.00,-147030.00,-74600.00,-72430.00,34,28,7,4,33140.00,-15010.00,7456.18,-5251.07,20,18,1.72
28,2,7,105720.00,130.92,209.57,20045.61,31050.00,64.56,66.67,2202.50,48,-55670.00,20.18,0.3249,0.36,0.7430,31.26,5,-30346.00,0.66,0.11,0.55,0.8076,0.94,225480.00,125960.00,99520.00,-119760.00,-85310.00,-34450.00,32,16,7,3,38240.00,-16310.00,7046.25,-7485.00,27,21,1.88
29,2,7.1,105720.00,130.92,209.57,20045.61,31050.00,64.56,66.67,2202.50,48,-55670.00,20.18,0.3249,0.36,0.7430,31.26,5,-30346.00,0.66,0.11,0.55,0.8076,0.94,225480.00,125960.00,99520.00,-119760.00,-85310.00,-34450.00,32,16,7,3,38240.00,-16310.00,7046.25,-7485.00,27,21,1.88
