#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,5,1.9,255840.00,425.72,280.34,26903.37,36235.00,74.25,46.03,2030.48,126,-126720.00,12.54,0.4264,0.21,0.7930,16.89,5,-67826.00,0.40,0.17,1.24,0.6377,1.85,697220.00,349880.00,347340.00,-441380.00,-195620.00,-245760.00,58,68,6,9,69040.00,-19910.00,12021.03,-6490.88,26,10,1.58
2,4,2.5,253500.00,446.23,253.37,26657.30,36235.00,73.57,41.25,3168.75,80,-94580.00,13.06,0.4307,0.28,0.8385,17.76,5,-66394.00,0.40,0.23,0.92,0.6703,2.50,588870.00,296410.00,292460.00,-335370.00,-134720.00,-200650.00,33,47,4,9,61490.00,-19010.00,17844.55,-7135.53,42,18,1.76
3,7,2.5,253370.00,430.69,268.55,26643.63,36235.00,73.53,42.31,3248.33,78,-94580.00,13.54,0.4238,0.28,0.8394,18.41,5,-66394.00,0.40,0.23,0.92,0.6715,2.41,582220.00,283370.00,298850.00,-328850.00,-127310.00,-201540.00,33,45,4,9,61490.00,-19010.00,17643.03,-7307.78,43,18,1.77
4,5,2.5,252700.00,444.02,253.37,26573.18,36235.00,73.34,41.25,3158.75,80,-94580.00,13.00,0.4293,0.28,0.8374,17.73,5,-66394.00,0.40,0.23,0.92,0.6689,2.50,588070.00,295610.00,292460.00,-335370.00,-134720.00,-200650.00,33,47,4,9,61490.00,-19010.00,17820.30,-7135.53,42,18,1.75
5,6,2.5,252700.00,444.02,253.37,26573.18,36235.00,73.34,41.25,3158.75,80,-94580.00,13.00,0.4293,0.28,0.8374,17.73,5,-66394.00,0.40,0.23,0.92,0.6689,2.50,588070.00,295610.00,292460.00,-335370.00,-134720.00,-200650.00,33,47,4,9,61490.00,-19010.00,17820.30,-7135.53,42,18,1.75
6,2,2.5,251290.00,440.13,253.37,26424.91,36235.00,72.93,41.98,3102.35,81,-94580.00,12.95,0.4258,0.28,0.8345,17.76,5,-66394.00,0.40,0.23,0.92,0.6644,2.40,594060.00,301600.00,292460.00,-342770.00,-142120.00,-200650.00,34,47,4,9,61490.00,-19010.00,17472.35,-7292.98,42,17,1.73
7,3,2.5,251290.00,440.13,253.37,26424.91,36235.00,72.93,41.98,3102.35,81,-94580.00,12.95,0.4258,0.28,0.8345,17.76,5,-66394.00,0.40,0.23,0.92,0.6644,2.40,594060.00,301600.00,292460.00,-342770.00,-142120.00,-200650.00,34,47,4,9,61490.00,-19010.00,17472.35,-7292.98,42,17,1.73
8,6,1.9,250790.00,414.27,277.85,26372.33,36235.00,72.78,46.03,1990.40,126,-126720.00,12.14,0.4181,0.21,0.7917,16.68,5,-67826.00,0.39,0.17,1.24,0.6277,1.84,692170.00,345730.00,346440.00,-441380.00,-195620.00,-245760.00,58,68,6,9,69040.00,-19910.00,11933.97,-6490.88,26,10,1.57
9,7,1.9,243450.00,409.13,262.73,25600.48,36235.00,70.65,47.20,1947.60,125,-127170.00,11.62,0.4717,0.20,0.7670,16.44,5,-63736.00,0.40,0.17,1.25,0.6216,1.72,698810.00,358070.00,340740.00,-455360.00,-209820.00,-245540.00,59,66,6,9,69040.00,-21660.00,11844.24,-6899.39,25,10,1.53
10,4,2.2,241200.00,429.28,236.37,25363.87,36235.00,70.00,43.00,2412.00,100,-93030.00,11.33,0.4182,0.27,0.8100,16.18,5,-65382.00,0.39,0.23,0.90,0.5904,2.13,641020.00,326740.00,314280.00,-399820.00,-171190.00,-228630.00,43,57,4,9,69040.00,-18410.00,14907.44,-7014.39,33,13,1.60
