#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2,2.8,1621980.00,854.16,417.38,193915.07,127560.00,152.02,55.56,30036.67,54,-315960.00,57.53,1.5233,0.61,0.9290,37.84,5,-266802.00,0.73,1.06,2.65,0.9685,2.51,2381100.00,1506510.00,874590.00,-759120.00,-416940.00,-342180.00,30,24,5,4,375050.00,-114550.00,79370.00,-31630.00,50,18,3.14
2,6,2.8,1606380.00,841.93,417.38,192050.02,127560.00,150.56,55.56,29747.78,54,-315960.00,56.80,1.5180,0.61,0.9289,37.73,5,-266802.00,0.72,1.07,2.65,0.9538,2.49,2365500.00,1490910.00,874590.00,-759120.00,-416940.00,-342180.00,30,24,5,4,375050.00,-114550.00,78850.00,-31630.00,50,18,3.12
3,3,2.8,1522190.00,819.40,373.91,181984.72,127560.00,142.67,54.55,27676.18,55,-315960.00,50.69,1.4976,0.58,0.9267,35.53,5,-266802.00,0.68,1.07,2.67,0.8799,2.39,2336760.00,1462170.00,874590.00,-814570.00,-416940.00,-397630.00,30,25,5,4,375050.00,-114550.00,77892.00,-32582.80,50,18,2.87
4,4,2.8,1522190.00,819.40,373.91,181984.72,127560.00,142.67,54.55,27676.18,55,-315960.00,50.69,1.4976,0.58,0.9267,35.53,5,-266802.00,0.68,1.07,2.67,0.8799,2.39,2336760.00,1462170.00,874590.00,-814570.00,-416940.00,-397630.00,30,25,5,4,375050.00,-114550.00,77892.00,-32582.80,50,18,2.87
5,5,2.8,1522190.00,819.40,373.91,181984.72,127560.00,142.67,54.55,27676.18,55,-315960.00,50.69,1.4976,0.58,0.9267,35.53,5,-266802.00,0.68,1.07,2.67,0.8799,2.39,2336760.00,1462170.00,874590.00,-814570.00,-416940.00,-397630.00,30,25,5,4,375050.00,-114550.00,77892.00,-32582.80,50,18,2.87
6,2,2.9,1406100.00,769.54,332.76,168105.63,127560.00,131.79,55.56,26038.89,54,-327720.00,44.94,1.3116,0.51,0.9053,34.10,5,-269154.00,0.62,1.07,2.80,0.8400,2.07,2290500.00,1427910.00,862590.00,-884400.00,-446280.00,-438120.00,30,24,5,4,375050.00,-114550.00,76350.00,-36850.00,50,19,2.59
7,6,2.9,1390500.00,757.31,332.76,166240.58,127560.00,130.32,55.56,25750.00,54,-327720.00,44.25,1.3063,0.51,0.9053,33.96,5,-269154.00,0.62,1.07,2.80,0.8248,2.06,2274900.00,1412310.00,862590.00,-884400.00,-446280.00,-438120.00,30,24,5,4,375050.00,-114550.00,75830.00,-36850.00,50,19,2.57
8,21,3.6,1384380.00,817.46,267.82,165508.91,127560.00,129.75,50.00,38455.00,36,-306550.00,45.94,1.6896,0.54,0.8017,35.41,5,-257012.00,0.64,1.11,2.82,0.7951,3.43,1954800.00,1301920.00,652880.00,-570420.00,-259170.00,-311250.00,18,18,5,3,611390.00,-72010.00,108600.00,-31690.00,74,31,3.43
9,22,3.6,1381080.00,817.46,265.23,165114.38,127560.00,129.44,50.00,38363.33,36,-306550.00,45.80,1.6859,0.54,0.8004,35.39,5,-257672.00,0.64,1.11,2.82,0.7933,3.42,1951500.00,1301920.00,649580.00,-570420.00,-259170.00,-311250.00,18,18,5,3,611390.00,-72010.00,108416.67,-31690.00,74,31,3.42
10,2,3.8,1375560.00,757.57,320.79,164454.44,127560.00,128.92,44.44,38210.00,36,-306550.00,39.09,1.5126,0.54,0.7595,30.32,5,-254002.00,0.65,1.11,2.86,0.7543,3.93,2016260.00,1302590.00,713670.00,-640700.00,-336230.00,-304470.00,16,20,5,3,611390.00,-73210.00,126016.25,-32035.00,82,32,3.15
