#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2,3.2,61300.00,600.26,479.91,6376.32,5675.00,112.36,57.78,1362.22,45,-14025.00,36.51,0.8747,0.45,0.9224,32.50,5,-10910.00,0.58,0.03,0.14,0.7689,1.67,108990.00,56605.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4191.92,-2510.00,69,23,2.29
2,3,3.2,60150.00,580.00,479.91,6256.70,5675.00,110.25,57.78,1336.67,45,-14025.00,35.53,0.8723,0.45,0.9226,32.23,5,-10910.00,0.57,0.03,0.14,0.7558,1.65,107840.00,55455.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4147.69,-2510.00,69,23,2.26
3,8,3.2,60100.00,579.12,479.91,6251.50,5675.00,110.16,57.78,1335.56,45,-14025.00,35.49,0.8723,0.45,0.9226,32.21,5,-10910.00,0.57,0.03,0.14,0.7559,1.65,107790.00,55405.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4145.77,-2510.00,69,23,2.26
4,9,3.2,60100.00,579.12,479.91,6251.50,5675.00,110.16,57.78,1335.56,45,-14025.00,35.49,0.8723,0.45,0.9226,32.21,5,-10910.00,0.57,0.03,0.14,0.7559,1.65,107790.00,55405.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4145.77,-2510.00,69,23,2.26
5,4,3.2,59625.00,570.75,479.91,6202.09,5675.00,109.29,57.78,1325.00,45,-14025.00,35.08,0.8713,0.44,0.9227,32.10,5,-10910.00,0.57,0.03,0.14,0.7500,1.64,107315.00,54930.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4127.50,-2510.00,69,23,2.25
6,5,3.2,59625.00,570.75,479.91,6202.09,5675.00,109.29,57.78,1325.00,45,-14025.00,35.08,0.8713,0.44,0.9227,32.10,5,-10910.00,0.57,0.03,0.14,0.7500,1.64,107315.00,54930.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4127.50,-2510.00,69,23,2.25
7,6,3.2,59625.00,570.75,479.91,6202.09,5675.00,109.29,57.78,1325.00,45,-14025.00,35.08,0.8713,0.44,0.9227,32.10,5,-10910.00,0.57,0.03,0.14,0.7500,1.64,107315.00,54930.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4127.50,-2510.00,69,23,2.25
8,7,3.2,59625.00,570.75,479.91,6202.09,5675.00,109.29,57.78,1325.00,45,-14025.00,35.08,0.8713,0.44,0.9227,32.10,5,-10910.00,0.57,0.03,0.14,0.7500,1.64,107315.00,54930.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4127.50,-2510.00,69,23,2.25
9,11,3.2,59150.00,552.69,489.60,6152.68,5675.00,108.42,57.78,1314.44,45,-14025.00,34.68,0.8729,0.44,0.9234,31.99,5,-10800.00,0.57,0.03,0.14,0.7448,1.64,106840.00,53905.00,52935.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4109.23,-2510.00,69,23,2.24
10,10,3.2,58600.00,552.69,479.91,6095.47,5675.00,107.41,57.78,1302.22,45,-14025.00,34.21,0.8692,0.43,0.9228,31.85,5,-10910.00,0.56,0.03,0.14,0.7403,1.63,106290.00,53905.00,52385.00,-47690.00,-22540.00,-25150.00,26,19,6,5,9990.00,-5560.00,4088.08,-2510.00,69,23,2.23
