#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2,4.1,71590.00,690.57,570.93,7446.67,5675.00,131.22,67.74,2309.35,31,-15505.00,65.92,1.0073,0.48,0.9573,50.23,5,-11025.00,0.68,0.03,0.15,0.8918,1.84,96540.00,50165.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4597.14,-2495.00,91,35,3.87
2,3,4.1,70440.00,670.31,570.93,7327.04,5675.00,129.11,67.74,2272.26,31,-15505.00,64.59,1.0053,0.47,0.9568,50.02,5,-11025.00,0.66,0.03,0.15,0.8800,1.82,95390.00,49015.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4542.38,-2495.00,91,35,3.82
3,8,4.1,70390.00,669.43,570.93,7321.84,5675.00,129.02,67.74,2270.65,31,-15505.00,64.53,1.0052,0.47,0.9568,50.01,5,-11025.00,0.66,0.03,0.15,0.8802,1.82,95340.00,48965.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4540.00,-2495.00,90,35,3.82
4,9,4.1,70390.00,669.43,570.93,7321.84,5675.00,129.02,67.74,2270.65,31,-15505.00,64.53,1.0052,0.47,0.9568,50.01,5,-11025.00,0.66,0.03,0.15,0.8802,1.82,95340.00,48965.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4540.00,-2495.00,90,35,3.82
5,4,4.1,69915.00,661.06,570.93,7272.44,5675.00,128.15,67.74,2255.32,31,-15505.00,63.98,1.0044,0.47,0.9566,49.93,5,-11025.00,0.66,0.03,0.15,0.8747,1.81,94865.00,48490.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4517.38,-2495.00,91,35,3.80
6,5,4.1,69915.00,661.06,570.93,7272.44,5675.00,128.15,67.74,2255.32,31,-15505.00,63.98,1.0044,0.47,0.9566,49.93,5,-11025.00,0.66,0.03,0.15,0.8747,1.81,94865.00,48490.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4517.38,-2495.00,91,35,3.80
7,6,4.1,69915.00,661.06,570.93,7272.44,5675.00,128.15,67.74,2255.32,31,-15505.00,63.98,1.0044,0.47,0.9566,49.93,5,-11025.00,0.66,0.03,0.15,0.8747,1.81,94865.00,48490.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4517.38,-2495.00,91,35,3.80
8,7,4.1,69915.00,661.06,570.93,7272.44,5675.00,128.15,67.74,2255.32,31,-15505.00,63.98,1.0044,0.47,0.9566,49.93,5,-11025.00,0.66,0.03,0.15,0.8747,1.81,94865.00,48490.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4517.38,-2495.00,91,35,3.80
9,10,4.1,68890.00,643.00,570.93,7165.82,5675.00,126.27,67.74,2222.26,31,-15505.00,62.80,1.0026,0.46,0.9561,49.73,5,-11025.00,0.65,0.03,0.15,0.8661,1.79,93840.00,47465.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4468.57,-2495.00,90,35,3.76
10,11,4.1,68890.00,643.00,570.93,7165.82,5675.00,126.27,67.74,2222.26,31,-15505.00,62.80,1.0026,0.46,0.9561,49.73,5,-11025.00,0.65,0.03,0.15,0.8661,1.79,93840.00,47465.00,46375.00,-24950.00,-10975.00,-13975.00,21,10,11,4,16215.00,-5610.00,4468.57,-2495.00,90,35,3.76
11,27,4.1,67160.00,601.15,582.29,6985.86,5675.00,123.10,72.41,2315.86,29,-10860.00,71.47,1.0067,0.64,0.9648,58.06,5,-10162.00,0.69,0.03,0.11,0.8750,1.92,83765.00,44240.00,39525.00,-16605.00,-10125.00,-6480.00,21,8,11,3,16115.00,-3485.00,3988.81,-2075.63,88,36,5.04
12,26,4.1,66960.00,601.15,578.77,6965.06,5675.00,122.73,72.41,2308.97,29,-10860.00,71.04,1.0057,0.64,0.9646,57.89,5,-10202.00,0.68,0.03,0.11,0.8725,1.90,83765.00,44240.00,39525.00,-16805.00,-10125.00,-6680.00,21,8,11,3,16115.00,-3485.00,3988.81,-2100.63,88,37,4.98
