#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,3,0.8,31230.00,821.08,108.66,3479.53,3359.00,103.59,40.83,92.40,338,-9720.00,10.29,1.3405,0.36,0.6843,9.93,5,-5154.00,0.68,0.01,0.10,1.0922,1.92,122630.00,74720.00,47910.00,-91400.00,-47140.00,-44260.00,138,197,6,8,5410.00,-2330.00,888.62,-463.96,9,3,1.34
2,2,7.1,30470.00,822.86,84.25,3394.86,3359.00,101.07,72.73,2770.00,11,-7930.00,62.46,1.1496,0.43,0.8654,61.80,5,-5850.00,0.58,0.01,0.08,0.6949,2.49,35860.00,30540.00,5320.00,-5390.00,-2900.00,-2490.00,8,3,4,2,9090.00,-2900.00,4482.50,-1796.67,233,81,6.65
3,3,7.1,30470.00,822.86,84.25,3394.86,3359.00,101.07,72.73,2770.00,11,-7930.00,62.46,1.1496,0.43,0.8654,61.80,5,-5850.00,0.58,0.01,0.08,0.6949,2.49,35860.00,30540.00,5320.00,-5390.00,-2900.00,-2490.00,8,3,4,2,9090.00,-2900.00,4482.50,-1796.67,233,81,6.65
4,4,7.1,30470.00,822.86,84.25,3394.86,3359.00,101.07,72.73,2770.00,11,-7930.00,62.46,1.1496,0.43,0.8654,61.80,5,-5850.00,0.58,0.01,0.08,0.6949,2.49,35860.00,30540.00,5320.00,-5390.00,-2900.00,-2490.00,8,3,4,2,9090.00,-2900.00,4482.50,-1796.67,233,81,6.65
5,2,7.2,29470.00,807.98,69.37,3283.44,3359.00,97.75,72.73,2679.09,11,-8930.00,59.25,1.0858,0.37,0.8651,60.61,5,-6050.00,0.54,0.01,0.09,0.6631,2.25,35360.00,30040.00,5320.00,-5890.00,-2900.00,-2990.00,8,3,4,2,9090.00,-2900.00,4420.00,-1963.33,234,79,6.00
6,3,7.2,29470.00,807.98,69.37,3283.44,3359.00,97.75,72.73,2679.09,11,-8930.00,59.25,1.0858,0.37,0.8651,60.61,5,-6050.00,0.54,0.01,0.09,0.6631,2.25,35360.00,30040.00,5320.00,-5890.00,-2900.00,-2990.00,8,3,4,2,9090.00,-2900.00,4420.00,-1963.33,234,79,6.00
7,4,7.2,29470.00,807.98,69.37,3283.44,3359.00,97.75,72.73,2679.09,11,-8930.00,59.25,1.0858,0.37,0.8651,60.61,5,-6050.00,0.54,0.01,0.09,0.6631,2.25,35360.00,30040.00,5320.00,-5890.00,-2900.00,-2990.00,8,3,4,2,9090.00,-2900.00,4420.00,-1963.33,234,79,6.00
8,2,6.5,28470.00,792.80,54.78,3172.02,3359.00,94.43,69.23,2190.00,13,-9230.00,50.01,1.0540,0.34,0.8645,52.96,5,-6504.00,0.49,0.01,0.09,0.6837,1.89,37220.00,31970.00,5250.00,-8750.00,-5340.00,-3410.00,9,4,3,1,11560.00,-3120.00,4135.56,-2187.50,207,62,4.25
9,3,6.5,28470.00,792.80,54.78,3172.02,3359.00,94.43,69.23,2190.00,13,-9230.00,50.01,1.0540,0.34,0.8645,52.96,5,-6504.00,0.49,0.01,0.09,0.6837,1.89,37220.00,31970.00,5250.00,-8750.00,-5340.00,-3410.00,9,4,3,1,11560.00,-3120.00,4135.56,-2187.50,207,62,4.25
10,4,6.5,28470.00,792.80,54.78,3172.02,3359.00,94.43,69.23,2190.00,13,-9230.00,50.01,1.0540,0.34,0.8645,52.96,5,-6504.00,0.49,0.01,0.09,0.6837,1.89,37220.00,31970.00,5250.00,-8750.00,-5340.00,-3410.00,9,4,3,1,11560.00,-3120.00,4135.56,-2187.50,207,62,4.25
11,3,0.9,25120.00,734.44,13.40,2798.78,3359.00,83.32,40.76,80.00,314,-8190.00,7.05,1.2205,0.34,0.7841,8.46,5,-5180.00,0.54,0.01,0.08,0.9148,1.83,113990.00,66730.00,47260.00,-88870.00,-42060.00,-46810.00,128,183,6,8,5410.00,-1800.00,890.55,-485.63,10,4,1.28
12,56,6.5,25020.00,709.74,35.13,2787.64,3359.00,82.99,64.29,1787.14,14,-8330.00,38.24,0.8924,0.33,0.8213,46.07,5,-6126.00,0.46,0.01,0.08,0.5539,1.96,34910.00,30550.00,4360.00,-9890.00,-6710.00,-3180.00,9,5,3,2,9380.00,-3420.00,3878.89,-1978.00,186,76,3.53
13,57,6.5,25020.00,709.74,35.13,2787.64,3359.00,82.99,64.29,1787.14,14,-8330.00,38.24,0.8924,0.33,0.8213,46.07,5,-6126.00,0.46,0.01,0.08,0.5539,1.96,34910.00,30550.00,4360.00,-9890.00,-6710.00,-3180.00,9,5,3,2,9380.00,-3420.00,3878.89,-1978.00,186,76,3.53
14,56,6.4,25010.00,709.44,35.13,2786.52,3359.00,82.96,66.67,1667.33,15,-8330.00,39.63,0.8917,0.33,0.8208,47.77,5,-6126.00,0.45,0.01,0.08,0.5508,1.76,34900.00,30540.00,4360.00,-9890.00,-6710.00,-3180.00,10,5,3,2,9380.00,-3420.00,3490.00,-1978.00,168,76,3.53
15,57,6.4,25010.00,709.44,35.13,2786.52,3359.00,82.96,66.67,1667.33,15,-8330.00,39.63,0.8917,0.33,0.8208,47.77,5,-6126.00,0.45,0.01,0.08,0.5508,1.76,34900.00,30540.00,4360.00,-9890.00,-6710.00,-3180.00,10,5,3,2,9380.00,-3420.00,3490.00,-1978.00,168,76,3.53
