#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,9,5,36290.00,840.43,239.95,4043.30,3359.00,120.37,56.82,412.39,88,-5770.00,34.93,1.3661,0.70,0.8277,29.02,5,-4688.00,0.86,0.01,0.06,0.8124,1.55,71050.00,41600.00,29450.00,-34760.00,-13370.00,-21390.00,50,38,8,4,5440.00,-2680.00,1421.00,-914.74,25,18,2.04
2,9,5.1,35670.00,827.92,234.00,3974.22,3359.00,118.32,55.68,405.34,88,-6570.00,33.21,1.3500,0.60,0.8244,28.07,5,-4812.00,0.83,0.01,0.07,0.8145,1.60,70760.00,41310.00,29450.00,-35090.00,-13500.00,-21590.00,49,39,8,4,5440.00,-2680.00,1444.08,-899.74,26,18,2.02
3,9,5.2,34850.00,824.05,213.46,3882.86,3359.00,115.60,55.68,396.02,88,-6570.00,31.92,1.3378,0.59,0.8157,27.61,5,-4882.00,0.80,0.01,0.07,0.8097,1.58,70280.00,41520.00,28760.00,-35430.00,-13840.00,-21590.00,49,39,8,4,5440.00,-2680.00,1434.29,-908.46,25,18,1.98
4,9,6,34580.00,786.25,243.23,3852.78,3359.00,114.70,56.63,416.63,83,-9050.00,33.09,1.2835,0.43,0.8088,28.85,5,-5512.00,0.70,0.01,0.09,0.8867,1.56,67880.00,40050.00,27830.00,-33300.00,-13640.00,-19660.00,47,36,8,5,5440.00,-2680.00,1444.26,-925.00,27,19,2.04
5,9,5.3,33030.00,797.56,185.77,3680.08,3359.00,109.56,54.55,375.34,88,-6570.00,28.09,1.2642,0.56,0.8123,25.64,5,-5200.00,0.71,0.01,0.07,0.7453,1.57,70260.00,41500.00,28760.00,-37230.00,-14710.00,-22520.00,48,40,8,5,5440.00,-2680.00,1463.75,-930.75,26,18,1.89
6,9,4.9,32620.00,783.57,187.56,3634.40,3359.00,108.20,56.18,366.52,89,-5770.00,28.46,1.2732,0.63,0.7980,26.31,5,-4688.00,0.78,0.01,0.06,0.7638,1.47,69660.00,41670.00,27990.00,-37040.00,-15350.00,-21690.00,50,39,8,4,5440.00,-2680.00,1393.20,-949.74,25,18,1.88
7,10,4.7,32340.00,784.16,178.62,3603.21,3359.00,107.27,57.95,367.50,88,-6980.00,29.29,1.2783,0.52,0.7925,27.30,5,-5034.00,0.72,0.01,0.07,0.9413,1.37,68650.00,40760.00,27890.00,-36310.00,-14420.00,-21890.00,51,37,8,4,5440.00,-2070.00,1346.08,-981.35,25,17,1.89
8,9,4.8,32110.00,781.78,174.16,3577.58,3359.00,106.51,54.35,349.02,92,-6050.00,25.96,1.2727,0.59,0.7727,24.37,5,-4444.00,0.81,0.01,0.06,0.8203,1.52,71600.00,43510.00,28090.00,-39490.00,-17250.00,-22240.00,50,42,8,4,5440.00,-2330.00,1432.00,-940.24,25,17,1.81
9,10,5,32110.00,783.86,172.08,3577.58,3359.00,106.51,59.30,373.37,86,-7620.00,30.14,1.1982,0.47,0.7943,28.29,5,-5068.00,0.71,0.01,0.08,0.8535,1.31,67300.00,38880.00,28420.00,-35190.00,-12550.00,-22640.00,51,35,8,4,5440.00,-2680.00,1319.61,-1005.43,26,17,1.91
10,9,6.1,31710.00,729.68,214.35,3533.01,3359.00,105.18,56.63,382.05,83,-9050.00,28.06,1.1658,0.39,0.8085,26.68,5,-5924.00,0.60,0.01,0.09,0.7950,1.45,67310.00,39440.00,27870.00,-35600.00,-14930.00,-20670.00,47,36,8,5,5440.00,-2680.00,1432.13,-988.89,27,19,1.89
11,9,6.2,31710.00,729.68,214.35,3533.01,3359.00,105.18,56.63,382.05,83,-9050.00,28.06,1.1658,0.39,0.8085,26.68,5,-5924.00,0.60,0.01,0.09,0.7950,1.45,67310.00,39440.00,27870.00,-35600.00,-14930.00,-20670.00,47,36,8,5,5440.00,-2680.00,1432.13,-988.89,27,19,1.89
12,9,6.3,31310.00,719.56,212.56,3488.45,3359.00,103.85,55.42,377.23,83,-9050.00,26.87,1.1544,0.39,0.8051,25.87,5,-6004.00,0.58,0.01,0.09,0.7889,1.51,67070.00,39200.00,27870.00,-35760.00,-15030.00,-20730.00,46,37,8,5,5440.00,-2680.00,1458.04,-966.49,27,19,1.88
13,9,6.4,31310.00,719.56,212.56,3488.45,3359.00,103.85,55.42,377.23,83,-9050.00,26.87,1.1544,0.39,0.8051,25.87,5,-6004.00,0.58,0.01,0.09,0.7889,1.51,67070.00,39200.00,27870.00,-35760.00,-15030.00,-20730.00,46,37,8,5,5440.00,-2680.00,1458.04,-966.49,27,19,1.88
14,10,3.5,31150.00,718.37,208.99,3470.62,3359.00,103.32,55.56,314.65,99,-6970.00,24.57,1.1716,0.50,0.8799,23.78,5,-5036.00,0.69,0.01,0.07,0.9114,1.40,70640.00,41340.00,29300.00,-39490.00,-17210.00,-22280.00,55,43,4,4,5440.00,-1990.00,1284.36,-918.37,23,14,1.79
15,10,5.1,31150.00,764.51,162.85,3470.62,3359.00,103.32,58.14,362.21,86,-7780.00,27.92,1.1719,0.45,0.7846,27.03,5,-5260.00,0.66,0.01,0.08,0.8392,1.35,67010.00,38590.00,28420.00,-35860.00,-12910.00,-22950.00,50,36,8,4,5440.00,-2680.00,1340.20,-996.11,26,17,1.87
16,9,6.6,30910.00,716.88,203.33,3443.88,3359.00,102.53,54.88,376.95,82,-9490.00,26.55,1.1780,0.36,0.8024,25.89,5,-6108.00,0.56,0.01,0.09,0.8565,1.56,65510.00,38840.00,26670.00,-34600.00,-14760.00,-19840.00,45,37,8,5,5440.00,-2300.00,1455.78,-935.14,27,20,1.89
17,9,4.7,30580.00,751.41,158.98,3407.11,3359.00,101.43,52.17,332.39,92,-7170.00,22.76,1.2978,0.48,0.7873,22.44,5,-4830.00,0.71,0.01,0.07,0.8026,1.61,71100.00,42120.00,28980.00,-40520.00,-16880.00,-23640.00,48,44,8,4,5440.00,-2330.00,1481.25,-920.91,25,17,1.75
18,10,3.3,30220.00,768.68,130.99,3367.00,3359.00,100.24,52.43,293.40,103,-6970.00,22.39,1.2533,0.48,0.8355,22.34,5,-5170.00,0.65,0.01,0.07,0.9487,1.58,70920.00,44830.00,26090.00,-40700.00,-19010.00,-21690.00,54,49,4,4,5440.00,-2380.00,1313.33,-830.61,22,14,1.74
19,10,4.8,30160.00,750.82,147.07,3360.32,3359.00,100.04,57.95,342.73,88,-9430.00,25.83,1.1951,0.36,0.7597,25.82,5,-5066.00,0.66,0.01,0.09,0.9057,1.31,67690.00,40690.00,27000.00,-37530.00,-15470.00,-22060.00,51,37,8,4,5440.00,-2070.00,1327.25,-1014.32,25,17,1.80
20,10,3.1,29610.00,746.65,134.86,3299.04,3359.00,98.21,50.94,279.34,106,-6520.00,20.93,1.2030,0.51,0.7963,21.31,5,-5088.00,0.65,0.01,0.07,0.9564,1.66,70780.00,43710.00,27070.00,-41170.00,-18630.00,-22540.00,54,52,4,3,5440.00,-2380.00,1310.74,-791.73,22,13,1.72
21,10,3.4,29480.00,735.93,141.71,3284.55,3359.00,97.78,54.46,291.88,101,-6970.00,22.44,1.1442,0.47,0.8692,22.95,5,-4984.00,0.66,0.01,0.07,0.8833,1.45,69950.00,42210.00,27740.00,-40470.00,-17490.00,-22980.00,55,46,4,4,5440.00,-1990.00,1271.82,-879.78,22,14,1.73
22,10,4.6,29240.00,737.42,133.08,3257.81,3359.00,96.99,55.56,324.89,90,-8560.00,22.56,1.1944,0.38,0.7571,23.26,5,-4660.00,0.70,0.01,0.09,0.8925,1.38,67500.00,40470.00,27030.00,-38260.00,-15700.00,-22560.00,50,39,8,4,5440.00,-2070.00,1350.00,-981.03,25,16,1.76
23,9,4.6,29220.00,730.57,139.33,3255.59,3359.00,96.92,52.13,310.85,94,-7170.00,20.35,1.2683,0.45,0.7680,20.99,5,-4830.00,0.67,0.01,0.07,0.8044,1.54,70240.00,42220.00,28020.00,-41020.00,-17680.00,-23340.00,49,44,8,4,5440.00,-2330.00,1433.47,-932.27,24,16,1.71
24,9,5.6,29190.00,741.29,127.72,3252.24,3359.00,96.82,50.59,343.41,85,-9050.00,20.71,1.1315,0.36,0.7593,21.39,5,-6158.00,0.53,0.01,0.09,0.6392,1.69,66850.00,39350.00,27500.00,-37660.00,-14450.00,-23210.00,43,41,8,5,5440.00,-2680.00,1554.65,-918.54,27,18,1.78
25,9,5.4,29130.00,733.55,133.67,3245.56,3359.00,96.62,52.27,331.02,88,-7870.00,20.77,1.1902,0.41,0.7784,21.50,5,-5922.00,0.55,0.01,0.08,0.6494,1.55,68500.00,40580.00,27920.00,-39370.00,-15940.00,-23430.00,46,41,8,5,5440.00,-2680.00,1489.13,-960.24,26,18,1.74
26,9,5.9,28870.00,701.40,158.08,3216.59,3359.00,95.76,50.59,339.65,85,-9050.00,20.37,1.1226,0.36,0.7589,21.27,5,-6320.00,0.51,0.01,0.09,0.6231,1.69,66470.00,38820.00,27650.00,-37600.00,-15260.00,-22340.00,43,41,8,5,5440.00,-2680.00,1545.81,-917.07,27,18,1.77
27,10,3.2,28610.00,732.96,118.79,3187.62,3359.00,94.90,50.96,275.10,104,-6110.00,19.67,1.1724,0.52,0.8090,20.73,5,-5148.00,0.62,0.01,0.06,0.9025,1.62,70340.00,43910.00,26430.00,-41730.00,-19290.00,-22440.00,53,51,4,4,5440.00,-2380.00,1327.17,-818.24,22,13,1.69
28,10,5.2,28610.00,717.77,133.97,3187.62,3359.00,94.90,56.98,332.67,86,-9740.00,23.09,1.1218,0.33,0.7513,24.33,5,-5558.00,0.57,0.01,0.10,0.8098,1.32,66990.00,38820.00,28170.00,-38380.00,-14710.00,-23670.00,49,37,8,4,5440.00,-2680.00,1367.14,-1037.30,26,17,1.75
