#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,6,1.2,29120.00,561.76,302.85,4289.27,3368.00,127.35,40.43,206.52,141,-8020.00,19.52,0.9304,0.53,0.8560,15.33,5,-5384.00,0.80,0.01,0.08,1.0703,2.37,75330.00,42030.00,33300.00,-46210.00,-23110.00,-23100.00,57,83,4,9,6270.00,-1770.00,1321.58,-556.75,17,6,1.63
2,4,1.2,27640.00,475.65,345.01,4071.27,3368.00,120.88,39.01,196.03,141,-8020.00,16.58,0.7644,0.51,0.8450,13.72,5,-6174.00,0.66,0.01,0.08,0.9300,2.41,78610.00,44490.00,34120.00,-50970.00,-28470.00,-22500.00,55,86,4,9,6470.00,-1770.00,1429.27,-592.67,18,6,1.54
3,2,1.1,27200.00,491.09,316.51,4006.46,3368.00,118.96,39.26,166.87,163,-8910.00,15.43,0.8295,0.45,0.8560,12.98,5,-6266.00,0.64,0.01,0.09,0.8944,2.31,82310.00,50070.00,32240.00,-55110.00,-33530.00,-21580.00,64,99,5,9,6610.00,-1480.00,1286.09,-556.67,16,5,1.49
4,45,3.1,25970.00,423.40,347.68,3825.28,3368.00,113.58,55.17,895.52,29,-4310.00,44.34,0.6080,0.89,0.8270,39.04,37,-1134.59,3.37,0.01,0.04,0.9761,2.78,36700.00,18530.00,18170.00,-10730.00,-4270.00,-6460.00,16,13,5,3,7440.00,-1490.00,2293.75,-825.38,54,19,3.42
5,2,1.2,25780.00,471.79,293.65,3797.30,3368.00,112.75,38.78,175.37,147,-8890.00,14.44,0.6862,0.43,0.8368,12.81,5,-5866.00,0.65,0.01,0.09,0.8238,2.36,78030.00,45800.00,32230.00,-52250.00,-29910.00,-22340.00,57,90,4,8,6470.00,-1770.00,1368.95,-580.56,17,6,1.49
6,5,1.2,25640.00,482.19,279.10,3776.67,3368.00,112.13,38.36,175.62,146,-8020.00,14.18,0.7489,0.47,0.8474,12.64,5,-5504.00,0.69,0.01,0.08,0.8942,2.40,76060.00,42090.00,33970.00,-50420.00,-25850.00,-24570.00,56,89,4,9,6470.00,-1770.00,1358.21,-566.52,17,6,1.51
7,65,3.3,25560.00,427.26,331.65,3764.89,3368.00,111.78,60.87,1111.30,23,-5980.00,51.06,0.5456,0.63,0.8201,45.68,42,-1002.86,3.75,0.01,0.06,0.9788,2.58,34060.00,19450.00,14610.00,-8500.00,-5060.00,-3440.00,14,9,4,2,7430.00,-2170.00,2432.86,-944.44,56,26,4.01
8,56,3.3,25490.00,464.67,292.16,3754.58,3368.00,111.48,62.50,1062.08,24,-6750.00,50.45,0.6350,0.56,0.8799,45.26,5,-4042.00,0.93,0.01,0.07,0.9516,2.18,35200.00,19730.00,15470.00,-9710.00,-4080.00,-5630.00,15,9,6,2,7440.00,-1610.00,2346.67,-1078.89,56,29,3.63
9,57,3.3,25330.00,464.67,287.41,3731.01,3368.00,110.78,62.50,1055.42,24,-6750.00,50.05,0.6290,0.55,0.8770,45.18,5,-4062.00,0.92,0.01,0.07,0.9455,2.17,35040.00,19730.00,15310.00,-9710.00,-4080.00,-5630.00,15,9,6,2,7440.00,-1610.00,2336.00,-1078.89,56,29,3.61
10,67,3.3,25210.00,433.19,315.32,3713.34,3368.00,110.25,60.87,1096.09,23,-5980.00,50.19,0.5436,0.62,0.8036,45.52,40,-1018.75,3.64,0.01,0.06,0.9760,2.55,33710.00,19650.00,14060.00,-8500.00,-5060.00,-3440.00,14,9,4,2,7750.00,-2170.00,2407.86,-944.44,55,26,3.97
