#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,3,5.2,41880.00,731.29,512.17,6168.77,3368.00,183.16,65.71,598.29,70,-4810.00,78.31,1.3156,1.28,0.9640,42.75,5,-4196.00,1.47,0.01,0.05,1.4087,1.49,64370.00,31960.00,32410.00,-22490.00,-7330.00,-15160.00,46,24,8,3,5440.00,-3090.00,1399.35,-937.08,24,19,2.86
2,3,5.1,41390.00,723.87,505.05,6096.59,3368.00,181.02,64.79,582.96,71,-4810.00,75.64,1.3032,1.27,0.9633,41.79,5,-4094.00,1.49,0.01,0.05,1.3945,1.53,64170.00,32010.00,32160.00,-22780.00,-7630.00,-15150.00,46,25,8,3,5440.00,-3040.00,1395.00,-911.20,23,19,2.82
3,3,5.3,41130.00,714.37,506.83,6058.29,3368.00,179.88,66.67,596.09,69,-4810.00,77.31,1.3015,1.26,0.9617,42.98,5,-4196.00,1.44,0.01,0.05,1.3846,1.41,63800.00,31390.00,32410.00,-22670.00,-7330.00,-15340.00,46,23,8,3,5440.00,-3090.00,1386.96,-985.65,24,19,2.81
4,3,1.5,41040.00,713.18,505.34,6045.04,3368.00,179.48,51.79,366.43,112,-6360.00,50.81,1.1491,0.95,0.9501,28.31,68,-973.38,6.21,0.01,0.06,1.3036,2.05,75080.00,37380.00,37700.00,-34040.00,-13360.00,-20680.00,58,54,6,5,5960.00,-2240.00,1294.48,-630.37,18,8,2.21
5,4,1.5,38500.00,681.12,462.00,5670.90,3368.00,168.38,51.33,340.71,113,-6360.00,44.70,1.0179,0.89,0.9268,26.55,65,-967.38,5.86,0.01,0.06,1.1818,1.96,74430.00,37120.00,37310.00,-35930.00,-14180.00,-21750.00,58,55,6,5,5960.00,-2240.00,1283.28,-653.27,18,8,2.07
6,3,5,38440.00,688.54,452.79,5662.07,3368.00,168.11,62.50,533.89,72,-5550.00,61.58,1.2191,1.02,0.9472,36.63,5,-4430.00,1.28,0.01,0.06,1.2942,1.45,63920.00,31280.00,32640.00,-25480.00,-8090.00,-17390.00,45,26,8,3,5850.00,-3040.00,1420.44,-980.00,23,18,2.51
7,5,1.5,37590.00,662.41,453.68,5536.86,3368.00,164.40,51.33,332.65,113,-6360.00,42.99,0.9927,0.87,0.9199,26.15,62,-986.61,5.61,0.01,0.06,1.1496,1.93,73780.00,36470.00,37310.00,-36190.00,-14160.00,-22030.00,58,55,6,5,5960.00,-2240.00,1272.07,-658.00,18,8,2.04
8,4,5.2,37480.00,660.63,452.20,5520.66,3368.00,163.92,60.29,551.18,68,-9100.00,58.21,1.0776,0.61,0.9163,35.51,5,-5022.00,1.10,0.01,0.09,1.1772,1.60,63640.00,30980.00,32660.00,-26160.00,-8730.00,-17430.00,41,27,8,5,5440.00,-3090.00,1552.20,-968.89,25,19,2.43
9,6,1.8,37280.00,621.73,485.15,5491.20,3368.00,163.04,48.57,355.05,105,-6430.00,40.89,1.0254,0.85,0.9374,25.08,5,-4570.00,1.20,0.01,0.06,1.1719,2.19,72200.00,34280.00,37920.00,-34920.00,-13340.00,-21580.00,51,54,5,4,5960.00,-2370.00,1415.69,-646.67,20,9,2.07
10,3,5.4,37190.00,655.58,448.63,5477.95,3368.00,162.65,62.32,538.99,69,-5680.00,60.71,1.1725,0.96,0.9592,37.33,5,-4370.00,1.25,0.01,0.06,1.2573,1.51,62090.00,31260.00,30830.00,-24900.00,-9180.00,-15720.00,43,26,8,4,5440.00,-3090.00,1443.95,-957.69,24,19,2.49
