#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,8,1.6,96520.00,334.37,496.99,10045.57,11610.00,86.53,42.57,652.16,148,-15580.00,16.35,0.5566,0.64,0.8049,18.90,5,-14458.00,0.69,0.04,0.15,0.8516,2.43,217410.00,101120.00,116290.00,-120890.00,-62300.00,-58590.00,63,85,4,8,16030.00,-5250.00,3450.95,-1422.24,22,8,1.80
2,7,1.6,95580.00,274.68,548.58,9947.73,11610.00,85.68,45.39,628.82,152,-14310.00,17.32,0.5578,0.70,0.8652,20.22,5,-13606.00,0.73,0.04,0.14,0.8460,2.17,214630.00,88170.00,126460.00,-119050.00,-56280.00,-62770.00,69,83,4,8,14610.00,-3510.00,3110.58,-1434.34,21,8,1.80
3,9,1.6,93900.00,389.84,418.95,9772.88,11610.00,84.18,43.06,652.08,144,-15820.00,15.97,0.5728,0.62,0.8943,18.97,5,-13630.00,0.72,0.04,0.16,0.8906,2.36,213100.00,101940.00,111160.00,-119200.00,-56680.00,-62520.00,62,82,7,8,12690.00,-5150.00,3437.10,-1453.66,22,8,1.79
4,50,4.4,85720.00,279.84,458.48,8921.53,11610.00,76.84,58.33,3571.67,24,-16720.00,34.78,0.6288,0.53,0.9652,45.26,5,-13194.00,0.68,0.04,0.17,0.9558,3.19,110480.00,47060.00,63420.00,-24760.00,-14570.00,-10190.00,14,10,5,3,23310.00,-5010.00,7891.43,-2476.00,118,29,4.46
5,49,4.4,85360.00,279.84,455.38,8884.06,11610.00,76.52,58.33,3556.67,24,-16720.00,34.60,0.6257,0.53,0.9650,45.22,5,-13266.00,0.67,0.04,0.17,0.9516,3.18,110120.00,47060.00,63060.00,-24760.00,-14570.00,-10190.00,14,10,5,3,23310.00,-5010.00,7865.71,-2476.00,118,29,4.45
6,50,4.5,83060.00,262.53,452.89,8644.68,11610.00,74.46,59.09,3775.45,22,-18640.00,34.02,0.6085,0.46,0.9615,45.69,5,-13690.00,0.63,0.04,0.19,0.9196,3.05,107410.00,44080.00,63330.00,-24350.00,-13600.00,-10750.00,13,9,5,3,23310.00,-5010.00,8262.31,-2705.56,130,30,4.41
7,49,4.5,82700.00,262.53,449.78,8607.21,11610.00,74.14,59.09,3759.09,22,-18640.00,33.84,0.6057,0.46,0.9613,45.65,5,-13762.00,0.63,0.04,0.19,0.9156,3.04,107050.00,44080.00,62970.00,-24350.00,-13600.00,-10750.00,13,9,5,3,23310.00,-5010.00,8234.62,-2705.56,130,30,4.40
8,50,4.6,81940.00,260.98,444.79,8528.12,11610.00,73.45,59.09,3724.55,22,-19000.00,33.63,0.5980,0.45,0.9611,45.79,5,-13762.00,0.62,0.04,0.19,0.9019,3.07,105750.00,43180.00,62570.00,-23810.00,-12880.00,-10930.00,13,9,5,3,23310.00,-5010.00,8134.62,-2645.56,130,29,4.44
9,49,4.6,81580.00,260.98,441.69,8490.65,11610.00,73.13,59.09,3708.18,22,-19000.00,33.45,0.5952,0.45,0.9608,45.74,5,-13834.00,0.61,0.04,0.19,0.8978,3.06,105390.00,43180.00,62210.00,-23810.00,-12880.00,-10930.00,13,9,5,3,23310.00,-5010.00,8106.92,-2645.56,130,29,4.43
10,52,4.5,81340.00,272.35,428.25,8465.67,11610.00,72.92,59.09,3697.27,22,-18640.00,32.78,0.6045,0.45,0.9567,44.96,5,-13942.00,0.61,0.04,0.19,0.9204,2.89,106910.00,45220.00,61690.00,-25570.00,-13600.00,-11970.00,13,9,5,3,23310.00,-5010.00,8223.85,-2841.11,128,29,4.18
