#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2,4.4,105220.00,304.57,601.72,10951.04,11610.00,94.32,58.04,939.46,112,-16980.00,29.20,0.6955,0.64,0.9732,30.96,5,-11774.00,0.93,0.04,0.17,1.1280,1.55,197270.00,89400.00,107870.00,-92050.00,-54040.00,-38010.00,65,47,7,5,10870.00,-5090.00,3034.92,-1958.51,23,15,2.14
2,2,4.3,89250.00,235.75,532.99,9288.92,11610.00,80.01,56.64,789.82,113,-17890.00,21.35,0.6345,0.52,0.9483,26.69,5,-11956.00,0.78,0.04,0.18,0.9971,1.45,189420.00,85160.00,104260.00,-100170.00,-57790.00,-42380.00,64,49,7,5,10870.00,-5090.00,2959.69,-2044.29,23,15,1.89
3,2,4.2,85500.00,219.55,516.88,8898.63,11610.00,76.65,56.25,763.39,112,-17890.00,19.40,0.5325,0.50,0.9606,25.32,5,-13164.00,0.68,0.04,0.18,0.8615,1.41,189970.00,86290.00,103680.00,-104470.00,-60800.00,-43670.00,63,49,7,5,10870.00,-5090.00,3015.40,-2132.04,24,15,1.82
4,11,7.5,79220.00,188.29,494.06,8245.02,11610.00,71.02,63.75,990.25,80,-26680.00,22.08,0.5202,0.31,0.9623,31.09,5,-14848.00,0.56,0.04,0.27,0.8997,1.11,162430.00,62960.00,99470.00,-83210.00,-41100.00,-42110.00,51,29,6,4,11310.00,-10350.00,3184.90,-2869.31,28,23,1.95
5,3,4.9,75220.00,201.64,446.25,7828.71,11610.00,67.43,55.88,737.45,102,-22510.00,15.75,0.4618,0.35,0.9098,23.35,5,-14616.00,0.54,0.04,0.22,0.7224,1.36,179990.00,72450.00,107540.00,-104770.00,-49040.00,-55730.00,57,45,6,4,10090.00,-8910.00,3157.72,-2328.22,25,17,1.72
6,4,6,71860.00,161.50,457.45,7479.01,11610.00,64.42,53.13,748.54,96,-22040.00,14.44,0.3864,0.34,0.6605,22.42,5,-14546.00,0.51,0.04,0.22,0.5617,1.53,170250.00,73780.00,96470.00,-98390.00,-55030.00,-43360.00,51,45,6,3,9730.00,-9170.00,3338.24,-2186.44,26,20,1.73
7,4,2.3,70840.00,146.17,464.00,7372.85,11610.00,63.50,51.97,466.05,152,-24110.00,11.42,0.3325,0.31,0.7671,17.98,5,-15986.00,0.46,0.04,0.24,0.6499,1.41,204790.00,103780.00,101010.00,-133950.00,-86810.00,-47140.00,79,73,8,8,10950.00,-5110.00,2592.28,-1834.93,18,10,1.53
8,4,6.1,70020.00,153.57,449.53,7287.51,11610.00,62.77,53.13,729.38,96,-23120.00,13.74,0.3750,0.32,0.6374,21.90,5,-14762.00,0.49,0.04,0.23,0.5343,1.50,169890.00,73400.00,96490.00,-99870.00,-55570.00,-44300.00,51,45,6,3,9730.00,-9170.00,3331.18,-2219.33,26,20,1.70
9,2,4.5,69920.00,152.97,449.27,7277.10,11610.00,62.68,50.91,635.64,110,-31760.00,12.33,0.4110,0.23,0.6979,19.68,5,-14154.00,0.51,0.04,0.31,0.5789,1.57,180900.00,75140.00,105760.00,-110980.00,-57380.00,-53600.00,56,54,5,5,10870.00,-5050.00,3230.36,-2055.19,24,16,1.63
10,11,7.6,68140.00,162.45,424.46,7091.84,11610.00,61.08,59.76,830.98,82,-26680.00,15.63,0.4437,0.27,0.9448,25.59,5,-15188.00,0.47,0.04,0.27,0.7524,1.18,159130.00,64170.00,94960.00,-90990.00,-45310.00,-45680.00,49,33,6,4,11310.00,-10350.00,3247.55,-2757.27,28,22,1.75
