#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,23,5.3,63410.00,568.04,695.36,7244.02,5019.00,144.33,61.11,3522.78,18,-8900.00,74.73,1.2160,0.81,0.9119,51.78,5,-7078.00,1.02,0.03,0.09,1.0262,4.17,74840.00,34680.00,40160.00,-11430.00,-6170.00,-5260.00,11,7,3,1,21910.00,-3260.00,6803.64,-1632.86,162,33,6.55
2,24,5.3,63410.00,568.04,695.36,7244.02,5019.00,144.33,61.11,3522.78,18,-8900.00,74.73,1.2160,0.81,0.9119,51.78,5,-7078.00,1.02,0.03,0.09,1.0262,4.17,74840.00,34680.00,40160.00,-11430.00,-6170.00,-5260.00,11,7,3,1,21910.00,-3260.00,6803.64,-1632.86,162,33,6.55
3,25,5.3,62810.00,556.09,695.36,7175.48,5019.00,142.97,61.11,3489.44,18,-8900.00,73.92,1.2042,0.81,0.9084,51.70,5,-7078.00,1.01,0.03,0.09,1.0198,4.13,74240.00,34080.00,40160.00,-11430.00,-6170.00,-5260.00,11,7,3,1,21910.00,-3260.00,6749.09,-1632.86,162,33,6.50
4,26,5.3,62380.00,537.76,705.12,7126.35,5019.00,141.99,61.11,3465.56,18,-8410.00,73.82,1.2194,0.85,0.9024,51.99,5,-6980.00,1.02,0.03,0.08,1.0292,4.26,73320.00,33160.00,40160.00,-10940.00,-6170.00,-4770.00,11,7,3,1,21910.00,-2770.00,6665.45,-1562.86,161,33,6.70
5,23,5.4,61850.00,552.50,679.82,7065.81,5019.00,140.78,61.11,3436.11,18,-8900.00,72.26,1.1704,0.79,0.9167,51.33,5,-7198.00,0.98,0.03,0.09,0.9892,3.97,73640.00,33920.00,39720.00,-11790.00,-6190.00,-5600.00,11,7,3,1,21490.00,-3260.00,6694.55,-1684.29,162,33,6.25
6,23,5.5,61850.00,552.50,679.82,7065.81,5019.00,140.78,61.11,3436.11,18,-8900.00,72.26,1.1704,0.79,0.9167,51.33,5,-7198.00,0.98,0.03,0.09,0.9892,3.97,73640.00,33920.00,39720.00,-11790.00,-6190.00,-5600.00,11,7,3,1,21490.00,-3260.00,6694.55,-1684.29,162,33,6.25
7,24,5.4,61850.00,552.50,679.82,7065.81,5019.00,140.78,61.11,3436.11,18,-8900.00,72.26,1.1704,0.79,0.9167,51.33,5,-7198.00,0.98,0.03,0.09,0.9892,3.97,73640.00,33920.00,39720.00,-11790.00,-6190.00,-5600.00,11,7,3,1,21490.00,-3260.00,6694.55,-1684.29,162,33,6.25
8,24,5.5,61850.00,552.50,679.82,7065.81,5019.00,140.78,61.11,3436.11,18,-8900.00,72.26,1.1704,0.79,0.9167,51.33,5,-7198.00,0.98,0.03,0.09,0.9892,3.97,73640.00,33920.00,39720.00,-11790.00,-6190.00,-5600.00,11,7,3,1,21490.00,-3260.00,6694.55,-1684.29,162,33,6.25
9,27,5.3,61480.00,537.76,687.19,7023.54,5019.00,139.94,61.11,3415.56,18,-9310.00,71.71,1.1795,0.75,0.9078,51.24,5,-7160.00,0.98,0.03,0.09,0.9971,3.94,73320.00,33160.00,40160.00,-11840.00,-6170.00,-5670.00,11,7,3,1,21910.00,-3670.00,6665.45,-1691.43,161,33,6.19
10,28,5.3,61480.00,537.76,687.19,7023.54,5019.00,139.94,61.11,3415.56,18,-9310.00,71.71,1.1795,0.75,0.9078,51.24,5,-7160.00,0.98,0.03,0.09,0.9971,3.94,73320.00,33160.00,40160.00,-11840.00,-6170.00,-5670.00,11,7,3,1,21910.00,-3670.00,6665.45,-1691.43,161,33,6.19
