#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,7,1.7,496620.00,250.96,682.54,52102.99,53200.00,97.94,44.36,3733.98,133,-111380.00,20.89,0.6116,0.47,0.7263,21.33,5,-73846.00,0.71,0.20,1.09,0.7864,2.42,1032610.00,307680.00,724930.00,-535990.00,-174170.00,-361820.00,59,74,6,9,94190.00,-31010.00,17501.86,-7243.11,24,10,1.93
2,6,1.7,483980.00,271.75,637.99,50776.86,53200.00,95.45,43.94,3666.52,132,-110640.00,20.10,0.6164,0.46,0.7625,21.06,5,-72208.00,0.70,0.20,1.09,0.7868,2.45,1009770.00,307680.00,702090.00,-525790.00,-163110.00,-362680.00,58,74,6,8,84740.00,-31010.00,17409.83,-7105.27,25,10,1.92
3,4,1.7,438940.00,254.08,571.00,46051.48,53200.00,86.56,44.85,3227.50,136,-110640.00,17.44,0.5737,0.42,0.6685,20.15,5,-73422.00,0.63,0.20,1.09,0.6321,2.23,977140.00,319600.00,657540.00,-538200.00,-184430.00,-353770.00,61,75,6,8,67990.00,-31010.00,16018.69,-7176.00,23,10,1.82
4,5,1.7,438940.00,254.08,571.00,46051.48,53200.00,86.56,44.85,3227.50,136,-110640.00,17.44,0.5737,0.42,0.6685,20.15,5,-73422.00,0.63,0.20,1.09,0.6321,2.23,977140.00,319600.00,657540.00,-538200.00,-184430.00,-353770.00,61,75,6,8,67990.00,-31010.00,16018.69,-7176.00,23,10,1.82
5,4,0.1,430330.00,354.27,454.62,45148.16,53200.00,84.86,42.57,608.67,707,-94720.00,9.18,0.6957,0.48,0.9559,10.81,5,-55788.00,0.81,0.30,0.93,1.0759,1.81,1694190.00,870330.00,823860.00,-1263860.00,-681860.00,-582000.00,301,406,6,14,50340.00,-24810.00,5628.54,-3112.96,3,1,1.34
6,37,2.4,399260.00,365.43,385.06,41888.44,53200.00,78.74,48.15,7393.70,54,-78040.00,23.88,0.5355,0.54,0.9248,30.33,5,-56750.00,0.74,0.20,0.75,1.0436,2.91,633890.00,281710.00,352180.00,-234630.00,-87300.00,-147330.00,26,28,6,5,72190.00,-26610.00,24380.38,-8379.64,44,16,2.70
7,38,2.4,397110.00,359.70,386.75,41662.88,53200.00,78.31,48.15,7353.89,54,-78040.00,23.74,0.5318,0.53,0.9239,30.31,5,-56750.00,0.73,0.20,0.75,1.0399,2.91,630840.00,278660.00,352180.00,-233730.00,-87300.00,-146430.00,26,28,6,5,72190.00,-26610.00,24263.08,-8347.50,44,16,2.70
8,2,1.7,394430.00,222.03,519.38,41381.70,53200.00,77.79,43.07,2879.05,137,-154420.00,13.82,0.5001,0.27,0.5307,17.77,5,-82324.00,0.50,0.20,1.47,0.5107,2.25,955810.00,309860.00,645950.00,-561380.00,-191740.00,-369640.00,59,78,6,8,67990.00,-31010.00,16200.17,-7197.18,24,10,1.70
9,3,1.7,394430.00,222.03,519.38,41381.70,53200.00,77.79,43.07,2879.05,137,-154420.00,13.82,0.5001,0.27,0.5307,17.77,5,-82324.00,0.50,0.20,1.47,0.5107,2.25,955810.00,309860.00,645950.00,-561380.00,-191740.00,-369640.00,59,78,6,8,67990.00,-31010.00,16200.17,-7197.18,24,10,1.70
10,37,2.6,376470.00,234.79,472.86,39497.43,53200.00,74.24,45.28,7103.21,53,-89240.00,20.34,0.4925,0.44,0.8796,27.40,5,-60924.00,0.65,0.20,0.86,0.9386,3.06,622160.00,235280.00,386880.00,-245690.00,-110370.00,-135320.00,24,29,5,5,72190.00,-31660.00,25923.33,-8472.07,50,18,2.53
