#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,38,3.7,376950.00,206.64,501.92,39547.79,53200.00,74.34,54.29,10770.00,35,-87730.00,27.64,0.6108,0.45,0.9673,37.18,5,-58970.00,0.67,0.20,0.87,0.8223,2.67,550360.00,210910.00,339450.00,-173410.00,-100980.00,-72430.00,19,16,3,3,85090.00,-28960.00,28966.32,-10838.13,85,20,3.17
2,39,3.7,376260.00,217.09,490.17,39475.40,53200.00,74.20,55.88,11066.47,34,-87730.00,28.85,0.5953,0.45,0.9641,38.89,5,-59640.00,0.66,0.20,0.87,0.8614,2.60,540710.00,202710.00,338000.00,-164450.00,-87220.00,-77230.00,19,15,3,3,85090.00,-28960.00,28458.42,-10963.33,85,20,3.29
3,56,3.7,373580.00,271.77,430.45,39194.22,53200.00,73.67,55.56,13836.30,27,-100520.00,33.41,0.5416,0.39,0.9480,45.35,5,-52006.00,0.75,0.20,0.99,0.9328,4.35,457650.00,178640.00,279010.00,-84070.00,-34060.00,-50010.00,15,12,2,3,85090.00,-17160.00,30510.00,-7005.83,86,34,5.44
4,38,4.4,372690.00,158.50,542.05,39100.85,53200.00,73.50,57.69,14334.23,26,-97520.00,32.34,0.5574,0.40,0.9649,44.00,5,-59798.00,0.65,0.24,0.96,0.8409,3.09,488650.00,154040.00,334610.00,-115960.00,-69720.00,-46240.00,15,11,3,2,80090.00,-25510.00,32576.67,-10541.82,110,45,4.21
5,42,4.4,372240.00,168.27,531.43,39053.64,53200.00,73.41,57.69,14316.92,26,-97520.00,32.09,0.5552,0.40,0.9636,43.72,5,-59808.00,0.65,0.24,0.96,0.8395,3.03,491200.00,159240.00,331960.00,-118960.00,-69720.00,-49240.00,15,11,3,2,80090.00,-25510.00,32746.67,-10814.55,107,44,4.13
6,39,4.4,371240.00,158.50,539.32,38948.72,53200.00,73.21,57.69,14278.46,26,-97520.00,32.18,0.5537,0.40,0.9639,43.96,5,-59798.00,0.65,0.24,0.96,0.8369,3.08,487200.00,154040.00,333160.00,-115960.00,-69720.00,-46240.00,15,11,3,2,80090.00,-25510.00,32480.00,-10541.82,109,45,4.20
7,55,3.7,370820.00,271.77,425.26,38904.66,53200.00,73.13,57.14,13243.57,28,-97720.00,33.15,0.5260,0.40,0.9509,45.34,5,-53060.00,0.73,0.20,0.96,0.8978,3.63,467390.00,178640.00,288750.00,-96570.00,-34060.00,-62510.00,16,12,2,3,85090.00,-17160.00,29211.88,-8047.50,85,29,4.84
8,39,3.8,370420.00,230.17,466.11,38862.69,53200.00,73.05,57.58,11224.85,33,-87730.00,29.95,0.5838,0.44,0.9551,41.00,5,-61608.00,0.63,0.20,0.87,0.8621,2.56,520210.00,193760.00,326450.00,-149790.00,-71310.00,-78480.00,19,14,3,3,85090.00,-28960.00,27379.47,-10699.29,87,22,3.47
9,40,4.4,370040.00,158.50,537.07,38822.82,53200.00,72.98,57.69,14232.31,26,-97520.00,32.06,0.5506,0.40,0.9631,43.93,5,-59798.00,0.65,0.24,0.96,0.8352,3.07,486000.00,154040.00,331960.00,-115960.00,-69720.00,-46240.00,15,11,3,2,80090.00,-25510.00,32400.00,-10541.82,108,45,4.19
10,43,4.4,369990.00,164.04,531.43,38817.58,53200.00,72.97,57.69,14230.38,26,-97520.00,31.85,0.5512,0.40,0.9633,43.66,5,-59808.00,0.65,0.24,0.96,0.8359,3.01,488950.00,156990.00,331960.00,-118960.00,-69720.00,-49240.00,15,11,3,2,80090.00,-25510.00,32596.67,-10814.55,107,44,4.11
