#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,23,3.3,87770.00,6984.10,53.85,1687.88,52,-15680.00,20.38,0.5400,0.45,0.8736,1070.44,5,-10374.00,0.67,0.01,0.03,0.8044,2.80,126410.00,-38640.00,28,24,9,6,13670.00,-3980.00,4514.64,-1610.00,73,30,3.27
2,24,3.3,87680.00,6976.93,53.85,1686.15,52,-15680.00,20.92,0.5410,0.44,0.8712,1066.42,5,-10214.00,0.68,0.01,0.03,0.8085,2.84,125520.00,-37840.00,28,24,9,6,13670.00,-3980.00,4482.86,-1576.67,73,30,3.32
3,23,3.4,87410.00,6955.45,53.85,1680.96,52,-15630.00,20.02,0.5355,0.45,0.8729,1072.02,5,-10490.00,0.66,0.01,0.03,0.7966,2.78,126420.00,-39010.00,28,24,9,6,13670.00,-3980.00,4515.00,-1625.42,74,30,3.24
4,24,3.4,87320.00,6948.29,53.85,1679.23,52,-15630.00,20.54,0.5364,0.44,0.8705,1068.02,5,-10330.00,0.67,0.01,0.03,0.8006,2.82,125530.00,-38210.00,28,24,9,6,13670.00,-3980.00,4483.21,-1592.08,74,30,3.29
5,25,3.3,82470.00,6562.36,53.85,1585.96,52,-15730.00,17.28,0.5347,0.42,0.8701,995.39,5,-10912.00,0.60,0.01,0.03,0.7696,2.58,123610.00,-41140.00,28,24,9,6,13670.00,-5280.00,4414.64,-1714.17,73,29,3.00
6,25,3.4,82110.00,6533.71,53.85,1579.04,52,-15680.00,16.98,0.5302,0.42,0.8695,996.70,5,-10792.00,0.61,0.01,0.03,0.7618,2.55,123620.00,-41510.00,28,24,9,6,13670.00,-5280.00,4415.00,-1729.58,74,29,2.98
7,26,3.3,75210.00,5984.66,51.85,1392.78,54,-15730.00,13.73,0.4730,0.38,0.8757,916.16,5,-11638.00,0.51,0.01,0.03,0.7006,2.45,121070.00,-45860.00,28,26,9,6,11970.00,-5280.00,4323.93,-1763.85,72,27,2.64
8,6,1.4,74810.00,5952.83,41.51,352.88,212,-15610.00,9.06,0.4174,0.38,0.8388,955.32,5,-12616.00,0.47,0.01,0.03,0.6843,2.14,219580.00,-144770.00,88,124,5,7,9650.00,-4370.00,2495.23,-1167.50,21,8,1.52
9,26,3.4,74150.00,5900.32,51.85,1373.15,54,-15680.00,13.18,0.4622,0.38,0.8757,909.05,5,-11684.00,0.50,0.01,0.03,0.6861,2.41,120730.00,-46580.00,28,26,9,6,11620.00,-5280.00,4311.79,-1791.54,73,27,2.59
10,3,2.8,72430.00,5763.45,52.50,905.38,80,-24370.00,9.79,0.4488,0.24,0.9180,396.06,5,-13720.00,0.42,0.01,0.05,0.6317,1.80,145780.00,-73350.00,42,38,6,4,14940.00,-4690.00,3470.95,-1930.26,54,18,1.99
11,4,2.8,72430.00,5763.45,52.50,905.38,80,-24370.00,9.79,0.4488,0.24,0.9180,396.06,5,-13720.00,0.42,0.01,0.05,0.6317,1.80,145780.00,-73350.00,42,38,6,4,14940.00,-4690.00,3470.95,-1930.26,54,18,1.99
12,5,2.8,72430.00,5763.45,52.50,905.38,80,-24370.00,9.79,0.4488,0.24,0.9180,396.06,5,-13720.00,0.42,0.01,0.05,0.6317,1.80,145780.00,-73350.00,42,38,6,4,14940.00,-4690.00,3470.95,-1930.26,54,18,1.99
13,6,2.8,72430.00,5763.45,52.50,905.38,80,-24370.00,9.79,0.4488,0.24,0.9180,396.06,5,-13720.00,0.42,0.01,0.05,0.6317,1.80,145780.00,-73350.00,42,38,6,4,14940.00,-4690.00,3470.95,-1930.26,54,18,1.99
14,7,2.8,71760.00,5710.14,52.50,897.00,80,-24370.00,9.52,0.4439,0.23,0.9187,392.68,5,-13720.00,0.42,0.01,0.05,0.6262,1.78,145780.00,-74020.00,42,38,6,4,14940.00,-4690.00,3470.95,-1947.89,54,18,1.97
15,24,3.6,71740.00,5708.55,50.91,1304.36,55,-16050.00,11.98,0.4826,0.36,0.8412,807.54,5,-11116.00,0.51,0.01,0.03,0.6489,2.38,120660.00,-48920.00,28,27,9,4,13670.00,-3980.00,4309.29,-1811.85,74,27,2.47
16,23,3.6,71450.00,5685.47,50.91,1299.09,55,-16050.00,11.65,0.4805,0.35,0.8432,806.10,5,-11116.00,0.51,0.01,0.03,0.6421,2.35,121170.00,-49720.00,28,27,9,4,13670.00,-3980.00,4327.50,-1841.48,75,27,2.44
17,24,3.1,70110.00,5578.84,48.28,1208.79,58,-16540.00,10.63,0.4051,0.34,0.8857,785.14,5,-12494.00,0.45,0.01,0.03,0.6384,2.46,124090.00,-53980.00,28,30,6,6,13670.00,-4150.00,4431.79,-1799.33,69,26,2.30
18,24,3.8,70070.00,5575.66,55.77,1347.50,52,-15780.00,14.45,0.5131,0.35,0.9078,875.40,5,-10106.00,0.55,0.01,0.03,0.6521,2.19,109770.00,-39700.00,29,23,9,4,13670.00,-5940.00,3785.17,-1726.09,71,34,2.76
19,24,3.7,70020.00,5571.68,50.94,1321.13,53,-17820.00,12.13,0.4836,0.31,0.8487,643.21,5,-11790.00,0.47,0.01,0.04,0.6383,2.43,116110.00,-46090.00,27,26,9,4,13670.00,-5120.00,4300.37,-1772.69,75,31,2.52
20,23,3.8,69780.00,5552.58,55.77,1341.92,52,-15780.00,13.98,0.5112,0.35,0.9093,873.29,5,-10266.00,0.54,0.01,0.03,0.6455,2.16,110280.00,-40500.00,29,23,9,4,13670.00,-5940.00,3802.76,-1760.87,71,34,2.72
21,23,3.7,69730.00,5548.60,50.94,1315.66,53,-17820.00,11.78,0.4816,0.31,0.8505,641.85,5,-11790.00,0.47,0.01,0.04,0.6315,2.39,116620.00,-46890.00,27,26,9,4,13670.00,-5120.00,4319.26,-1803.46,75,31,2.49
22,26,3.8,69730.00,5548.60,53.85,1340.96,52,-14340.00,14.44,0.5193,0.39,0.9030,1049.33,5,-9904.00,0.56,0.01,0.03,0.6550,2.36,109470.00,-39740.00,28,24,9,4,13670.00,-6470.00,3909.64,-1655.83,71,35,2.75
23,25,3.1,69500.00,5530.30,48.28,1198.28,58,-16540.00,10.22,0.4031,0.33,0.8862,778.69,5,-12298.00,0.45,0.01,0.03,0.6391,2.43,124480.00,-54980.00,28,30,6,6,13670.00,-4280.00,4445.71,-1832.67,69,25,2.26
24,8,1.5,68930.00,5484.95,44.55,341.24,202,-23620.00,7.52,0.3946,0.23,0.8066,369.12,5,-13470.00,0.41,0.01,0.05,0.6440,1.83,215390.00,-146460.00,90,112,5,7,9190.00,-7320.00,2393.22,-1307.68,21,8,1.47
