#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,20,2.1,99040.00,912.83,939.77,8495.79,5346.00,158.92,49.47,1042.53,95,-7400.00,55.48,0.9032,1.15,0.8971,34.91,102,-1412.94,6.01,0.04,0.07,1.5031,3.47,140350.00,67790.00,72560.00,-41310.00,-18990.00,-22320.00,47,48,7,5,16160.00,-2770.00,2986.17,-860.63,34,12,3.40
2,23,1.9,98070.00,875.42,959.03,8412.59,5346.00,157.36,52.48,970.99,101,-7400.00,58.93,0.9622,1.14,0.9038,37.45,108,-1345.00,6.25,0.04,0.07,1.5597,3.16,137410.00,63230.00,74180.00,-39340.00,-16430.00,-22910.00,53,48,13,4,14290.00,-1960.00,2592.64,-819.58,28,11,3.49
3,20,2,97070.00,908.53,907.22,8326.80,5346.00,155.76,51.49,961.09,101,-8210.00,55.34,0.8968,1.01,0.9403,35.53,107,-1401.21,5.94,0.04,0.08,1.4954,3.04,140670.00,67520.00,73150.00,-43600.00,-18950.00,-24650.00,52,49,10,4,16220.00,-2510.00,2705.19,-889.80,31,11,3.23
4,23,2,96780.00,865.69,944.63,8301.93,5346.00,155.29,52.04,987.55,98,-7400.00,56.68,0.9209,1.12,0.8652,36.50,104,-1379.04,6.02,0.04,0.07,1.5162,3.09,138000.00,63490.00,74510.00,-41220.00,-17210.00,-24010.00,51,47,12,4,16320.00,-2170.00,2705.88,-877.02,30,12,3.35
5,23,1.8,95470.00,888.89,896.93,8189.55,5346.00,153.19,50.00,900.66,106,-7410.00,52.94,0.9460,1.11,0.8733,34.56,100,-1389.40,5.89,0.04,0.07,1.5541,3.24,138120.00,67450.00,70670.00,-42650.00,-19930.00,-22720.00,53,53,14,5,11050.00,-1960.00,2606.04,-804.72,26,11,3.24
6,20,1.8,94400.00,898.80,867.00,8097.77,5346.00,151.47,52.29,866.06,109,-9130.00,53.90,0.8866,0.89,0.9263,35.58,107,-1360.00,5.95,0.04,0.09,1.5110,2.85,138740.00,68710.00,70030.00,-44340.00,-20660.00,-23680.00,57,52,12,8,11050.00,-2510.00,2434.04,-852.69,26,9,3.13
7,19,1.8,93680.00,932.85,819.49,8036.00,5346.00,150.32,54.13,859.45,109,-14570.00,52.10,0.8993,0.55,0.9513,34.66,105,-1357.71,5.92,0.04,0.15,1.4867,2.36,146300.00,67120.00,79180.00,-52620.00,-17250.00,-35370.00,59,50,11,8,11050.00,-4510.00,2479.66,-1052.40,28,9,2.78
8,20,2.2,92450.00,841.75,887.58,7930.49,5346.00,148.34,48.39,994.09,93,-8270.00,48.05,0.8081,0.96,0.8663,32.39,97,-1473.81,5.38,0.04,0.08,1.3582,3.23,138100.00,65080.00,73020.00,-45650.00,-20080.00,-25570.00,45,48,7,5,16160.00,-3450.00,3068.89,-951.04,36,13,3.03
9,23,2.1,91230.00,797.04,909.47,7825.84,5346.00,146.39,49.46,980.97,93,-8830.00,49.14,0.8537,0.89,0.8253,33.57,92,-1419.67,5.51,0.04,0.09,1.4091,3.18,134430.00,63280.00,71150.00,-43200.00,-20670.00,-22530.00,46,47,7,5,16160.00,-2970.00,2922.39,-919.15,33,13,3.11
10,22,1.9,90740.00,812.57,884.77,7783.81,5346.00,145.60,49.04,872.50,104,-9750.00,47.31,0.8641,0.80,0.9294,32.49,100,-1394.50,5.58,0.04,0.10,1.4007,3.08,136950.00,60840.00,76110.00,-46210.00,-17400.00,-28810.00,51,53,11,8,14290.00,-2160.00,2685.29,-871.89,29,11,2.96
