#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,9,3.4,42830.00,314.82,512.41,4649.90,5177.50,89.81,54.76,1019.76,42,-11330.00,32.61,0.5756,0.41,0.9209,36.31,5,-6571.00,0.71,0.02,0.11,0.9899,2.45,64595.00,25420.00,39175.00,-21765.00,-9120.00,-12645.00,23,19,5,4,11240.00,-3160.00,2808.48,-1145.53,69,30,2.97
2,7,0.8,42450.00,356.54,463.35,4608.64,5177.50,89.01,44.80,169.80,250,-8520.00,15.41,0.4404,0.54,0.8104,17.31,5,-5626.00,0.82,0.02,0.08,1.0145,2.01,109855.00,56880.00,52975.00,-67405.00,-38420.00,-28985.00,112,138,5,7,10840.00,-1460.00,980.85,-488.44,11,4,1.63
3,37,3.9,41510.00,304.68,497.05,4506.59,5177.50,87.04,62.07,1431.38,29,-7285.00,42.99,0.5732,0.62,0.9613,49.39,5,-5678.00,0.79,0.02,0.07,1.0186,2.99,52170.00,18525.00,33645.00,-10660.00,-2750.00,-7910.00,18,11,6,3,9640.00,-2360.00,2898.33,-969.09,82,42,4.89
4,38,3.9,41260.00,308.55,488.36,4479.45,5177.50,86.52,62.07,1422.76,29,-7285.00,42.84,0.5662,0.61,0.9608,49.52,5,-5718.00,0.78,0.02,0.07,1.0088,3.02,51720.00,18525.00,33195.00,-10460.00,-2550.00,-7910.00,18,11,6,3,9640.00,-2360.00,2873.33,-950.91,82,42,4.94
5,37,4.2,41225.00,343.31,452.92,4475.65,5177.50,86.44,72.00,1649.00,25,-7285.00,51.42,0.6100,0.61,0.9496,59.49,5,-5542.00,0.81,0.02,0.07,1.0440,2.24,49895.00,21390.00,28505.00,-8670.00,-3615.00,-5055.00,18,7,6,2,10015.00,-2360.00,2771.94,-1238.57,88,58,5.75
6,10,3.5,40980.00,287.30,504.20,4449.05,5177.50,85.93,52.38,975.71,42,-11330.00,29.40,0.5617,0.39,0.9250,34.22,5,-6641.00,0.67,0.02,0.11,0.9475,2.62,62730.00,24205.00,38525.00,-21750.00,-9330.00,-12420.00,22,20,5,4,11240.00,-3160.00,2851.36,-1087.50,69,32,2.88
7,11,3.5,40980.00,287.30,504.20,4449.05,5177.50,85.93,52.38,975.71,42,-11330.00,29.40,0.5617,0.39,0.9250,34.22,5,-6641.00,0.67,0.02,0.11,0.9475,2.62,62730.00,24205.00,38525.00,-21750.00,-9330.00,-12420.00,22,20,5,4,11240.00,-3160.00,2851.36,-1087.50,69,32,2.88
8,12,3.5,40980.00,287.30,504.20,4449.05,5177.50,85.93,52.38,975.71,42,-11330.00,29.40,0.5617,0.39,0.9250,34.22,5,-6641.00,0.67,0.02,0.11,0.9475,2.62,62730.00,24205.00,38525.00,-21750.00,-9330.00,-12420.00,22,20,5,4,11240.00,-3160.00,2851.36,-1087.50,69,32,2.88
9,38,4.2,40975.00,347.18,444.23,4448.51,5177.50,85.92,72.00,1639.00,25,-7285.00,51.27,0.6029,0.61,0.9502,59.67,5,-5542.00,0.80,0.02,0.07,1.0343,2.27,49445.00,21390.00,28055.00,-8470.00,-3415.00,-5055.00,18,7,6,2,10015.00,-2360.00,2746.94,-1210.00,88,58,5.84
10,7,0.5,40165.00,310.48,465.28,4360.57,5177.50,84.22,43.75,119.54,336,-6260.00,13.27,0.4832,0.70,0.7220,15.75,5,-5341.00,0.82,0.02,0.06,1.1270,2.01,111555.00,55425.00,56130.00,-71390.00,-39350.00,-32040.00,147,189,7,11,6190.00,-1485.00,758.88,-377.72,6,2,1.56
