#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,15,2.9,29110.00,180.11,382.13,3160.37,5177.50,61.04,38.98,493.39,59,-11720.00,12.17,0.3885,0.27,0.5146,19.95,5,-6049.00,0.52,0.02,0.12,0.7732,3.21,56895.00,27395.00,29500.00,-27785.00,-18070.00,-9715.00,23,36,4,6,10965.00,-2460.00,2473.70,-771.81,56,22,2.05
2,16,2.7,28825.00,162.63,394.11,3129.42,5177.50,60.44,41.54,443.46,65,-10570.00,12.66,0.3556,0.30,0.5462,20.95,5,-6664.00,0.47,0.02,0.11,0.7436,2.84,57155.00,26375.00,30780.00,-28330.00,-17955.00,-10375.00,27,38,4,5,7690.00,-2460.00,2116.85,-745.53,48,19,2.02
3,14,2.9,28650.00,181.07,372.28,3110.43,5177.50,60.08,41.67,477.50,60,-10620.00,12.38,0.4121,0.29,0.5425,20.60,5,-6301.00,0.49,0.02,0.11,0.7767,2.77,57950.00,27395.00,30555.00,-29300.00,-18020.00,-11280.00,25,35,4,5,10965.00,-2460.00,2318.00,-837.14,55,20,1.98
4,16,2.6,28645.00,143.89,409.37,3109.88,5177.50,60.07,42.65,421.25,68,-10570.00,12.33,0.3437,0.29,0.5292,20.52,5,-6300.00,0.49,0.02,0.11,0.7477,2.59,59535.00,26855.00,32680.00,-30890.00,-19405.00,-11485.00,29,39,3,5,8765.00,-2460.00,2052.93,-792.05,44,18,1.93
5,13,2.9,28550.00,179.14,372.28,3099.57,5177.50,59.87,41.67,475.83,60,-10620.00,12.31,0.4118,0.29,0.5422,20.56,5,-6401.00,0.48,0.02,0.11,0.7743,2.76,57850.00,27295.00,30555.00,-29300.00,-18020.00,-11280.00,25,35,4,5,10965.00,-2460.00,2314.00,-837.14,55,20,1.97
6,16,2.9,28260.00,179.14,366.68,3068.08,5177.50,59.26,38.98,478.98,59,-11720.00,11.55,0.3993,0.26,0.5311,19.48,5,-6386.00,0.48,0.02,0.12,0.7685,3.13,56545.00,27295.00,29250.00,-28285.00,-18020.00,-10265.00,23,36,4,6,10965.00,-2460.00,2458.48,-785.69,56,21,2.00
7,16,2.8,28115.00,161.56,381.46,3052.34,5177.50,58.95,39.34,460.90,61,-10920.00,11.59,0.4065,0.28,0.5094,19.65,5,-6196.00,0.49,0.02,0.11,0.7840,3.08,56285.00,26720.00,29565.00,-28170.00,-18355.00,-9815.00,24,37,4,5,11415.00,-2460.00,2345.21,-761.35,53,20,2.00
8,17,2.6,27930.00,131.34,408.11,3032.26,5177.50,58.57,43.28,416.87,67,-10570.00,12.26,0.3543,0.29,0.5600,20.94,5,-6522.00,0.46,0.02,0.11,0.7461,2.54,57735.00,26605.00,31130.00,-29805.00,-19805.00,-10000.00,29,38,3,5,8765.00,-2460.00,1990.86,-784.34,43,18,1.94
9,20,2.6,27485.00,142.64,388.22,2983.95,5177.50,57.63,45.31,429.45,64,-12020.00,12.86,0.4102,0.25,0.6274,22.32,5,-5977.00,0.50,0.02,0.12,0.7914,2.38,55810.00,26080.00,29730.00,-28325.00,-18695.00,-9630.00,29,35,3,5,8765.00,-2410.00,1924.48,-809.29,42,18,1.97
10,17,2.7,26875.00,153.94,365.14,2917.72,5177.50,56.35,41.54,413.46,65,-10570.00,11.36,0.3338,0.28,0.5395,20.17,5,-6849.00,0.43,0.02,0.11,0.6986,2.74,55355.00,26125.00,29230.00,-28480.00,-18155.00,-10325.00,27,38,4,5,7690.00,-2460.00,2050.19,-749.47,47,19,1.94
11,20,2.7,26705.00,163.30,352.49,2899.26,5177.50,56.00,43.55,430.73,62,-12020.00,12.10,0.3953,0.24,0.6153,21.61,5,-6344.00,0.46,0.02,0.12,0.7491,2.57,53805.00,25700.00,28105.00,-27100.00,-17245.00,-9855.00,27,35,4,5,7690.00,-2410.00,1992.78,-774.29,47,19,1.99
12,17,2.9,26560.00,175.28,337.71,2883.52,5177.50,55.69,38.98,450.17,59,-11720.00,10.49,0.3841,0.25,0.5282,18.83,5,-6541.00,0.44,0.02,0.12,0.7334,3.03,54995.00,27295.00,27700.00,-28435.00,-18220.00,-10215.00,23,36,4,6,10965.00,-2460.00,2391.09,-789.86,56,21,1.93
13,21,2.6,26460.00,122.84,388.22,2872.67,5177.50,55.48,45.31,413.44,64,-12020.00,12.04,0.3965,0.24,0.6228,21.71,5,-6017.00,0.48,0.02,0.12,0.7639,2.32,55235.00,25505.00,29730.00,-28775.00,-19145.00,-9630.00,29,35,3,5,8765.00,-2410.00,1904.66,-822.14,42,18,1.92
14,17,2.8,26415.00,157.70,352.49,2867.78,5177.50,55.39,39.34,433.03,61,-10920.00,10.52,0.3914,0.26,0.5058,18.99,5,-6351.00,0.45,0.02,0.11,0.7488,2.98,54735.00,26720.00,28015.00,-28320.00,-18555.00,-9765.00,24,37,4,5,11415.00,-2460.00,2280.63,-765.41,53,20,1.93
15,20,2.9,26170.00,175.76,329.70,2841.18,5177.50,54.88,39.66,451.21,58,-13170.00,10.67,0.4052,0.22,0.5483,19.44,5,-6926.00,0.41,0.02,0.13,0.7547,2.99,53370.00,26870.00,26500.00,-27200.00,-17770.00,-9430.00,23,35,4,6,10965.00,-2410.00,2320.43,-777.14,55,20,1.96
16,2,4.2,26110.00,134.33,369.97,2834.67,5177.50,54.75,55.88,767.94,34,-8405.00,16.51,0.3343,0.34,0.7744,30.16,5,-6823.00,0.42,0.02,0.08,0.6139,1.71,48385.00,23290.00,25095.00,-22275.00,-16335.00,-5940.00,19,15,3,3,9640.00,-2510.00,2546.58,-1485.00,87,34,2.17
17,3,4.2,26110.00,134.33,369.97,2834.67,5177.50,54.75,55.88,767.94,34,-8405.00,16.51,0.3343,0.34,0.7744,30.16,5,-6823.00,0.42,0.02,0.08,0.6139,1.71,48385.00,23290.00,25095.00,-22275.00,-16335.00,-5940.00,19,15,3,3,9640.00,-2510.00,2546.58,-1485.00,87,34,2.17
18,4,4.2,26110.00,134.33,369.97,2834.67,5177.50,54.75,55.88,767.94,34,-8405.00,16.51,0.3343,0.34,0.7744,30.16,5,-6823.00,0.42,0.02,0.08,0.6139,1.71,48385.00,23290.00,25095.00,-22275.00,-16335.00,-5940.00,19,15,3,3,9640.00,-2510.00,2546.58,-1485.00,87,34,2.17
19,5,4.2,26110.00,134.33,369.97,2834.67,5177.50,54.75,55.88,767.94,34,-8405.00,16.51,0.3343,0.34,0.7744,30.16,5,-6823.00,0.42,0.02,0.08,0.6139,1.71,48385.00,23290.00,25095.00,-22275.00,-16335.00,-5940.00,19,15,3,3,9640.00,-2510.00,2546.58,-1485.00,87,34,2.17
20,6,4.2,26110.00,134.33,369.97,2834.67,5177.50,54.75,55.88,767.94,34,-8405.00,16.51,0.3343,0.34,0.7744,30.16,5,-6823.00,0.42,0.02,0.08,0.6139,1.71,48385.00,23290.00,25095.00,-22275.00,-16335.00,-5940.00,19,15,3,3,9640.00,-2510.00,2546.58,-1485.00,87,34,2.17
21,7,4.2,26110.00,134.33,369.97,2834.67,5177.50,54.75,55.88,767.94,34,-8405.00,16.51,0.3343,0.34,0.7744,30.16,5,-6823.00,0.42,0.02,0.08,0.6139,1.71,48385.00,23290.00,25095.00,-22275.00,-16335.00,-5940.00,19,15,3,3,9640.00,-2510.00,2546.58,-1485.00,87,34,2.17
22,8,4.2,26110.00,134.33,369.97,2834.67,5177.50,54.75,55.88,767.94,34,-8405.00,16.51,0.3343,0.34,0.7744,30.16,5,-6823.00,0.42,0.02,0.08,0.6139,1.71,48385.00,23290.00,25095.00,-22275.00,-16335.00,-5940.00,19,15,3,3,9640.00,-2510.00,2546.58,-1485.00,87,34,2.17
23,3,0.8,25920.00,112.99,387.64,2814.04,5177.50,54.35,39.29,84.16,308,-11705.00,4.73,0.2495,0.24,0.4876,8.69,5,-7643.00,0.37,0.02,0.12,0.5254,1.98,117115.00,53710.00,63405.00,-91195.00,-47860.00,-43335.00,121,187,4,9,10840.00,-1660.00,967.89,-487.67,11,4,1.28
24,18,2.9,25870.00,175.28,324.38,2808.61,5177.50,54.25,39.66,446.03,58,-13220.00,10.18,0.3974,0.21,0.5222,18.77,5,-6881.00,0.41,0.02,0.13,0.7472,2.89,54645.00,27295.00,27350.00,-28775.00,-18220.00,-10555.00,23,35,4,6,10965.00,-2460.00,2375.87,-822.14,56,21,1.90
25,20,2.8,25735.00,140.32,356.74,2793.95,5177.50,53.96,40.68,436.19,59,-12370.00,10.53,0.4208,0.23,0.5331,19.51,5,-6736.00,0.41,0.02,0.12,0.7739,2.80,53660.00,26295.00,27365.00,-27925.00,-19030.00,-8895.00,24,35,4,5,11415.00,-2410.00,2235.83,-797.86,53,19,1.92
26,4,0.8,25610.00,175.86,318.78,2780.38,5177.50,53.70,39.80,85.65,299,-10485.00,4.81,0.2150,0.27,0.3925,8.95,5,-8016.00,0.35,0.02,0.10,0.5269,1.95,113860.00,52410.00,61450.00,-88250.00,-43305.00,-44945.00,119,180,4,9,10840.00,-1760.00,956.81,-490.28,11,4,1.29
