#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,76,5.8,98480.00,592.64,158.54,10048.98,13110.00,76.65,58.82,5792.94,17,-34780.00,35.46,0.3829,0.29,0.4952,46.26,5,-21320.00,0.47,0.07,0.35,0.7061,3.28,125225.00,97520.00,27705.00,-26745.00,-19825.00,-6920.00,10,7,3,2,61190.00,-5585.00,12522.50,-3820.71,152,76,4.68
2,76,5.4,98105.00,592.64,155.68,10010.71,13110.00,76.36,58.82,5770.88,17,-35155.00,35.48,0.3844,0.28,0.4961,46.46,5,-21395.00,0.47,0.07,0.35,0.7054,3.33,124200.00,97520.00,26680.00,-26095.00,-19825.00,-6270.00,10,7,3,2,61190.00,-5585.00,12420.00,-3727.86,152,76,4.76
3,76,5.5,97455.00,592.64,150.72,9944.39,13110.00,75.85,58.82,5732.65,17,-35805.00,35.01,0.3789,0.28,0.4891,46.16,5,-21525.00,0.46,0.07,0.36,0.7007,3.25,124200.00,97520.00,26680.00,-26745.00,-19825.00,-6920.00,10,7,3,2,61190.00,-5585.00,12420.00,-3820.71,152,76,4.64
4,76,5.6,97455.00,592.64,150.72,9944.39,13110.00,75.85,58.82,5732.65,17,-35805.00,35.01,0.3789,0.28,0.4891,46.16,5,-21525.00,0.46,0.07,0.36,0.7007,3.25,124200.00,97520.00,26680.00,-26745.00,-19825.00,-6920.00,10,7,3,2,61190.00,-5585.00,12420.00,-3820.71,152,76,4.64
5,76,5.7,97455.00,592.64,150.72,9944.39,13110.00,75.85,58.82,5732.65,17,-35805.00,35.01,0.3789,0.28,0.4891,46.16,5,-21525.00,0.46,0.07,0.36,0.7007,3.25,124200.00,97520.00,26680.00,-26745.00,-19825.00,-6920.00,10,7,3,2,61190.00,-5585.00,12420.00,-3820.71,152,76,4.64
6,76,5.9,96180.00,589.59,144.05,9814.29,13110.00,74.86,58.82,5657.65,17,-35180.00,34.34,0.3650,0.28,0.4776,45.88,5,-21400.00,0.46,0.07,0.35,0.6887,3.18,123325.00,97520.00,25805.00,-27145.00,-20225.00,-6920.00,10,7,3,2,61190.00,-5585.00,12332.50,-3877.86,153,76,4.54
7,76,3.7,95570.00,501.49,227.50,9752.04,13110.00,74.39,56.52,4155.22,23,-21920.00,33.04,0.3526,0.44,0.6577,44.42,5,-17219.00,0.57,0.06,0.22,0.7132,3.59,121620.00,86615.00,35005.00,-26050.00,-20870.00,-5180.00,13,10,5,3,31115.00,-4985.00,9355.38,-2605.00,95,31,4.67
8,76,4,95440.00,470.10,257.89,9738.78,13110.00,74.29,61.90,4544.76,21,-28395.00,36.89,0.3360,0.34,0.6109,49.66,5,-19722.00,0.49,0.07,0.28,0.6890,3.11,118970.00,80540.00,38430.00,-23530.00,-18910.00,-4620.00,13,8,6,3,31040.00,-4360.00,9151.54,-2941.25,103,38,5.06
9,57,3.7,94965.00,467.20,257.17,9690.31,13110.00,73.92,50.00,3652.50,26,-30915.00,24.04,0.3830,0.31,0.6420,32.52,5,-19963.00,0.49,0.06,0.31,0.6955,2.86,145995.00,97615.00,48380.00,-51030.00,-36365.00,-14665.00,13,13,3,3,35065.00,-11560.00,11230.38,-3925.38,102,36,2.86
10,76,3.8,94720.00,495.00,227.50,9665.31,13110.00,73.72,56.52,4118.26,23,-22770.00,32.68,0.3448,0.42,0.6450,44.33,5,-17389.00,0.56,0.06,0.23,0.7026,3.57,120770.00,85765.00,35005.00,-26050.00,-20870.00,-5180.00,13,10,5,3,31115.00,-4985.00,9290.00,-2605.00,96,31,4.64
