#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,3,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
2,4,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
3,5,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
4,6,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
5,7,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
6,8,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
7,9,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
8,10,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
9,11,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
10,12,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
11,13,5.3,50530.00,5621.29,47.83,2196.96,23,-9080.00,10.70,0.9674,0.62,0.9078,2452.01,5,-7524.00,0.75,0.01,0.02,0.7202,3.91,70070.00,-19540.00,11,12,2,2,20340.00,-2520.00,6370.00,-1628.33,143,44,3.59
12,57,7.7,49190.00,5472.22,46.15,3783.85,13,-8760.00,12.32,0.9024,0.62,0.8050,2074.27,5,-7232.00,0.76,0.01,0.02,0.5836,6.58,59800.00,-10610.00,6,7,3,2,23090.00,-4180.00,9966.67,-1515.71,251,73,5.64
13,58,7.7,49190.00,5472.22,46.15,3783.85,13,-8760.00,12.32,0.9024,0.62,0.8050,2074.27,5,-7232.00,0.76,0.01,0.02,0.5836,6.58,59800.00,-10610.00,6,7,3,2,23090.00,-4180.00,9966.67,-1515.71,251,73,5.64
14,22,5.3,49100.00,5462.21,45.45,2231.82,22,-10300.00,9.07,0.9137,0.53,0.9255,1876.39,5,-7768.00,0.70,0.01,0.02,0.6761,4.04,69850.00,-20750.00,10,12,2,2,20340.00,-3260.00,6985.00,-1729.17,155,46,3.37
15,3,4.5,48880.00,5437.73,50.00,1745.71,28,-15750.00,7.88,1.1018,0.35,0.8702,774.48,5,-9160.00,0.59,0.01,0.03,0.7512,2.76,76590.00,-27710.00,14,14,3,3,11800.00,-4070.00,5470.71,-1979.29,121,29,2.76
