#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,10,1,42205320.00,3374576.52,44.19,294.96,143088,-10866480.00,5045.37,112.2925,0.31,0.7672,1.88,5,-6660652.00,0.51,2.72,11.93,0.6048,1.84,134699910.00,-92494590.00,63233,79855,4583,5043,4570000.00,-1723410.00,2130.22,-1158.28,12,4,1.46
2,5,1,39759290.00,3179001.28,41.34,219.12,181453,-15468190.00,3735.87,116.0378,0.21,0.7755,0.86,5,-9540040.00,0.33,2.67,17.66,0.4878,1.90,157773650.00,-118014360.00,75017,106436,3724,4486,5199740.00,-1953750.00,2103.17,-1108.78,11,4,1.34
3,22,1.6,38215600.00,3055573.71,48.57,859.09,44484,-4894450.00,7457.44,143.9660,0.62,0.9591,6.83,5,-3485226.00,0.88,2.03,8.01,0.8959,2.35,69518330.00,-31302730.00,21607,22877,2725,2278,5207070.00,-1243360.00,3217.40,-1368.31,22,7,2.22
4,23,1.6,38045940.00,3042008.35,47.88,878.90,43288,-4659520.00,7245.11,142.9054,0.65,0.9592,7.56,5,-3461084.00,0.88,2.00,7.57,0.9045,2.42,69223650.00,-31177710.00,20727,22561,2725,2278,5207070.00,-1243360.00,3339.78,-1381.93,22,7,2.22
5,8,1.6,36542460.00,2921795.82,41.41,617.73,59156,-8703430.00,4711.34,108.0158,0.34,0.8154,2.63,5,-4420378.00,0.66,2.31,9.68,0.6747,2.49,84617260.00,-48074800.00,24496,34660,1798,2673,4650850.00,-1080540.00,3454.33,-1387.04,23,8,1.76
6,19,1.6,36481790.00,2916944.87,49.10,789.22,46225,-4991920.00,6007.60,133.2127,0.58,0.9497,6.46,5,-3871234.00,0.75,2.03,7.88,0.8546,2.10,72018840.00,-35537050.00,22696,23529,2738,2278,5207070.00,-1243360.00,3173.20,-1510.35,22,7,2.03
7,20,1.6,35574550.00,2844405.42,47.86,765.92,46447,-4728660.00,5696.82,130.1342,0.60,0.9395,6.80,5,-3818582.00,0.74,2.03,7.61,0.8321,2.17,71557210.00,-35982660.00,22229,24218,2724,2278,5207070.00,-1243360.00,3219.09,-1485.78,22,7,1.99
8,7,1,35505140.00,2838855.66,39.99,207.31,171264,-12783690.00,3182.44,85.0086,0.22,0.6490,0.96,5,-9233026.00,0.31,2.70,14.18,0.4368,1.98,146577700.00,-111072560.00,68494,102770,3750,7667,4630780.00,-1723410.00,2140.01,-1080.79,11,4,1.32
9,21,1.6,34205050.00,2734905.42,46.82,742.41,46073,-6001920.00,5476.24,124.3874,0.46,0.9304,3.95,5,-4050938.00,0.68,2.02,9.83,0.8138,2.24,69479830.00,-35274780.00,21571,24502,2725,2278,5207070.00,-1243360.00,3220.98,-1439.67,22,7,1.97
10,18,1.6,34185960.00,2733379.06,47.24,707.14,48344,-6598170.00,5215.67,128.5772,0.41,0.9324,3.39,5,-4123046.00,0.66,2.04,10.45,0.8084,2.13,71792780.00,-37606820.00,22840,25504,1816,3435,5207070.00,-1243360.00,3143.29,-1474.55,22,7,1.91
11,4,1.7,33861460.00,2707433.27,45.67,589.92,57400,-6658030.00,4337.31,106.6512,0.41,0.8759,4.15,5,-4406906.00,0.61,2.35,7.96,0.6247,2.05,80584160.00,-46722700.00,26216,31184,1948,3064,4383450.00,-1050900.00,3073.85,-1498.29,22,8,1.72
