#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,4,1.7,178740.00,14291.37,45.36,921.34,194,-26550.00,23.67,0.4713,0.54,0.7039,664.83,5,-18434.00,0.78,0.01,0.05,0.7486,2.40,359320.00,-180580.00,88,106,8,7,30650.00,-6850.00,4083.18,-1703.58,23,8,1.99
2,4,1.8,178130.00,14242.60,48.09,973.39,183,-20630.00,27.22,0.5885,0.69,0.9194,1427.76,5,-15764.00,0.90,0.01,0.04,0.8351,2.29,336420.00,-158290.00,88,95,5,7,30650.00,-6850.00,3822.95,-1666.21,24,9,2.13
3,3,1.7,170620.00,13642.12,44.39,870.51,196,-26550.00,21.02,0.4383,0.51,0.6897,622.00,5,-17928.00,0.76,0.01,0.05,0.7070,2.39,357870.00,-187250.00,87,109,8,7,30650.00,-6850.00,4113.45,-1717.89,23,8,1.91
4,3,1.8,170010.00,13593.35,47.03,918.97,185,-20630.00,24.14,0.5555,0.66,0.9192,1362.93,5,-15764.00,0.86,0.01,0.04,0.7935,2.29,334830.00,-164820.00,87,98,5,7,30650.00,-6850.00,3848.62,-1681.84,24,8,2.03
5,5,1.8,167700.00,13408.65,46.74,911.41,184,-20630.00,23.42,0.5663,0.65,0.9311,1361.19,5,-15764.00,0.85,0.01,0.04,0.7832,2.30,332920.00,-165220.00,86,98,5,7,30650.00,-6850.00,3871.16,-1685.92,24,9,2.02
6,5,1.7,160990.00,12872.15,44.10,825.59,195,-26550.00,19.08,0.4381,0.48,0.7237,615.54,5,-18434.00,0.70,0.01,0.05,0.6755,2.36,348420.00,-187430.00,86,109,8,7,30650.00,-6850.00,4051.40,-1719.54,23,8,1.86
7,70,4.8,157740.00,12612.29,68.18,7170.00,22,-24430.00,19.67,0.4831,0.52,0.8511,708.68,5,-18474.00,0.68,0.01,0.05,0.9311,2.78,189590.00,-31850.00,15,7,4,2,37290.00,-8210.00,12639.33,-4550.00,144,25,5.95
8,71,4.8,157740.00,12612.29,68.18,7170.00,22,-24430.00,19.67,0.4831,0.52,0.8511,708.68,5,-18474.00,0.68,0.01,0.05,0.9311,2.78,189590.00,-31850.00,15,7,4,2,37290.00,-8210.00,12639.33,-4550.00,144,25,5.95
9,72,4.8,157740.00,12612.29,68.18,7170.00,22,-24430.00,19.67,0.4831,0.52,0.8511,708.68,5,-18474.00,0.68,0.01,0.05,0.9311,2.78,189590.00,-31850.00,15,7,4,2,37290.00,-8210.00,12639.33,-4550.00,144,25,5.95
10,69,4.8,157360.00,12581.91,68.18,7152.73,22,-24430.00,19.61,0.4823,0.52,0.8504,706.34,5,-18474.00,0.68,0.01,0.05,0.9272,2.77,189210.00,-31850.00,15,7,4,2,37290.00,-8210.00,12614.00,-4550.00,144,25,5.94
11,3,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
12,4,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
13,5,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
14,6,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
15,7,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
16,8,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
17,9,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
18,10,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
19,11,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
20,12,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
21,13,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
22,14,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
23,15,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
24,16,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
25,17,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
26,18,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
27,19,6.2,155820.00,12458.77,50.00,7082.73,22,-32200.00,16.59,0.4990,0.39,0.7474,354.25,5,-22172.00,0.56,0.01,0.06,0.7848,4.81,196730.00,-40910.00,11,11,3,4,67470.00,-8250.00,17884.55,-3719.09,217,53,4.81
