#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,9,2.1,154405.00,15839.75,50.00,1678.32,92,-22435.00,19.91,0.6280,0.71,0.8804,1244.58,5,-18545.00,0.85,0.01,0.04,0.8282,2.46,260240.00,-105835.00,46,46,7,5,22040.00,-5810.00,5657.39,-2300.76,32,16,2.46
2,13,2.6,150775.00,15467.36,51.43,2153.93,70,-26470.00,22.43,0.5579,0.58,0.7883,767.64,5,-19433.00,0.80,0.01,0.05,0.8112,2.78,228365.00,-77590.00,36,34,5,7,24440.00,-6510.00,6343.47,-2282.06,46,14,2.94
3,12,2.6,149005.00,15285.79,50.00,2069.51,72,-27795.00,21.11,0.5233,0.55,0.7461,652.45,5,-19698.00,0.78,0.01,0.06,0.7681,2.82,230965.00,-81960.00,36,36,4,7,24440.00,-6510.00,6415.69,-2276.67,46,16,2.82
4,10,2.6,148730.00,15257.57,48.61,2065.69,72,-28320.00,20.86,0.5181,0.54,0.7390,621.38,5,-19803.00,0.77,0.01,0.06,0.7658,2.96,231225.00,-82495.00,35,37,4,7,24440.00,-6510.00,6606.43,-2229.59,46,17,2.80
5,11,2.6,148480.00,15231.93,50.00,2062.22,72,-28320.00,20.83,0.5190,0.54,0.7418,622.68,5,-19803.00,0.77,0.01,0.06,0.7646,2.80,230965.00,-82485.00,36,36,4,7,24440.00,-6510.00,6415.69,-2291.25,46,16,2.80
6,7,2.1,148255.00,15208.85,49.48,1528.40,97,-23725.00,16.32,0.6012,0.64,0.8804,1071.60,5,-18541.00,0.82,0.01,0.05,0.7951,2.27,269445.00,-121190.00,48,49,5,5,22040.00,-7710.00,5613.44,-2473.27,32,14,2.22
7,14,2.6,148070.00,15189.87,52.94,2177.50,68,-26470.00,19.66,0.5490,0.57,0.7879,752.03,5,-20383.00,0.75,0.01,0.05,0.8038,2.49,230165.00,-82095.00,36,32,5,7,24440.00,-9410.00,6393.47,-2565.47,45,16,2.80
8,10,2.1,145845.00,14961.61,49.46,1568.23,93,-21500.00,16.98,0.5802,0.70,0.8556,1244.63,5,-18431.00,0.81,0.01,0.04,0.7886,2.34,258515.00,-112670.00,46,47,7,5,22040.00,-5810.00,5619.89,-2397.23,31,15,2.29
9,11,2.1,143545.00,14725.67,49.46,1543.49,93,-19585.00,16.46,0.5374,0.75,0.8162,1408.14,5,-17848.00,0.83,0.01,0.04,0.7681,2.32,256840.00,-113295.00,46,47,7,5,22040.00,-5810.00,5583.48,-2410.53,31,15,2.27
10,10,2.5,141830.00,14549.73,45.45,1841.95,77,-34365.00,16.84,0.4463,0.42,0.6452,352.83,5,-20537.00,0.71,0.01,0.07,0.7240,2.97,237750.00,-95920.00,35,42,4,7,24440.00,-6560.00,6792.86,-2283.81,45,15,2.48
11,11,2.5,141580.00,14524.09,46.75,1838.70,77,-34290.00,16.87,0.4472,0.42,0.6483,355.50,5,-20522.00,0.71,0.01,0.07,0.7228,2.82,237490.00,-95910.00,36,41,4,7,24440.00,-6560.00,6596.94,-2339.27,44,15,2.48
12,6,2.5,138480.00,14206.07,49.35,1798.44,77,-25885.00,16.00,0.5124,0.55,0.7515,707.16,5,-20856.00,0.68,0.01,0.05,0.7318,2.48,236145.00,-97665.00,38,39,4,7,24440.00,-7710.00,6214.34,-2504.23,45,14,2.42
13,6,2,137925.00,14149.14,44.17,1149.38,120,-28120.00,12.83,0.4938,0.50,0.6719,547.16,5,-20091.00,0.70,0.01,0.06,0.7282,2.41,289520.00,-151595.00,53,67,5,12,24290.00,-6960.00,5462.64,-2262.61,29,11,1.91
14,14,2.7,137880.00,14144.52,47.76,2057.91,67,-31270.00,14.85,0.4611,0.45,0.6942,441.60,5,-21479.00,0.66,0.01,0.06,0.7322,2.72,230655.00,-92775.00,32,35,4,7,30140.00,-9410.00,7207.97,-2650.71,48,18,2.49
15,13,2.5,137450.00,14100.41,49.33,1832.67,75,-35330.00,15.48,0.4274,0.40,0.6439,322.31,5,-20730.00,0.68,0.01,0.07,0.7220,2.48,234880.00,-97430.00,37,38,5,7,24440.00,-6810.00,6348.11,-2563.95,44,13,2.41
16,12,2.5,135680.00,13918.83,46.75,1762.08,77,-39975.00,14.59,0.3926,0.35,0.5818,224.95,5,-21659.00,0.64,0.01,0.08,0.6792,2.66,237490.00,-101810.00,36,41,4,7,24440.00,-6810.00,6596.94,-2483.17,44,15,2.33
17,9,2.7,134810.00,13829.58,46.38,1953.77,69,-33120.00,15.52,0.4607,0.42,0.6779,376.65,5,-21379.00,0.65,0.01,0.07,0.6957,2.90,224380.00,-89570.00,32,37,4,7,30140.00,-6260.00,7011.88,-2420.81,50,17,2.51
18,14,2.8,134530.00,13800.86,48.39,2169.84,62,-31270.00,14.17,0.5057,0.44,0.7798,481.27,5,-22740.00,0.61,0.01,0.06,0.7375,2.69,223150.00,-88620.00,30,32,4,7,29390.00,-9410.00,7438.33,-2769.38,50,21,2.52
19,13,2.7,134335.00,13780.85,46.38,1946.88,69,-31270.00,15.51,0.4667,0.44,0.6954,431.83,5,-21379.00,0.64,0.01,0.06,0.7189,2.90,223605.00,-89270.00,32,37,4,7,30140.00,-6510.00,6987.66,-2412.70,49,16,2.50
20,10,2.7,133885.00,13734.69,46.38,1940.36,69,-33120.00,14.94,0.4547,0.41,0.6762,373.09,5,-21749.00,0.63,0.01,0.07,0.6937,2.85,225255.00,-91370.00,32,37,4,7,30140.00,-6510.00,7039.22,-2469.46,50,17,2.47
21,12,2.7,133585.00,13703.91,46.38,1936.01,69,-32595.00,14.90,0.4542,0.42,0.6768,384.68,5,-21644.00,0.63,0.01,0.07,0.6920,2.85,224930.00,-91345.00,32,37,4,7,30140.00,-6510.00,7029.06,-2468.78,50,17,2.46
22,11,2.7,133060.00,13650.06,46.38,1928.41,69,-33120.00,14.70,0.4499,0.41,0.6711,367.99,5,-21749.00,0.63,0.01,0.07,0.6885,2.83,224930.00,-91870.00,32,37,4,7,30140.00,-6510.00,7029.06,-2482.97,50,17,2.45
23,5,2.5,132585.00,13601.33,48.10,1678.29,79,-31780.00,14.66,0.4556,0.43,0.6742,403.63,5,-22035.00,0.62,0.01,0.06,0.6928,2.49,233770.00,-101185.00,38,41,4,7,24440.00,-7710.00,6151.84,-2467.93,45,14,2.31
24,3,2.5,132510.00,13593.63,48.10,1677.34,79,-31855.00,14.63,0.4549,0.43,0.6731,400.83,5,-22050.00,0.62,0.01,0.06,0.6923,2.49,233770.00,-101260.00,38,41,4,7,24440.00,-7710.00,6151.84,-2469.76,45,14,2.31
25,4,2.5,132510.00,13593.63,48.10,1677.34,79,-31855.00,14.63,0.4549,0.43,0.6731,400.83,5,-22050.00,0.62,0.01,0.06,0.6923,2.49,233770.00,-101260.00,38,41,4,7,24440.00,-7710.00,6151.84,-2469.76,45,14,2.31
26,14,2.5,132295.00,13571.58,47.95,1812.26,73,-36630.00,13.24,0.4071,0.37,0.6266,280.35,5,-21940.00,0.62,0.01,0.07,0.7002,2.49,234825.00,-102530.00,35,38,5,7,24440.00,-9410.00,6709.29,-2698.16,45,14,2.29
27,6,2.6,130345.00,13371.54,50.68,1785.55,73,-27195.00,14.98,0.4655,0.49,0.7276,581.75,5,-21778.00,0.61,0.01,0.05,0.6889,2.34,223105.00,-92760.00,37,36,4,7,24440.00,-7710.00,6029.86,-2576.67,46,16,2.41
28,7,2.6,129745.00,13309.98,50.68,1777.33,73,-27195.00,14.88,0.4594,0.49,0.7199,572.88,5,-21778.00,0.61,0.01,0.05,0.6849,2.33,222505.00,-92760.00,37,36,4,7,24440.00,-7710.00,6013.65,-2576.67,46,16,2.40
29,7,2.5,129020.00,13235.61,47.44,1654.10,78,-29390.00,13.26,0.4377,0.45,0.6833,464.99,5,-21557.00,0.61,0.01,0.06,0.6778,2.48,233530.00,-104510.00,37,41,4,7,24440.00,-7710.00,6311.62,-2549.02,45,14,2.23
30,9,2.8,128910.00,13224.33,46.88,2014.22,64,-33120.00,14.57,0.4978,0.40,0.7585,400.84,5,-21973.00,0.60,0.01,0.07,0.6892,2.85,213900.00,-84990.00,30,34,4,7,29390.00,-7985.00,7130.00,-2499.71,53,20,2.52
31,12,2.8,128435.00,13175.60,46.88,2006.80,64,-32595.00,13.87,0.4991,0.40,0.7662,416.49,5,-22278.00,0.59,0.01,0.07,0.6903,2.79,216150.00,-87715.00,30,34,4,7,29390.00,-7985.00,7205.00,-2579.85,52,20,2.46
32,13,2.8,128435.00,13175.60,46.88,2006.80,64,-31270.00,14.17,0.5109,0.42,0.7797,460.51,5,-22013.00,0.60,0.01,0.06,0.7145,2.82,214825.00,-86390.00,30,34,4,7,29390.00,-7985.00,7160.83,-2540.88,51,19,2.49
33,10,2.8,127985.00,13129.43,46.88,1999.77,64,-33120.00,14.01,0.4918,0.40,0.7569,397.08,5,-22383.00,0.59,0.01,0.07,0.6871,2.80,214775.00,-86790.00,30,34,4,7,29390.00,-7985.00,7159.17,-2552.65,52,20,2.47
34,11,2.8,127910.00,13121.74,46.88,1998.59,64,-33120.00,13.67,0.4949,0.40,0.7616,399.35,5,-22383.00,0.59,0.01,0.07,0.6869,2.78,216150.00,-88240.00,30,34,4,7,29390.00,-7985.00,7205.00,-2595.29,52,20,2.45
35,9,2.6,126535.00,12980.68,47.30,1709.93,74,-33040.00,13.96,0.4218,0.39,0.6699,352.54,5,-22914.00,0.57,0.01,0.07,0.6670,2.59,221900.00,-95365.00,35,39,4,7,24440.00,-7460.00,6340.00,-2445.26,46,16,2.33
36,9,2.5,125810.00,12906.31,44.30,1592.53,79,-30315.00,12.37,0.4001,0.43,0.6299,393.15,5,-22653.00,0.57,0.01,0.06,0.6598,2.73,232925.00,-107115.00,35,44,4,7,24440.00,-6560.00,6655.00,-2434.43,45,15,2.17
37,58,5.7,125360.00,12860.15,47.37,6597.89,19,-31525.00,16.12,0.4434,0.41,0.6228,311.00,5,-22621.00,0.57,0.01,0.06,0.6472,5.79,155135.00,-29775.00,9,10,3,4,57240.00,-5860.00,17237.22,-2977.50,172,59,5.21
38,4,2,125345.00,12858.61,44.72,1019.07,123,-24860.00,9.52,0.5262,0.52,0.7446,704.99,5,-21348.00,0.60,0.01,0.05,0.6657,2.15,295300.00,-169955.00,55,68,5,9,24290.00,-7560.00,5369.09,-2499.34,28,10,1.74
39,5,2,125270.00,12850.91,44.72,1018.46,123,-24860.00,9.51,0.5254,0.52,0.7438,703.79,5,-21363.00,0.60,0.01,0.05,0.6651,2.15,295225.00,-169955.00,55,68,5,9,24290.00,-7560.00,5367.73,-2499.34,28,10,1.74
40,58,5.5,125060.00,12829.37,47.37,6582.11,19,-31525.00,15.97,0.4399,0.41,0.6207,309.18,5,-22621.00,0.57,0.01,0.06,0.6444,5.75,154985.00,-29925.00,9,10,3,4,57090.00,-6010.00,17220.56,-2992.50,173,59,5.18
41,58,5.6,125060.00,12829.37,47.37,6582.11,19,-31525.00,15.97,0.4403,0.41,0.6212,309.45,5,-22621.00,0.57,0.01,0.06,0.6449,5.75,154985.00,-29925.00,9,10,3,4,57090.00,-6010.00,17220.56,-2992.50,173,59,5.18
42,57,5.7,124960.00,12819.11,47.37,6576.84,19,-31925.00,15.80,0.4389,0.40,0.6139,297.95,5,-22701.00,0.56,0.01,0.06,0.6398,5.71,155135.00,-30175.00,9,10,3,4,57240.00,-5860.00,17237.22,-3017.50,172,65,5.14
43,63,5.4,124960.00,12819.11,47.37,6576.84,19,-30875.00,15.86,0.4496,0.42,0.6354,329.72,5,-22941.00,0.56,0.01,0.06,0.6479,5.73,155035.00,-30075.00,9,10,3,4,57090.00,-6010.00,17226.11,-3007.50,171,59,5.15
44,64,5.4,124960.00,12819.11,47.37,6576.84,19,-30875.00,15.86,0.4496,0.42,0.6354,329.72,5,-22941.00,0.56,0.01,0.06,0.6479,5.73,155035.00,-30075.00,9,10,3,4,57090.00,-6010.00,17226.11,-3007.50,171,59,5.15
45,57,5.5,124660.00,12788.34,47.37,6561.05,19,-31925.00,15.66,0.4355,0.40,0.6117,296.16,5,-22701.00,0.56,0.01,0.06,0.6370,5.68,154985.00,-30325.00,9,10,3,4,57090.00,-6010.00,17220.56,-3032.50,173,65,5.11
46,57,5.6,124660.00,12788.34,47.37,6561.05,19,-31925.00,15.66,0.4359,0.40,0.6122,296.43,5,-22701.00,0.56,0.01,0.06,0.6375,5.68,154985.00,-30325.00,9,10,3,4,57090.00,-6010.00,17220.56,-3032.50,173,65,5.11
47,61,5.7,124610.00,12783.21,47.37,6558.42,19,-31525.00,15.50,0.4477,0.41,0.6313,313.32,5,-23071.00,0.55,0.01,0.06,0.6468,5.64,155185.00,-30575.00,9,10,3,4,57240.00,-5860.00,17242.78,-3057.50,171,59,5.08
48,62,5.7,124610.00,12783.21,47.37,6558.42,19,-31525.00,15.50,0.4477,0.41,0.6313,313.32,5,-23071.00,0.55,0.01,0.06,0.6468,5.64,155185.00,-30575.00,9,10,3,4,57240.00,-5860.00,17242.78,-3057.50,171,59,5.08
49,63,5.7,124610.00,12783.21,47.37,6558.42,19,-31525.00,15.50,0.4477,0.41,0.6313,313.32,5,-23071.00,0.55,0.01,0.06,0.6468,5.64,155185.00,-30575.00,9,10,3,4,57240.00,-5860.00,17242.78,-3057.50,171,59,5.08
50,64,5.7,124610.00,12783.21,47.37,6558.42,19,-31525.00,15.50,0.4477,0.41,0.6313,313.32,5,-23071.00,0.55,0.01,0.06,0.6468,5.64,155185.00,-30575.00,9,10,3,4,57240.00,-5860.00,17242.78,-3057.50,171,59,5.08
51,3,2.6,124450.00,12766.79,49.33,1659.33,75,-31475.00,13.66,0.4087,0.41,0.6452,368.34,5,-22634.00,0.56,0.01,0.06,0.6498,2.35,220730.00,-96280.00,37,38,4,7,24440.00,-7710.00,5965.68,-2533.68,45,15,2.29
52,4,2.6,124450.00,12766.79,49.33,1659.33,75,-31475.00,13.66,0.4087,0.41,0.6452,368.34,5,-22634.00,0.56,0.01,0.06,0.6498,2.35,220730.00,-96280.00,37,38,4,7,24440.00,-7710.00,5965.68,-2533.68,45,15,2.29
53,5,2.6,124450.00,12766.79,49.33,1659.33,75,-31475.00,13.66,0.4087,0.41,0.6452,368.34,5,-22634.00,0.56,0.01,0.06,0.6498,2.35,220730.00,-96280.00,37,38,4,7,24440.00,-7710.00,5965.68,-2533.68,45,15,2.29
54,61,5.5,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4441,0.40,0.6289,311.43,5,-23071.00,0.55,0.01,0.06,0.6439,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
55,61,5.6,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4447,0.40,0.6297,311.79,5,-23071.00,0.55,0.01,0.06,0.6446,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
56,62,5.5,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4441,0.40,0.6289,311.43,5,-23071.00,0.55,0.01,0.06,0.6439,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
57,62,5.6,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4447,0.40,0.6297,311.79,5,-23071.00,0.55,0.01,0.06,0.6446,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
58,63,5.5,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4441,0.40,0.6289,311.43,5,-23071.00,0.55,0.01,0.06,0.6439,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
59,63,5.6,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4447,0.40,0.6297,311.79,5,-23071.00,0.55,0.01,0.06,0.6446,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
60,64,5.5,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4441,0.40,0.6289,311.43,5,-23071.00,0.55,0.01,0.06,0.6439,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
61,64,5.6,124310.00,12752.43,47.37,6542.63,19,-31525.00,15.37,0.4447,0.40,0.6297,311.79,5,-23071.00,0.55,0.01,0.06,0.6446,5.61,155035.00,-30725.00,9,10,3,4,57090.00,-6010.00,17226.11,-3072.50,171,59,5.05
62,58,5.8,123885.00,12708.83,47.37,6520.26,19,-31525.00,16.31,0.4266,0.40,0.6152,303.59,5,-22416.00,0.57,0.01,0.06,0.6378,5.84,153010.00,-29125.00,9,10,3,4,55990.00,-5210.00,17001.11,-2912.50,173,59,5.25
