#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,10,1,35015230.00,4440777.95,47.41,346.70,100996,-6496210.00,8046.56,302.1332,0.68,0.9504,5.46,5,-5558874.00,0.80,3.28,10.94,0.8835,1.94,81877210.00,-46861980.00,47885,53111,3876,5476,4567100.00,-1588800.00,1709.87,-882.34,15,5,1.75
2,11,1,27125590.00,3440180.80,44.64,266.50,101785,-7684380.00,5024.44,264.2469,0.45,0.9222,3.76,5,-5532502.00,0.62,3.11,10.11,0.7069,1.93,75752340.00,-48626750.00,45435,56350,3848,6454,4040000.00,-1588800.00,1667.27,-862.94,14,4,1.56
3,11,1.1,26985870.00,3422460.93,44.51,302.27,89277,-8539600.00,5437.31,271.2385,0.40,0.9196,3.22,5,-5402162.00,0.63,2.83,10.51,0.7515,2.04,69486910.00,-42501040.00,39738,49539,3589,6836,4008030.00,-1444800.00,1748.63,-857.93,15,5,1.63
4,11,1.2,21786730.00,2763084.24,43.03,273.44,79676,-6787270.00,3745.64,210.3767,0.41,0.9146,3.45,5,-5051042.00,0.55,3.05,9.88,0.6421,2.04,61822710.00,-40035980.00,34283,45393,2793,4649,6510000.00,-1324800.00,1803.31,-881.99,16,6,1.54
5,14,1,21265710.00,2697006.31,46.66,221.68,95931,-7799960.00,3361.19,230.5501,0.35,0.9328,2.84,5,-5233024.00,0.52,3.24,10.41,0.5820,1.66,68299290.00,-47033580.00,44762,51169,3873,4602,3500000.00,-1817160.00,1525.83,-919.18,13,4,1.45
6,12,1.1,17655210.00,2239107.59,41.08,196.21,89980,-9703380.00,2273.66,196.5385,0.23,0.8457,1.30,5,-6265888.00,0.36,2.95,13.75,0.5255,1.98,64178050.00,-46522840.00,36962,53018,3008,7570,4008030.00,-1444800.00,1736.33,-877.49,15,5,1.38
7,12,1,17650230.00,2238476.01,40.88,173.64,101647,-9606000.00,2027.08,192.0114,0.23,0.8338,1.18,5,-6578102.00,0.34,3.27,15.16,0.4873,1.93,70899890.00,-53249660.00,41551,60096,3838,6454,3501420.00,-1588800.00,1706.33,-886.08,15,4,1.33
8,13,1,16092060.00,2040862.37,43.58,162.03,99313,-9293770.00,1878.60,186.3208,0.22,0.8822,1.36,5,-5954632.00,0.34,3.27,13.05,0.4425,1.71,66618470.00,-50526410.00,43280,56033,3838,4734,3500000.00,-1817160.00,1539.24,-901.73,14,4,1.32
9,14,1.2,16068310.00,2037850.30,44.25,210.88,76197,-6513910.00,2077.24,141.4403,0.31,0.8140,2.20,5,-4233844.00,0.48,3.02,10.59,0.5069,1.75,57034170.00,-40965860.00,33720,42477,2449,3022,6130000.00,-1625670.00,1691.40,-964.42,15,5,1.39
10,15,1,16007600.00,2030150.80,44.94,174.94,91504,-8564990.00,1835.12,191.3766,0.24,0.8845,1.55,5,-6281166.00,0.32,4.55,12.36,0.4531,1.63,64797870.00,-48790270.00,41120,50384,3873,4602,3500000.00,-3293840.00,1575.82,-968.37,13,5,1.33
11,15,1.1,15694410.00,1990430.73,43.21,192.14,81682,-7076960.00,1767.49,161.1340,0.28,0.8549,1.84,5,-5655098.00,0.35,4.11,11.95,0.4760,1.77,61278190.00,-45583780.00,35295,46387,2450,4183,4008030.00,-2994400.00,1736.17,-982.68,15,5,1.34
12,11,1.3,15622390.00,1981296.86,41.96,221.92,70398,-6816910.00,1826.02,160.2283,0.29,0.8383,1.92,5,-5380172.00,0.37,3.63,11.57,0.4881,1.91,56313150.00,-40690760.00,29537,40861,2577,4293,6060810.00,-2537360.00,1906.53,-995.83,18,6,1.38
13,15,1.2,15595800.00,1977924.60,44.42,224.98,69320,-6582450.00,1909.85,136.1642,0.30,0.7976,2.05,5,-4375966.00,0.45,3.75,10.66,0.4942,1.74,55131070.00,-39535270.00,30795,38525,1957,3208,5328990.00,-2742240.00,1790.26,-1026.22,16,5,1.39
14,10,1.1,14934400.00,1894043.09,41.07,155.22,96212,-9914460.00,1366.94,150.1741,0.19,0.8070,0.99,5,-6947850.00,0.27,2.98,14.35,0.4075,1.83,69556870.00,-54622470.00,39513,56699,3615,5069,4152900.00,-1655280.00,1760.35,-963.38,16,5,1.27
15,13,1.1,14057560.00,1782838.57,42.95,155.72,90275,-11590020.00,1598.35,174.1893,0.15,0.8130,0.71,5,-5852490.00,0.30,2.94,16.13,0.4175,1.74,59794520.00,-45736960.00,38771,51504,2762,7570,4008030.00,-1655280.00,1542.25,-888.03,14,5,1.31
16,10,1.2,13944800.00,1768537.87,39.74,159.58,87383,-9296900.00,1249.12,134.6969,0.19,0.7852,1.01,5,-6766488.00,0.26,3.08,13.60,0.3916,1.93,64473180.00,-50528380.00,34728,52655,2793,4667,6510000.00,-1625670.00,1856.52,-959.61,17,5,1.28
17,10,1.5,13891080.00,1761724.88,42.84,258.44,53750,-6223860.00,1513.94,186.3978,0.28,0.9141,1.91,5,-4098704.00,0.43,3.14,12.28,0.4676,1.84,48129290.00,-34238210.00,23029,30176,2855,3947,5167590.00,-2194580.00,2089.94,-1134.62,21,7,1.41
18,14,0.8,13456330.00,1706588.06,44.68,97.43,138116,-11775860.00,1235.02,163.3443,0.14,0.7313,0.43,5,-6503774.00,0.26,3.75,22.93,0.2707,1.50,77794450.00,-64338120.00,61710,76406,4943,6388,3330000.00,-2225280.00,1260.65,-842.06,10,3,1.21
19,18,1.6,12366400.00,1568358.58,44.75,338.80,36501,-6028350.00,1522.34,105.5323,0.26,0.6795,1.70,5,-3629418.00,0.43,2.82,9.30,0.4412,1.86,36921140.00,-24554740.00,16335,20166,1909,2815,4229400.00,-2056680.00,2260.25,-1217.63,25,8,1.50
20,42,1.6,12350600.00,1566354.76,46.24,459.15,26899,-6934940.00,1916.70,120.5309,0.23,0.8068,1.50,5,-3584298.00,0.44,2.86,10.62,0.4879,1.97,30055790.00,-17705190.00,12437,14462,3245,3192,4229400.00,-2056680.00,2416.64,-1224.26,24,10,1.70
