#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,6,1.2,29050340.00,3684285.65,40.79,1030.85,28181,-9055600.00,861.68,59.4307,0.41,0.9154,2.36,5,-5477104.00,0.67,3.63,14.66,0.6306,2.07,97453490.00,-68403150.00,11496,16685,883,1013,5632950.00,-1703910.00,8477.17,-4099.68,12,5,1.42
2,8,1.2,28188080.00,3574930.23,40.94,1059.82,26597,-6648060.00,905.83,52.9870,0.54,0.9347,4.28,5,-5188066.00,0.69,3.47,10.91,0.6613,2.10,90511070.00,-62322990.00,10888,15709,894,1013,4911060.00,-1585760.00,8312.92,-3967.34,12,4,1.45
3,13,1.4,27660910.00,3508072.32,44.20,1730.54,15984,-9473530.00,1065.72,52.1032,0.37,0.9152,2.25,5,-5088042.00,0.69,2.79,13.78,0.8453,2.11,68799450.00,-41138540.00,7065,8919,557,751,4130280.00,-1543950.00,9738.07,-4612.46,15,6,1.67
4,6,1.3,26510540.00,3362177.59,40.15,1086.68,24396,-7616780.00,782.53,53.6195,0.44,0.8966,2.86,5,-5363098.00,0.63,3.53,12.87,0.5857,2.14,87017990.00,-60507450.00,9796,14600,786,934,4528380.00,-1572840.00,8883.01,-4144.35,13,5,1.44
5,6,1,26039550.00,3302444.67,39.87,660.57,39420,-8461080.00,647.11,62.1209,0.39,0.8759,2.22,5,-6238744.00,0.53,4.51,14.39,0.4344,1.96,113378390.00,-87338840.00,15716,23704,918,2280,7619600.00,-2178840.00,7214.20,-3684.56,10,4,1.30
6,7,1.2,25471450.00,3230395.85,38.82,923.88,27570,-6452620.00,712.07,46.8410,0.50,0.9077,4.18,5,-5143408.00,0.63,3.34,10.11,0.5801,2.19,91017730.00,-65546280.00,10702,16868,842,1013,6343760.00,-1579790.00,8504.74,-3885.84,13,4,1.39
7,9,1.2,23851270.00,3024917.84,40.52,952.60,25038,-8977240.00,641.55,42.5261,0.34,0.8898,1.84,5,-6041040.00,0.50,3.71,15.08,0.5907,2.03,86041200.00,-62189930.00,10145,14893,894,1013,4911060.00,-1585760.00,8481.14,-4175.78,13,4,1.38
8,12,1.4,23806800.00,3019277.97,40.00,1457.41,16335,-9473530.00,769.13,48.7168,0.32,0.9402,1.87,5,-5234168.00,0.58,2.97,14.70,0.7130,2.33,66954210.00,-43147410.00,6534,9801,505,993,4130280.00,-1602540.00,10247.05,-4402.35,16,6,1.55
9,14,1.4,22658430.00,2873636.88,44.21,1413.33,16032,-8389540.00,705.06,37.2613,0.34,0.7985,2.06,5,-5618136.00,0.51,2.85,12.16,0.6881,1.92,66172020.00,-43513590.00,7088,8944,557,751,4130280.00,-2220540.00,9335.78,-4865.12,15,5,1.52
10,12,1.3,21320330.00,2703933.44,39.56,1096.61,19442,-7068360.00,620.83,41.0977,0.38,0.9117,2.84,5,-4982836.00,0.54,3.11,11.29,0.6173,2.20,69965840.00,-48645510.00,7691,11751,733,1116,4528380.00,-1446700.00,9097.11,-4139.69,14,6,1.44
