#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,21,1.2,21141460.00,2681248.40,43.94,471.97,44794,-4348340.00,2925.36,80.5850,0.62,0.7475,5.87,5,-3451594.00,0.78,2.07,7.12,0.6613,2.12,52968830.00,-31827370.00,19682,25112,1947,4618,3905260.00,-1447415.00,2691.23,-1267.42,13,5,1.66
2,19,1.5,20649715.00,2618883.24,41.93,708.86,29131,-4968895.00,2830.56,130.7532,0.53,0.9503,4.91,5,-3426241.00,0.76,1.88,9.15,0.7052,2.58,44605250.00,-23955535.00,12215,16916,2184,4219,4384890.00,-1202985.00,3651.68,-1416.15,19,7,1.86
3,7,2.1,19225670.00,2438279.90,48.99,1108.24,17348,-3054870.00,2813.84,94.8068,0.80,0.9431,11.41,5,-2256326.00,1.08,1.43,5.90,0.8107,2.28,35339935.00,-16114265.00,8499,8849,1149,1157,3438240.00,-806880.00,4158.13,-1821.03,30,12,2.19
4,23,1.6,18907745.00,2397959.32,43.13,753.06,25108,-4511980.00,2522.68,86.3532,0.53,0.9070,5.14,5,-3541349.00,0.68,1.91,8.35,0.6748,2.48,40471745.00,-21564000.00,10828,14280,1599,3957,4094325.00,-1304065.00,3737.69,-1510.08,21,7,1.88
5,20,1.6,18701930.00,2371857.00,44.71,710.78,26312,-4511980.00,2345.16,88.4246,0.53,0.8919,5.02,5,-3557277.00,0.67,1.94,8.35,0.6753,2.24,41870170.00,-23168240.00,11763,14549,2047,3957,4094325.00,-1304065.00,3559.48,-1592.43,21,7,1.81
6,19,1.6,18574975.00,2355756.04,43.60,690.90,26885,-4511980.00,2373.06,114.3834,0.52,0.9401,5.27,5,-3298664.00,0.71,1.80,8.35,0.6577,2.34,41651990.00,-23077015.00,11721,15164,2047,3957,4094325.00,-1304065.00,3553.62,-1521.83,21,7,1.80
7,9,2.1,18282880.00,2318711.33,48.92,1057.30,17292,-3147090.00,2719.48,90.2697,0.74,0.9349,10.42,5,-2272789.00,1.02,1.44,5.90,0.7707,2.26,33934175.00,-15651295.00,8460,8832,1149,1157,3438240.00,-806880.00,4011.13,-1772.11,30,12,2.17
8,11,2.1,18267065.00,2316705.60,50.73,1118.55,16331,-3422855.00,2537.44,90.3172,0.68,0.9568,8.73,5,-2314125.00,1.00,1.41,6.61,0.8022,2.10,34037560.00,-15770495.00,8284,8047,1389,1157,3438240.00,-806880.00,4108.83,-1959.80,30,11,2.16
9,5,2.1,18208875.00,2309325.70,47.47,996.11,18280,-3703395.00,2714.38,82.7686,0.62,0.8417,8.28,5,-2299895.00,1.00,1.39,5.67,0.7321,2.35,34396595.00,-16187720.00,8678,9602,1149,1157,3438240.00,-700900.00,3963.65,-1685.87,29,12,2.12
10,20,1.5,17855135.00,2264462.92,40.50,604.66,29529,-4968895.00,1992.48,99.9046,0.46,0.9218,4.12,5,-3733075.00,0.61,2.03,9.15,0.6318,2.48,43830985.00,-25975850.00,11959,17570,2184,4219,4384890.00,-1202985.00,3665.10,-1478.42,19,6,1.69
11,22,1.2,17791575.00,2256401.97,42.32,392.66,45310,-6733440.00,2181.52,46.9654,0.34,0.4318,1.19,5,-3403761.00,0.66,2.15,10.99,0.5384,2.12,49931835.00,-32140260.00,19174,26136,1947,4538,3905260.00,-1447415.00,2604.14,-1229.73,12,5,1.55
12,6,2.1,17590795.00,2230938.21,48.02,988.36,17798,-3825205.00,2415.67,92.7912,0.58,0.9172,8.11,5,-2415496.00,0.92,1.48,5.90,0.7190,2.23,34220215.00,-16629420.00,8546,9252,1149,1157,3438240.00,-700900.00,4004.24,-1797.39,29,12,2.06
13,10,2.1,17539315.00,2224409.30,49.08,1015.54,17271,-3148265.00,2442.77,84.8488,0.71,0.9298,9.65,5,-2313759.00,0.96,1.46,6.08,0.7399,2.17,33678965.00,-16139650.00,8476,8795,1149,1157,3438240.00,-806880.00,3973.45,-1835.09,29,12,2.09
14,11,2,17485255.00,2217553.19,48.36,889.07,19667,-3594025.00,2307.23,74.0425,0.62,0.8981,7.17,5,-2568303.00,0.86,1.62,6.92,0.7075,2.09,35710340.00,-18225085.00,9511,10156,1459,1153,4036860.00,-955240.00,3754.64,-1794.51,25,11,1.96
15,15,2.1,17261100.00,2189124.91,52.41,1068.47,16155,-3183215.00,2372.92,92.9622,0.69,0.9663,9.74,5,-2294634.00,0.95,1.49,6.06,0.7997,1.92,32722355.00,-15461255.00,8467,7688,1389,1320,3525060.00,-806880.00,3864.69,-2011.09,28,11,2.12
16,5,2,17252620.00,2188049.44,40.13,718.32,24018,-6225280.00,1816.22,51.9459,0.35,0.5411,1.78,5,-2776502.00,0.79,1.76,9.64,0.6045,2.60,40565395.00,-23312775.00,9638,14380,1228,3414,4036860.00,-1049490.00,4208.90,-1621.19,27,9,1.74
17,15,2,17252020.00,2187973.35,45.37,893.75,19303,-3495405.00,2146.35,80.8736,0.63,0.9257,7.69,5,-2404943.00,0.91,1.62,6.72,0.7428,2.32,35789470.00,-18537450.00,8758,10545,1459,3192,4125330.00,-955240.00,4086.49,-1757.94,27,9,1.93
18,21,1.6,16725370.00,2121181.39,43.64,631.19,26498,-4845310.00,1837.05,72.0677,0.44,0.8037,3.68,5,-3669319.00,0.58,2.00,8.55,0.6097,2.18,40956975.00,-24231605.00,11565,14933,2047,3957,4094325.00,-1304065.00,3541.46,-1622.69,20,7,1.69
19,10,2,16464495.00,2088096.13,46.16,763.20,21573,-3306855.00,2155.32,67.1184,0.63,0.9038,8.05,5,-2642777.00,0.79,1.60,6.37,0.6474,2.18,35473735.00,-19009240.00,9959,11614,1216,2481,4036860.00,-846240.00,3561.98,-1636.75,25,10,1.87
20,8,2.1,16404235.00,2080453.71,48.32,947.45,17314,-3868910.00,1909.70,80.1600,0.54,0.9209,6.32,5,-2697087.00,0.77,1.49,7.00,0.7135,2.05,34212165.00,-17807930.00,8366,8948,1149,1157,3438240.00,-806880.00,4089.43,-1990.16,30,12,1.92
21,12,2.1,16377890.00,2077112.53,49.26,991.94,16511,-3422855.00,1947.90,85.5342,0.61,0.9651,7.90,5,-2346384.00,0.89,1.42,6.61,0.7194,2.02,33395060.00,-17017170.00,8134,8377,1389,1157,3438240.00,-806880.00,4105.61,-2031.42,30,11,1.96
22,17,2.6,16157675.00,2049183.94,59.08,1830.90,8825,-1883170.00,3029.61,69.6224,1.09,0.9062,28.16,5,-1574810.00,1.30,1.17,3.03,0.8914,2.14,23862185.00,-7704510.00,5214,3611,1322,483,4399200.00,-880600.00,4576.56,-2133.62,40,18,3.10
23,7,2,16014010.00,2030963.74,41.87,706.12,22679,-5874405.00,1685.59,44.6944,0.35,0.4978,1.64,5,-2961276.00,0.69,1.51,9.45,0.5923,2.40,38072215.00,-22058205.00,9496,13183,1228,3414,4036860.00,-1049490.00,4009.29,-1673.23,27,9,1.73
24,21,1.5,15916670.00,2018618.68,40.18,542.34,29348,-4968895.00,1536.78,84.3828,0.41,0.8538,3.40,5,-3752019.00,0.54,2.10,9.15,0.5682,2.36,42974965.00,-27058295.00,11791,17557,2184,4219,4384890.00,-1202985.00,3644.73,-1541.17,19,6,1.59
25,17,2.5,15388285.00,1951606.68,55.78,1496.33,10284,-2753570.00,2328.53,60.2822,0.71,0.8125,11.55,5,-1799406.00,1.08,1.22,4.35,0.8024,2.00,25503365.00,-10115080.00,5736,4548,1375,832,4570280.00,-675680.00,4446.19,-2224.07,38,13,2.52
26,19,1.7,15117170.00,1917222.74,42.48,612.70,24673,-4401710.00,1533.54,82.0252,0.44,0.9197,4.38,5,-3224390.00,0.59,1.78,8.18,0.5485,2.23,38470315.00,-23353145.00,10481,14192,1204,3724,3856590.00,-1228540.00,3670.48,-1645.51,22,8,1.65
27,14,2.1,14972775.00,1898909.96,48.90,891.77,16790,-3396710.00,1671.62,80.4644,0.56,0.9521,7.23,5,-2327323.00,0.82,1.54,6.56,0.6794,1.94,32360240.00,-17387465.00,8211,8579,1389,1320,3441000.00,-806880.00,3941.08,-2026.75,29,12,1.86
28,12,2,14908940.00,1890814.14,45.38,759.65,19626,-3643215.00,1489.39,66.6166,0.52,0.9117,6.12,5,-2850922.00,0.66,1.62,6.92,0.5983,2.08,35410865.00,-20501925.00,8906,10720,1459,1197,4036860.00,-955240.00,3976.07,-1912.49,27,10,1.73
29,19,1.2,14892800.00,1888767.20,38.95,299.41,49740,-8457365.00,1434.58,54.2517,0.22,0.4069,0.67,5,-3703479.00,0.51,2.23,12.44,0.3881,2.22,50852585.00,-35959785.00,19374,30366,1947,4489,3905260.00,-1447415.00,2624.79,-1184.21,12,6,1.41
30,13,2.1,14845495.00,1882767.78,47.85,869.53,17073,-3821495.00,1667.63,81.9384,0.49,0.9551,5.69,5,-2387170.00,0.79,1.54,7.38,0.6625,2.02,32284985.00,-17439490.00,8169,8904,1389,1320,3441000.00,-806880.00,3952.13,-1958.61,29,12,1.85
31,11,2.2,14835575.00,1881509.69,50.29,938.37,15810,-4680700.00,1660.16,72.3630,0.40,0.9226,3.64,5,-2654799.00,0.71,1.50,9.06,0.6398,1.87,31480315.00,-16644740.00,7951,7859,1322,1332,3283960.00,-886080.00,3959.29,-2117.92,30,12,1.89
32,22,1.6,14634405.00,1855996.46,41.19,569.83,25682,-6100255.00,1570.17,59.9946,0.30,0.6964,1.75,5,-3964504.00,0.47,2.06,10.80,0.5460,2.35,37352160.00,-22717755.00,10579,15103,1615,3957,4094325.00,-1304065.00,3530.78,-1504.19,21,7,1.64
33,12,2.2,14595295.00,1851036.37,50.32,922.99,15813,-4680700.00,1603.01,70.3326,0.40,0.9209,3.57,5,-2682877.00,0.69,1.51,9.06,0.6282,1.85,31351305.00,-16756010.00,7957,7856,1322,1332,3283960.00,-886080.00,3940.09,-2132.89,30,12,1.87
34,17,2.9,14582145.00,1849368.63,42.96,1845.14,7903,-3291640.00,1808.86,60.4740,0.56,0.8492,7.85,5,-2196231.00,0.84,1.92,5.21,0.7941,3.37,24048475.00,-9466330.00,3395,4508,480,927,5834430.00,-820020.00,7083.50,-2099.90,51,22,2.54
35,18,2.5,14474380.00,1835701.42,56.67,1431.41,10112,-2260825.00,2144.94,55.2073,0.81,0.8209,15.95,5,-1708567.00,1.07,1.22,3.64,0.7655,1.88,24410200.00,-9935820.00,5730,4382,1375,661,4570280.00,-675680.00,4260.07,-2267.42,38,13,2.46
36,17,3,14473845.00,1835633.57,46.37,2050.70,7058,-2766520.00,2050.94,58.9215,0.66,0.8436,10.72,5,-1947828.00,0.94,1.88,4.45,0.8266,3.25,22457245.00,-7983400.00,3273,3785,712,879,5618340.00,-761600.00,6861.36,-2109.22,54,23,2.81
37,15,1.9,14432235.00,1830356.42,46.04,662.67,21779,-3675490.00,1621.16,82.0466,0.50,0.9504,6.02,5,-2490415.00,0.73,1.70,7.05,0.5814,2.01,34551515.00,-20119280.00,10026,11753,1509,3359,3479945.00,-831600.00,3446.19,-1711.84,24,8,1.72
38,17,2.7,14108790.00,1789335.77,47.20,1488.11,9481,-3826925.00,2125.82,57.2980,0.47,0.8435,5.64,5,-2014065.00,0.89,2.07,6.07,0.7288,2.80,23516900.00,-9408110.00,4475,5006,789,985,4252560.00,-749175.00,5255.17,-1879.37,40,21,2.50
39,23,1.2,14085695.00,1786406.77,41.62,308.20,45703,-8147830.00,1248.74,26.0079,0.22,0.1775,0.26,5,-3503698.00,0.51,2.29,13.76,0.4426,1.96,49633740.00,-35548045.00,19021,26682,1947,4538,3905260.00,-1447415.00,2609.42,-1332.29,12,5,1.40
