symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
IC1808,20180803,4950.2,4991.0,4870.0,4878.2,13124,20323,1293365.96,4900.0,4920.0,IC
IC1809,20180803,4907.4,4950.0,4833.8,4836.6,2599,16879,254004.076,4864.0,4883.2,IC
IC1812,20180803,4821.4,4856.2,4743.4,4748.0,589,6868,56537.284,4781.4,4790.2,IC
IC1903,20180803,4756.4,4769.0,4656.4,4668.8,152,587,14347.356,4693.8,4726.4,IC
IF1808,20180803,3350.0,3359.2,3283.6,3283.6,23353,26311,2330059.86,3306.0,3339.8,IF
IF1809,20180803,3328.6,3345.2,3265.8,3266.2,4545,19436,451118.784,3288.6,3326.4,IF
IF1812,20180803,3310.8,3324.8,3243.0,3243.0,874,4409,86109.582,3262.6,3306.8,IF
IF1903,20180803,3291.6,3306.6,3230.0,3230.0,102,466,10012.872,3254.2,3286.8,IF
IH1808,20180803,2436.8,2452.0,2406.0,2406.0,14614,13355,1066336.29,2422.4,2433.8,IH
IH1809,20180803,2433.8,2451.4,2406.6,2407.0,1984,6242,144735.072,2420.2,2435.4,IH
IH1812,20180803,2435.8,2449.8,2404.2,2410.6,600,2732,43762.074,2422.2,2438.0,IH
IH1903,20180803,2437.8,2448.8,2402.6,2403.0,92,237,6710.178,2418.6,2438.0,IH
T1809,20180803,95.995,96.285,95.89,96.17,37611,52830,3612494.65,96.19,95.925,T
T1812,20180803,95.98,96.27,95.9,96.175,7566,13605,726738.31,96.185,95.955,T
T1903,20180803,96.84,96.84,95.785,96.205,7,15,674.725,96.205,96.1,T
TF1809,20180803,98.6,98.74,98.515,98.67,7127,15482,702758.315,98.665,98.55,TF
TF1812,20180803,98.65,98.755,98.565,98.7,1848,6444,182294.25,98.69,98.6,TF
TF1903,20180803,0.0,0.0,0.0,97.62,0,0,0.0,98.76,98.645,TF
